"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.829205990E-2,5.233491221E1,4.867924866E0,-7.754237792E-1,3.769999981E0,8.683598121E1,7.114229724E0,4.000000000E0
6.808720827E-1,5.233493817E1,4.868334252E0,-2.634006500E0,2.480000019E0,8.824218750E1,1.156980501E1,1.200000000E1
1.595872521E0,5.233494073E1,4.868355207E0,-2.923316956E-1,2.480000019E0,8.507812500E1,7.234410291E0,4.000000000E0
2.595874071E0,5.233494203E1,4.868388399E0,1.569480896E-1,2.480000019E0,8.683593750E1,5.480225871E0,4.000000000E0
3.595875382E0,5.233494131E1,4.868423352E0,4.378890991E-2,2.420000076E0,9.210937500E1,4.727476638E0,4.000000000E0
4.595876813E0,5.233493687E1,4.868463334E0,-7.803726196E-2,3.299999952E0,9.843750000E1,3.962954057E0,4.000000000E0
5.595878839E0,5.233492899E1,4.868509267E0,-2.710914612E-1,3.539999962E0,1.005468750E2,3.638673290E0,4.000000000E0
6.595880151E0,5.233492212E1,4.868556792E0,4.287338257E-2,3.700000048E0,1.005468750E2,3.535533906E0,3.000000000E0
7.595880985E0,5.233491826E1,4.868603731E0,2.439842224E-1,3.539999962E0,9.562500000E1,3.535533906E0,3.000000000E0
8.595882058E0,5.233491575E1,4.868648658E0,7.228851318E-3,3.289999962E0,9.492187500E1,3.535533906E0,3.000000000E0
9.595881701E0,5.233491437E1,4.868705990E0,3.919334412E-1,4.329999924E0,9.105468750E1,3.535533906E0,3.000000000E0
1.059588361E1,5.233491453E1,4.868763909E0,1.274501801E0,4.329999924E0,9.070312500E1,3.535533906E0,3.000000000E0
1.159588599E1,5.233491516E1,4.868817469E0,1.513454437E0,3.549999952E0,8.859375000E1,3.535533906E0,3.000000000E0
1.259588408E1,5.233491642E1,4.868862480E0,1.523769379E0,3.490000010E0,8.718750000E1,3.535533906E0,3.000000000E0
1.359588313E1,5.233491796E1,4.868913618E0,1.523770398E0,3.490000010E0,8.718754048E1,4.610574042E0,3.545016790E0
1.459588289E1,5.233491775E1,4.868962027E0,1.830288998E0,3.569999933E0,8.859379145E1,4.610574030E0,3.545016804E0
1.559588325E1,5.233491646E1,4.869014430E0,1.653409115E0,3.569999933E0,9.000004146E1,4.610574015E0,3.545016824E0
1.659588385E1,5.233491586E1,4.869068408E0,1.652188411E0,3.569999933E0,8.964847896E1,4.610574001E0,3.545016843E0
1.759588265E1,5.233491781E1,4.869124506E0,1.819241613E0,3.529999971E0,8.718754094E1,4.610573990E0,3.545016857E0
1.859587955E1,5.233492148E1,4.869173643E0,1.998440704E0,3.289999962E0,8.367191297E1,4.610573985E0,3.545016863E0
1.959588158E1,5.233492838E1,4.869223107E0,2.275113067E0,3.289999962E0,7.910160002E1,4.610573988E0,3.545016859E0
2.059588540E1,5.233493734E1,4.869261572E0,2.278286823E0,3.150000095E0,7.453128526E1,4.610573999E0,3.545016845E0
2.159588170E1,5.233496927E1,4.869273713E0,2.370633018E0,3.150000095E0,4.148439923E1,4.610574060E0,3.545016766E0
2.259588122E1,5.233499441E1,4.869277908E0,2.406216288E0,2.650000095E0,1.968751037E1,4.610574121E0,3.545016687E0
2.359588087E1,5.233501447E1,4.869331078E0,2.699307511E0,3.490000010E0,4.429690330E1,4.610574163E0,3.545016632E0
2.459587991E1,5.233500876E1,4.869396494E0,2.628445787E0,3.660000086E0,7.910160424E1,4.610574155E0,3.545016642E0
2.559588015E1,5.233500013E1,4.869454311E0,3.165860339E0,3.660000086E0,9.281254245E1,4.610574129E0,3.545016676E0
2.659588122E1,5.233499324E1,4.869511892E0,2.486844243E0,3.690000057E0,9.457035522E1,4.610574099E0,3.545016716E0
2.759588170E1,5.233499128E1,4.869568626E0,2.945340307E0,3.640000105E0,9.210941724E1,4.610574078E0,3.545016743E0
2.859588337E1,5.233498965E1,4.869632670E0,3.115018238E0,3.970000029E0,9.105473360E1,4.610574058E0,3.545016768E0
2.959588444E1,5.233498941E1,4.869686215E0,3.515896983E0,3.700000048E0,8.929691796E1,4.610574043E0,3.545016789E0
3.059588647E1,5.233499085E1,4.869741070E0,3.609830087E0,3.700000048E0,8.753910543E1,4.610574032E0,3.545016803E0
3.159588885E1,5.233499152E1,4.869803202E0,3.609891305E0,4.000000000E0,8.718754640E1,4.610574018E0,3.545016820E0
3.259589124E1,5.233499009E1,4.869862691E0,3.890775093E0,4.000000000E0,8.894535894E1,4.610574002E0,3.545016842E0
3.359589374E1,5.233498856E1,4.869871470E0,1.121086247E0,3.830869535E0,9.104140504E1,4.776420326E0,3.318184127E0
3.459589708E1,5.233498954E1,4.869929578E0,1.135935467E0,3.785425912E0,8.655148042E1,4.773517733E0,3.322358423E0
3.559590006E1,5.233498604E1,4.869977418E0,1.047868498E0,3.349250343E0,8.802150574E1,4.775180975E0,3.319967423E0
3.659590268E1,5.233497420E1,4.870031557E0,1.125686675E0,3.369353215E0,9.717914879E1,4.771725932E0,3.324931377E0
3.759590685E1,5.233496319E1,4.870106317E0,1.443438628E0,3.687119561E0,1.001156336E2,4.772134713E0,3.324344644E0
3.859590971E1,5.233495908E1,4.870172920E0,1.384992613E0,3.788348420E0,9.382270608E1,4.774601212E0,3.320801154E0
3.959591401E1,5.233495728E1,4.870235075E0,1.166363086E0,3.870568866E0,9.128892094E1,4.772176621E0,3.324284485E0
4.059591794E1,5.233496034E1,4.870294871E0,1.388243275E0,4.025049057E0,9.189470149E1,4.774155420E0,3.321442015E0
4.159592128E1,5.233496378E1,4.870359401E0,1.251685260E0,4.060827660E0,8.958754305E1,4.769381034E0,3.328294095E0
4.259592617E1,5.233496887E1,4.870419223E0,1.543972508E0,4.028109235E0,9.037157108E1,4.768270459E0,3.329884962E0
4.359593034E1,5.233496837E1,4.870478284E0,1.681240002E0,3.818780575E0,8.821376585E1,4.772046368E0,3.324471461E0
4.459593487E1,5.233496715E1,4.870495388E0,1.731830866E0,1.287352856E0,8.932369702E1,4.770751787E0,3.326328970E0
4.559593916E1,5.233496917E1,4.870552719E0,1.802408680E0,3.142336922E0,8.250682078E1,4.765785299E0,3.333440792E0
