"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.596920834E-2,8.473579102E0,3.065026245E0,5.203179932E0
2.596520833E-2,8.755892029E0,2.882406006E0,5.342839508E0
3.596220833E-2,8.954678650E0,2.729723511E0,5.614674225E0
4.595920834E-2,9.244625702E0,2.676733704E0,6.236181793E0
5.595620834E-2,9.644743652E0,2.670895844E0,6.899452515E0
6.595212501E-2,9.758058014E0,2.721790009E0,7.471862183E0
7.594912501E-2,9.603728943E0,2.781665497E0,7.966882782E0
8.594612501E-2,9.181157684E0,2.768941956E0,8.381670227E0
9.594312501E-2,8.305927734E0,2.540217590E0,8.624465332E0
1.059391250E-1,7.222480774E0,2.044897614E0,8.734336853E0
1.159361250E-1,6.342161407E0,1.546434174E0,8.772208099E0
1.259331250E-1,5.746400299E0,1.315464478E0,8.686436462E0
1.359301250E-1,5.252427521E0,1.219663696E0,8.447832642E0
1.459261250E-1,4.611610107E0,1.093925171E0,8.046217804E0
1.559231250E-1,4.787344666E0,9.710307312E-1,7.731721802E0
1.659201250E-1,4.853656769E0,5.894741821E-1,7.203470306E0
1.759171250E-1,5.105582886E0,4.556524658E-1,7.057673492E0
1.859131250E-1,5.387446747E0,4.833448792E-1,7.381450195E0
1.959101250E-1,5.611979828E0,6.276448059E-1,8.070317688E0
2.059071250E-1,5.941893768E0,6.445596313E-1,9.021589508E0
2.159041250E-1,6.290818176E0,4.412823486E-1,9.988129578E0
2.259001250E-1,6.520590363E0,4.857398987E-1,1.029559021E1
2.358971250E-1,5.984255676E0,3.981719971E-1,1.095017899E1
2.458941250E-1,5.695506134E0,7.089257812E-1,1.206730591E1
2.558911250E-1,5.704188080E0,1.231489105E0,1.288849823E1
2.658871250E-1,5.363945618E0,9.816586304E-1,1.261741196E1
2.758841250E-1,4.562512207E0,3.339555359E-1,1.095407089E1
2.858811250E-1,3.233725433E0,-6.206094360E-1,8.614136810E0
2.958781250E-1,2.120340729E0,-1.551822968E0,6.436016235E0
3.058741250E-1,1.673370209E0,-2.728526001E0,5.876180420E0
3.158711250E-1,1.333127747E0,-5.149591370E0,6.153104553E0
3.258681250E-1,1.533560944E0,-4.602928162E0,6.024671631E0
3.358651250E-1,3.028951263E0,-4.770280151E0,6.486311646E0
3.458611250E-1,4.697082367E0,-3.668421478E0,6.918013916E0
3.558581250E-1,5.712720337E0,-2.026635590E0,8.286168823E0
3.658551250E-1,6.208489380E0,-1.326990509E0,9.079219666E0
3.758521250E-1,5.508095856E0,-1.626218262E0,9.470206604E0
3.858481250E-1,4.526736603E0,-2.672692108E0,9.936337280E0
3.958451250E-1,4.897814941E0,-3.898792419E0,1.011267059E1
4.058421250E-1,5.844745789E0,-4.246369629E0,1.072938812E1
4.158381250E-1,6.667884064E0,-3.524869995E0,1.141645935E1
4.258351250E-1,6.621181183E0,-2.527194672E0,1.142095001E1
4.358321250E-1,5.354964294E0,-2.360142059E0,1.117381393E1
4.458291250E-1,4.098477173E0,-2.670746155E0,1.115136063E1
4.558251250E-1,3.235072632E0,-2.686164093E0,1.086365891E1
4.658221250E-1,3.207978973E0,-2.262844391E0,1.068448151E1
4.758191250E-1,3.837719421E0,-1.669178925E0,1.102098175E1
4.858161250E-1,3.958069153E0,-1.688339081E0,1.118938156E1
4.958121250E-1,3.970343628E0,-2.314636688E0,1.043165726E1
