"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.141616667E-2,-1.473386078E0,6.903045044E0,8.752748566E0
2.136516664E-2,7.276368713E-1,8.362510071E0,4.666545868E0
3.131416667E-2,-1.113684082E0,8.750353546E0,3.679797821E0
4.126316664E-2,-8.907975769E-1,8.044571228E0,6.313870239E0
5.121216667E-2,2.915936279E-1,8.014483795E0,6.435267792E0
6.116116664E-2,-8.565188599E-1,8.550968170E0,4.941823425E0
7.111016667E-2,1.098715210E-1,8.568332062E0,5.280569000E0
8.105916664E-2,-1.886077881E-1,8.158933411E0,6.219266968E0
9.100816667E-2,1.571731567E-1,8.236023102E0,5.734574890E0
1.009581666E-1,-6.586303711E-3,8.294850769E0,5.196294250E0
1.109071667E-1,1.332229614E-2,8.243806915E0,5.564977570E0
1.208561666E-1,3.844006348E-1,8.190966797E0,5.698350220E0
1.308051667E-1,-2.104623413E-1,8.064330139E0,5.600004730E0
1.407541666E-1,6.586303711E-2,8.032745819E0,5.349126434E0
1.507031667E-1,2.439926147E-2,7.857460327E0,5.477858734E0
1.606521666E-1,7.352709961E-1,7.826624451E0,5.371729431E0
1.706011667E-1,4.854405212E-1,7.852670288E0,4.860243073E0
1.805501666E-1,-6.939569092E-1,7.631879425E0,5.305117950E0
1.904991667E-1,-3.091072083E-1,8.005203094E0,5.182522888E0
2.004481666E-1,4.665797424E-1,8.367000732E0,4.350552979E0
2.103971667E-1,-9.475296021E-2,8.458161163E0,4.700824585E0
2.203461666E-1,-2.164049835E0,8.722810822E0,5.886359253E0
2.302951667E-1,-3.914659424E0,9.326206055E0,5.589825897E0
2.402441666E-1,-3.133284302E0,9.694739685E0,4.411176910E0
2.501941667E-1,-2.920426941E-1,9.185498657E0,4.348607025E0
2.601431666E-1,1.382674713E0,8.029302979E0,6.007008362E0
2.700921667E-1,2.544708252E-2,8.295599213E0,5.033133545E0
2.800411666E-1,7.110214233E-2,9.006171570E0,3.155887299E0
2.899901667E-1,1.328337708E0,8.820407867E0,4.429289246E0
2.999391666E-1,1.541045380E0,8.202941895E0,6.097719727E0
3.098881667E-1,7.523355103E-1,8.545878754E0,5.022355957E0
3.198371666E-1,-3.498225403E-1,9.106463013E0,4.204905853E0
3.297861667E-1,-7.973918152E-1,8.809181213E0,4.972958679E0
3.397351666E-1,-1.495390320E-1,8.106093292E0,4.639152832E0
3.496841667E-1,2.158211975E0,5.585634613E0,5.976771240E0
3.596331666E-1,-2.342329102E0,9.448801117E0,7.299271088E0
3.695821667E-1,-4.093986511E0,1.103505249E1,2.036515045E0
3.795311666E-1,-4.565805359E0,1.044902115E1,6.261479187E-1
3.894801667E-1,5.465135193E0,8.351732483E0,4.555925903E0
3.994291666E-1,4.326602783E0,7.232360229E0,5.974825287E0
4.093791667E-1,2.398013306E0,6.865323486E0,8.230334930E0
4.193281666E-1,-3.965852966E0,8.368497620E0,8.179291077E0
4.292771667E-1,-3.059787140E0,1.028151947E1,4.002676392E0
4.392261666E-1,-1.864971771E0,9.494755554E0,2.341131592E-1
4.491751667E-1,1.597777405E0,8.131240997E0,2.602787476E0
4.591241666E-1,5.340145111E0,8.006550293E0,5.516328735E0
4.690731667E-1,2.855162659E0,7.951764221E0,7.271878052E0
4.790221666E-1,5.728587341E-1,8.372090149E0,5.829627228E0
4.889711667E-1,-1.905537415E-1,9.010811920E0,2.994373169E0
4.989201666E-1,7.399113464E-1,8.606652374E0,3.432212677E0
5.088691667E-1,1.066532135E0,8.080197144E0,5.865552521E0
5.188181666E-1,1.228645020E0,8.154742126E0,6.229146423E0
5.287671667E-1,1.166075134E0,9.258696442E0,3.826043701E0
5.387161666E-1,5.806425476E-1,8.987610168E0,4.021686859E0
5.486651667E-1,-2.954855347E-1,8.118667145E0,5.643414459E0
