"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.265916665E-2,1.459710002E-1,2.311882377E-2,-3.253072500E-2
2.260816668E-2,-8.097490668E-2,6.074871495E-2,-2.464054152E-2
3.255716665E-2,-7.666777074E-2,-1.320337951E-1,1.828961447E-2
4.250616668E-2,5.212568492E-2,5.900966749E-2,-2.665738761E-2
5.245516665E-2,1.930781640E-2,-5.681946501E-2,-1.019402873E-3
6.240416667E-2,-5.299698561E-2,-6.821786985E-3,9.329241700E-3
7.235316664E-2,-5.738924257E-3,-5.495103542E-4,5.751284771E-3
8.230216667E-2,2.864240482E-2,-2.806034498E-2,9.370103478E-3
9.225116664E-2,-4.262014292E-3,2.103423141E-2,9.467042983E-3
1.022011667E-1,-1.806094311E-3,-2.291117050E-2,3.168073669E-2
1.121501666E-1,-2.690529916E-3,2.219159342E-2,6.245417986E-3
1.220991667E-1,1.028351206E-2,-2.210407704E-2,4.821541719E-3
1.320481666E-1,-5.739662331E-3,2.501390129E-2,1.358786877E-2
1.419971667E-1,-1.567228511E-2,-2.076540142E-3,1.729279011E-2
1.519461666E-1,2.134245634E-2,3.687059134E-2,-2.431137860E-2
1.618951667E-1,-1.825799048E-2,1.955244876E-2,-2.872961015E-2
1.718441666E-1,-1.691096276E-2,-3.639657423E-2,1.425354183E-2
1.817931667E-1,2.695510723E-2,-2.446016856E-2,7.363978773E-2
1.917421666E-1,1.155404560E-2,1.984311268E-2,3.275866807E-2
2.016911667E-1,-4.623869807E-2,5.579380691E-2,-8.352205157E-2
2.116401666E-1,9.017100558E-3,7.169766724E-2,-1.319023669E-1
2.215891667E-1,8.399473131E-2,5.682257563E-2,-6.322613358E-2
2.315381666E-1,3.546128422E-2,-7.288055867E-2,1.835607551E-2
2.414871667E-1,-1.092061922E-1,-2.546710074E-1,3.254987299E-2
2.514371666E-1,-3.629709780E-2,-1.276704371E-1,-2.789003029E-2
2.613861667E-1,1.060260013E-1,-8.494377136E-3,-5.619565025E-3
2.713351666E-1,7.180645131E-3,-1.111412887E-2,5.973547325E-2
2.812841667E-1,-1.007272005E-1,2.169136703E-2,1.017687619E-1
2.912331666E-1,-1.297710650E-2,1.440340579E-1,1.099534556E-1
3.011821667E-1,5.772621185E-2,1.560739279E-1,1.181101203E-1
3.111311666E-1,-2.267967910E-2,1.977753043E-1,1.603715569E-1
3.210801667E-1,-1.984248683E-2,1.688229144E-1,2.331425846E-1
3.310291666E-1,1.393598318E-2,2.022362649E-1,2.496912032E-1
3.409781667E-1,-2.236857414E-1,-1.529434472E-1,1.041180082E-2
3.509271666E-1,3.655487597E-1,3.048680723E-1,2.563389577E-2
3.608761667E-1,3.217817843E-1,5.058947802E-1,7.398147136E-3
3.708251666E-1,-1.811148971E-1,-2.901102006E-1,3.203475475E-1
3.807741667E-1,-2.521018088E-1,-6.873434782E-1,1.235224456E-1
3.907231666E-1,-3.089014292E-1,-9.364975244E-2,3.899557143E-2
4.006721667E-1,-1.706474125E-1,5.759698749E-1,-1.235680431E-1
4.106221666E-1,2.405063063E-1,2.164085209E-1,-1.030393243E-1
4.205711667E-1,4.135662317E-1,2.408575714E-1,3.363164887E-2
4.305201666E-1,1.682976335E-1,-1.726237535E-1,-6.575692445E-3
4.404691667E-1,-2.029175311E-1,-5.323438644E-1,1.419411004E-1
4.504181666E-1,-3.416173458E-1,-3.695908785E-1,-1.265928894E-1
4.603671667E-1,-1.089802980E-1,2.227433920E-1,-1.003355607E-1
4.703161666E-1,1.587275863E-1,1.115183309E-1,-1.415066868E-1
4.802651667E-1,5.821140110E-2,6.444619037E-3,-2.039987408E-2
4.902141666E-1,-8.596388251E-2,6.133050099E-2,-9.237235412E-3
5.001631667E-1,-7.817162573E-2,5.762523413E-2,-4.573086277E-2
5.101121666E-1,1.059990227E-1,7.330374792E-3,-6.880316138E-2
5.200611667E-1,6.266395748E-2,3.304966167E-2,-1.084475517E-1
5.300101666E-1,-7.062992454E-2,6.598710269E-2,-1.224352717E-1
5.399591667E-1,1.189544424E-2,5.359989405E-2,-1.236950457E-1
5.499081666E-1,7.242509723E-2,-6.596070714E-3,-1.280551702E-1
5.598571667E-1,1.889690012E-2,6.145638227E-2,-1.640720814E-1
5.698071666E-1,1.757464185E-2,-2.125261165E-2,-1.686830819E-1
5.797561667E-1,5.981097370E-2,-6.391262263E-2,-1.832286417E-1
5.897051666E-1,2.477070317E-2,-4.579326883E-2,-1.933537126E-1
5.996541667E-1,1.979737729E-2,-8.696052432E-2,-1.985954642E-1
6.096031666E-1,1.176901162E-2,-1.067065373E-1,-2.029790282E-1
6.195521667E-1,-3.062648699E-2,-2.833569422E-2,-2.215500623E-1
6.295011666E-1,3.011009842E-2,-1.181051508E-2,-1.769698113E-1
6.394501667E-1,3.971267492E-2,4.049795680E-3,-1.142367423E-1
6.493991666E-1,6.316902116E-3,8.203434199E-2,-6.088909507E-2
6.593481667E-1,1.591939479E-2,1.241563335E-1,-2.396241948E-2
6.692971666E-1,5.259827711E-3,1.800438315E-1,2.055791207E-2
6.792461667E-1,-1.377056446E-2,2.101050913E-1,7.001774013E-2
