"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.379298210E-2,5.159392050E1,4.992829423E0,7.697166443E0,NaN,NaN,8.609720224E0,3.074764729E0
2.379298210E-2,5.159392050E1,4.992829423E0,7.697166443E0,NaN,NaN,8.609720224E0,2.175473928E0
1.909219980E0,5.159387278E1,4.992784979E0,1.043294907E1,1.070000052E0,6.082031250E1,9.317060111E0,8.000000000E0
2.912827015E0,5.159381976E1,4.992843652E0,8.129299164E0,1.070000052E0,8.191406250E1,6.277425546E0,3.000000000E0
3.905694962E0,5.159381243E1,4.992828397E0,7.586757660E0,1.070000052E0,9.914062500E1,5.353573585E0,4.000000000E0
4.590862036E0,5.159381251E1,4.992848095E0,7.549098969E0,1.250000000E0,1.096875000E2,3.794382001E0,3.000000000E0
5.604353905E0,5.159379831E1,4.992874330E0,7.858608246E0,1.590000033E0,1.096875000E2,3.535533906E0,3.000000000E0
6.603682995E0,5.159378012E1,4.992890256E0,7.916408539E0,1.820000052E0,1.096875000E2,3.535533906E0,3.000000000E0
7.567986369E0,5.159378116E1,4.992922442E0,7.580287933E0,1.909999967E0,1.096875000E2,3.535533906E0,3.000000000E0
8.567983866E0,5.159378049E1,4.992952114E0,7.079921722E0,1.909999967E0,8.402343750E1,3.535533906E0,3.000000000E0
9.567979693E0,5.159377069E1,4.992961502E0,7.190395355E0,1.909999967E0,1.096875000E2,3.535533906E0,3.000000000E0
1.056797457E1,5.159376482E1,4.993035179E0,7.616909027E0,2.240000010E0,9.703125000E1,3.535533906E0,3.000000000E0
1.156797361E1,5.159376113E1,4.993095025E0,7.350917816E0,3.539999962E0,1.061718750E2,3.535533906E0,3.000000000E0
1.256797349E1,5.159375124E1,4.993144479E0,7.683254242E0,3.809999943E0,1.051171875E2,3.535533906E0,3.000000000E0
1.356797433E1,5.159374655E1,4.993195944E0,7.301174164E0,3.539999962E0,1.072265625E2,3.535533906E0,3.000000000E0
1.456798708E1,5.159373712E1,4.993244735E0,7.301175211E0,3.539999962E0,1.072266007E2,4.608697997E0,3.547455398E0
1.556799972E1,5.159371823E1,4.993291880E0,6.646939527E0,3.809999943E0,1.184766004E2,4.608697948E0,3.547455462E0
1.656800735E1,5.159370082E1,4.993336838E0,6.287137176E0,3.630000114E0,1.202344105E2,4.608697895E0,3.547455532E0
1.756801820E1,5.159368096E1,4.993375609E0,7.360562469E0,3.630000114E0,1.258594083E2,4.608697840E0,3.547455603E0
1.856802571E1,5.159365502E1,4.993396865E0,6.903775181E0,3.299999952E0,1.392187744E2,4.608697775E0,3.547455687E0
1.956802857E1,5.159362048E1,4.993399704E0,6.544583287E0,3.299999952E0,1.582031389E2,4.608697697E0,3.547455789E0
2.056803560E1,5.159357816E1,4.993381100E0,6.294034244E0,3.789999962E0,1.796484378E2,4.608697607E0,3.547455906E0
2.156803882E1,5.159354144E1,4.993356558E0,6.156522043E0,3.799999952E0,1.901953049E2,4.608697524E0,3.547456013E0
2.256804037E1,5.159350645E1,4.993333075E0,6.026700260E0,3.789999962E0,1.926562406E2,4.608697447E0,3.547456113E0
2.356804049E1,5.159347163E1,4.993313418E0,6.187833064E0,3.779999971E0,1.930078029E2,4.608697369E0,3.547456214E0
2.456804144E1,5.159342968E1,4.993297504E0,5.793485145E0,4.139999866E0,1.916015531E2,4.608697278E0,3.547456333E0
2.556804311E1,5.159339227E1,4.993288488E0,5.368985632E0,4.139999866E0,1.887890553E2,4.608697192E0,3.547456444E0
2.656804633E1,5.159335182E1,4.993280133E0,5.512723424E0,4.139999866E0,1.873828065E2,4.608697099E0,3.547456565E0
2.756804490E1,5.159331575E1,4.993267478E0,6.055020614E0,3.859999895E0,1.891406181E2,4.608697013E0,3.547456676E0
2.856804502E1,5.159327840E1,4.993253944E0,6.071439163E0,4.010000229E0,1.898437422E2,4.608696930E0,3.547456785E0
2.956804562E1,5.159324613E1,4.993240382E0,5.897977248E0,4.010000229E0,1.916015534E2,4.608696856E0,3.547456880E0
3.056804669E1,5.159320416E1,4.993179669E0,5.365567579E0,4.010000229E0,2.084765409E2,4.608696766E0,3.547456997E0
3.156804776E1,5.159317943E1,4.993219443E0,5.929043736E0,3.299999952E0,1.715625055E2,4.608696699E0,3.547457085E0
3.256804812E1,5.159313607E1,4.993195200E0,6.145962985E0,3.839999914E0,1.863281202E2,4.608696607E0,3.547457205E0
3.356804812E1,5.159311060E1,4.993185975E0,6.026089936E0,3.839999914E0,1.870312447E2,4.608696549E0,3.547457280E0
3.456804872E1,5.159307836E1,4.993188477E0,7.770992335E0,3.843805882E0,1.886345010E2,4.776620878E0,3.317895421E0
3.556804991E1,5.159304150E1,4.993178225E0,7.668498924E0,3.871834796E0,1.916193392E2,4.776829890E0,3.317594496E0
