"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.311654167E-2,-8.433132157E-1,5.869926238E-1,-3.522670857E0
2.306754165E-2,-1.149656737E0,4.845821500E-1,-2.580844629E0
3.301754169E-2,-1.294969987E0,3.335988557E-1,-1.159387089E0
4.296854167E-2,-1.220416525E0,4.177765417E-1,-8.926710248E-2
5.291954166E-2,-1.805945006E0,6.887961566E-1,1.653054643E-1
6.287054165E-2,-2.225215512E0,1.093896812E0,-6.082285416E-1
7.282054168E-2,-1.401610482E0,1.349055854E0,-1.698571123E0
8.277154167E-2,-9.536991455E-1,1.549947181E0,-2.980266176E0
9.272254165E-2,-3.066466999E-1,1.161640021E0,-4.582051263E0
1.026735417E-1,-3.716976319E-1,4.470089655E-1,-4.311797048E0
1.126235417E-1,1.104819922E0,-1.980425629E-1,1.453124891E0
1.225745417E-1,2.514383422E0,-2.423681413E0,6.631914917E0
1.325255416E-1,3.997482018E0,-3.710250705E0,7.990685627E0
1.424755417E-1,5.632238676E0,-2.937366325E0,8.091453618E0
1.524265417E-1,4.000667581E0,-1.268117234E0,2.432332368E0
1.623775417E-1,1.691665123E0,1.344700263E-1,-1.865901479E0
1.723285417E-1,5.623634571E-1,7.708939880E-1,-4.443471082E0
1.822785417E-1,1.372262722E0,1.200585547E0,-3.063263310E0
1.922295417E-1,1.063895845E0,8.459793998E-1,-4.470026212E0
2.021805416E-1,7.687294950E-1,4.975115132E-1,-8.473806558E0
2.121305417E-1,2.425736125E0,1.127665798E0,2.588499804E0
2.220815417E-1,1.042907191E0,2.140659218E0,5.992877396E0
2.320325417E-1,-5.194846480E0,2.489216421E0,2.405969612E0
2.419835417E-1,-2.418225522E0,2.050662822E0,2.186953964E0
2.519335417E-1,-1.113445443E0,7.390807495E-1,1.457079948E0
2.618845417E-1,-1.471154196E0,2.313701572E-1,1.936314234E0
2.718355416E-1,-1.862136164E0,3.913541071E-1,2.440712598E0
