"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.166955948E-3,5.233488941E1,4.865799662E0,1.596627712E0,NaN,NaN,1.210000000E2,1.670253372E1
1.067495346E-2,5.233490228E1,4.865841142E0,1.596627712E0,NaN,NaN,1.210000000E2,1.670253372E1
1.067495346E-2,5.233490300E1,4.865843171E0,1.596627712E0,NaN,NaN,1.210000000E2,1.670253372E1
5.709450245E-1,5.233484897E1,4.865730246E0,1.803446770E0,NaN,NaN,3.500000000E1,1.527223301E1
3.173467875E0,5.233479362E1,4.865825130E0,7.006923676E0,0.000000000E0,4.570312500E0,1.209632359E1,1.200000000E1
4.052514076E0,5.233479316E1,4.865823202E0,6.701381683E0,0.000000000E0,4.570312500E0,1.328546466E1,1.200000000E1
5.068995953E0,5.233474367E1,4.865865279E0,2.163963318E-1,1.700000018E-1,4.570312500E0,1.175363029E1,3.000000000E0
6.069739103E0,5.233477862E1,4.865847342E0,7.245140076E-1,1.700000018E-1,4.570312500E0,7.882304760E0,3.000000000E0
7.075673103E0,5.233480301E1,4.865804929E0,1.329128265E0,2.800000012E-1,7.945312500E1,6.767117463E0,3.000000000E0
8.058243036E0,5.233479228E1,4.865819849E0,1.324245453E0,5.299999714E-1,6.082031250E1,3.882370720E0,3.000000000E0
9.025996089E0,5.233479400E1,4.865844660E0,4.396018982E-1,0.000000000E0,6.082031250E1,4.772242584E0,3.000000000E0
1.002819920E1,5.233478872E1,4.865844911E0,1.714744568E-1,0.000000000E0,6.082031250E1,5.110443198E0,3.000000000E0
1.103051162E1,5.233480150E1,4.865843654E0,-1.113624573E-1,0.000000000E0,2.707031250E1,5.115655977E0,3.000000000E0
1.203278124E1,5.233482556E1,4.865860753E0,8.126449585E-2,2.299999952E0,5.554687500E1,4.934347872E0,3.000000000E0
1.303483427E1,5.233483176E1,4.865891011E0,5.862045288E-2,2.349999905E0,8.050781250E1,5.036373163E0,4.000000000E0
1.403680706E1,5.233484136E1,4.865921773E0,5.359153748E-1,2.349999905E0,6.925781250E1,5.311875764E0,4.000000000E0
1.503866696E1,5.233484559E1,4.865953624E0,3.097801208E-1,2.329999924E0,8.613281250E1,5.387835757E0,4.000000000E0
1.604032636E1,5.233484700E1,4.865987728E0,3.097806145E-1,2.329999924E0,8.613283950E1,5.387835757E0,4.000000000E0
1.704191685E1,5.233484651E1,4.866025944E0,4.452176252E-1,2.329999924E0,9.000002706E1,4.855075911E0,4.000000000E0
1.804340470E1,5.233484496E1,4.866080277E0,4.313629102E-1,2.970000029E0,9.316409694E1,4.732598471E0,4.000042224E0
1.904475009E1,5.233484738E1,4.866124252E0,8.703887882E-1,2.970000029E0,8.859378448E1,4.785630821E0,3.304886484E0
2.004602945E1,5.233485055E1,4.866158166E0,5.440337192E-1,2.769999981E0,8.542971957E1,4.788181527E0,3.301189891E0
2.104723358E1,5.233485265E1,4.866200662E0,5.281645795E-1,2.769999981E0,8.542971957E1,4.721169442E0,3.396335691E0
2.204833376E1,5.233485226E1,4.866251578E0,2.815826125E-1,2.920000076E0,8.789065889E1,4.692269069E0,3.436153083E0
2.304937613E1,5.233485174E1,4.866310335E0,5.853548506E-1,3.450000048E0,8.894535256E1,4.672781351E0,3.462607612E0
2.405032015E1,5.233485098E1,4.866349416E0,6.506011691E-1,2.920000076E0,8.894534640E1,4.632163686E0,3.516759392E0
2.505121279E1,5.233485044E1,4.866386075E0,3.626982393E-1,2.700000048E0,8.824221884E1,4.640094055E0,3.506289234E0
2.605204761E1,5.233485191E1,4.866440377E0,5.593538247E-1,3.359999895E0,8.683597646E1,4.671077258E0,3.464906100E0
2.705283666E1,5.233484761E1,4.866490498E0,3.213216271E-2,3.390000105E0,9.140628936E1,4.674860554E0,3.459799970E0
2.805357194E1,5.233484529E1,4.866538596E0,-7.931804843E-2,3.359999895E0,9.105472651E1,4.683912732E0,3.447535141E0
2.905426180E1,5.233483954E1,4.866588354E0,-9.972257847E-1,3.319999933E0,9.527347589E1,4.700899035E0,3.424337205E0
3.005491197E1,5.233484184E1,4.866636794E0,-7.077971259E-1,3.220000029E0,8.929691239E1,4.659945098E0,3.479863319E0
3.105552030E1,5.233483916E1,4.866686135E0,-1.290316654E0,3.220000029E0,9.210941237E1,4.621892440E0,3.530247485E0
3.205609107E1,5.233483841E1,4.866731342E0,-1.520175094E0,3.140000105E0,9.070316146E1,4.610574364E0,3.545016370E0
3.305662704E1,5.233483120E1,4.866785146E0,-1.146212694E0,3.140000105E0,9.703128619E1,4.610574336E0,3.545016407E0
3.405713022E1,5.233483066E1,4.866838372E0,-8.210784392E-1,3.089999914E0,9.210941086E1,4.610574319E0,3.545016429E0
3.505760336E1,5.233483133E1,4.866907932E0,-9.821496932E-1,4.030000210E0,9.035160930E1,4.610574304E0,3.545016448E0
3.605804670E1,5.233483686E1,4.866976067E0,-2.346596401E-2,3.319457245E0,8.796274226E1,4.829919926E0,3.239816437E0
3.705846345E1,5.233483148E1,4.867034272E0,-1.360528469E-1,3.224728706E0,9.209337859E1,4.825625696E0,3.246209124E0
3.805885530E1,5.233482647E1,4.867076214E0,-2.043139003E-1,3.160880317E0,9.553709959E1,4.831205750E0,3.237898706E0
3.905922318E1,5.233482342E1,4.867116744E0,-2.209542347E-1,2.918282903E0,9.252731198E1,4.832351701E0,3.236188201E0
4.005956936E1,5.233482080E1,4.867163610E0,-3.002276802E-1,2.921228134E0,8.819711360E1,4.851193270E0,3.207874825E0
4.105989373E1,5.233481133E1,4.867211610E0,-2.378922394E-1,3.069139611E0,9.234569404E1,4.847216784E0,3.213880285E0
4.206019783E1,5.233481105E1,4.867252486E0,-1.167369764E-1,3.107154280E0,9.280250281E1,4.853689900E0,3.204096033E0
4.306048524E1,5.233481568E1,4.867300246E0,-2.612847192E-1,2.799861957E0,8.898864751E1,4.853598626E0,3.204234294E0
4.406075609E1,5.233480992E1,4.867346488E0,-6.682881434E-2,2.903750624E0,9.112737240E1,4.857317785E0,3.198593592E0
4.506100738E1,5.233480718E1,4.867402544E0,-4.877062617E-1,3.101427904E0,9.120694057E1,4.857083259E0,3.198949711E0
