"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.048125006E-3,-1.927990723E0,7.913892975E0,4.790488129E0
8.948874980E-3,-2.010469208E0,7.819140015E0,4.888983307E0
1.894487499E-2,-2.193089447E0,7.950866089E0,5.035977631E0
2.894187500E-2,-2.557431793E0,8.106392670E0,5.210065613E0
3.893787498E-2,-2.679428101E0,8.100405121E0,5.429658966E0
4.893487500E-2,-2.676883392E0,8.142018585E0,5.729186096E0
5.893087501E-2,-2.638413391E0,7.857011261E0,6.030359802E0
6.892787499E-2,-2.089953918E0,7.396718445E0,6.098767548E0
7.892387500E-2,-1.601369934E0,7.377707977E0,6.037993927E0
8.892087499E-2,-1.389859772E0,7.444469147E0,6.178701324E0
9.891687499E-2,-1.271156616E0,7.548802185E0,6.548432465E0
1.089128750E-1,-8.315208435E-1,7.448211365E0,7.118896179E0
1.189098750E-1,-1.850152588E-1,7.071744232E0,7.847880249E0
1.289058750E-1,6.454577637E-1,6.705904999E0,7.976911926E0
1.389028750E-1,8.602610779E-1,6.300398254E0,7.456893311E0
1.488988750E-1,7.676037598E-1,6.131399689E0,7.246131592E0
1.588958750E-1,7.188052368E-1,6.152206421E0,7.661667480E0
1.688918750E-1,8.216413879E-1,6.023025055E0,8.095016327E0
1.788888750E-1,1.288221130E0,5.548362122E0,8.358468475E0
1.888848750E-1,1.866019592E0,4.997807007E0,8.535699921E0
1.988818750E-1,2.178869019E0,4.465214539E0,8.101003876E0
2.088778750E-1,2.388133850E0,4.234693909E0,7.984845428E0
2.188748750E-1,2.552791443E0,4.321812744E0,8.346493378E0
2.288708750E-1,2.627037048E0,4.190984802E0,8.641829224E0
2.388678750E-1,2.843486938E0,3.866010590E0,8.772956543E0
2.488638750E-1,3.136727142E0,3.458108826E0,8.609197083E0
2.588608750E-1,3.382216644E0,3.221600647E0,8.708141327E0
2.688568750E-1,3.616479492E0,2.954406281E0,8.856931915E0
2.788538750E-1,3.802841949E0,2.782713318E0,8.981173553E0
2.888498750E-1,3.778292999E0,2.796933746E0,9.051078186E0
2.988468750E-1,3.712429962E0,2.832559662E0,9.114995270E0
3.088428750E-1,3.655847626E0,2.808908844E0,9.047335968E0
3.188398750E-1,3.671415253E0,2.825673981E0,8.875643005E0
3.288358750E-1,3.463497620E0,2.761906586E0,8.557404785E0
3.388328750E-1,3.282224579E0,2.756068726E0,8.409362640E0
3.488288750E-1,3.095263367E0,2.762655029E0,8.452472992E0
3.588248750E-1,2.776725769E0,2.661016388E0,8.780890045E0
3.688218750E-1,2.535876617E0,2.579286346E0,9.205856323E0
3.788178750E-1,2.875220947E0,2.557581482E0,8.166268158E0
3.888148750E-1,2.490670624E0,2.807561646E0,8.120164032E0
3.988108750E-1,1.941612396E0,2.932252350E0,8.566086731E0
4.088078750E-1,1.874252472E0,2.745440826E0,8.449628906E0
4.188038750E-1,1.961820374E0,2.692750397E0,8.628357239E0
4.288008750E-1,1.986818390E0,2.625540161E0,9.082662506E0
4.387968750E-1,2.035317535E0,2.958298187E0,9.206455078E0
4.487938750E-1,2.118095398E0,4.845872955E0,9.035959625E0
4.587898750E-1,1.008452911E0,4.346062317E0,9.384734344E0
4.687868750E-1,6.155200195E-1,3.699856110E0,9.537416840E0
4.787828750E-1,7.277865601E-1,4.042643280E0,9.376800842E0
4.887798750E-1,6.071374512E-1,3.766766968E0,9.584868164E0
4.987758750E-1,5.032534790E-1,3.050207062E0,9.847272491E0
5.087728750E-1,8.087681580E-1,2.746937714E0,9.949659576E0
5.187688750E-1,1.024768982E0,2.681374054E0,1.001402573E1
5.287658750E-1,1.004261627E0,2.558479614E0,9.841434631E0
5.387618750E-1,1.208886108E0,2.775378571E0,9.817634125E0
5.487588750E-1,1.409468994E0,2.825374603E0,9.946815491E0
5.587548750E-1,1.634002075E0,2.626887360E0,9.861642609E0
5.687518750E-1,1.769470367E0,2.535876617E0,9.724976807E0
5.787478750E-1,1.508413239E0,2.553240509E0,9.499695282E0
5.887448750E-1,1.171463928E0,2.644850006E0,9.283245392E0
5.987408750E-1,1.160237274E0,2.709515533E0,9.251062317E0
6.087368750E-1,1.147513733E0,2.656226349E0,9.551188202E0
6.187338750E-1,1.125958557E0,2.600991211E0,9.698481903E0
6.287298750E-1,7.241940308E-1,2.450254669E0,9.854756927E0
6.387268750E-1,3.906875610E-1,2.312541046E0,9.817484436E0
6.487228750E-1,5.360353088E-1,2.211650848E0,9.705966339E0
6.587198750E-1,4.781057739E-1,2.166893921E0,9.533524933E0
6.687158750E-1,1.962419128E-1,2.173330536E0,9.390272827E0
6.787128750E-1,4.540058899E-1,2.018702087E0,9.295070801E0
6.887088750E-1,-5.403762817E-2,1.197210388E0,8.984766083E0
6.987058750E-1,3.787124634E-2,8.336164856E-1,9.347910919E0
7.087018750E-1,3.496728516E-1,2.277663574E0,9.749076691E0
7.186988750E-1,2.439926147E-1,3.040926361E0,9.458381195E0
7.286948750E-1,3.342549133E-1,3.287613373E0,9.182953949E0
7.386918750E-1,1.883084106E-1,2.789598999E0,9.114995270E0
7.486878750E-1,-4.237687683E-1,1.111588440E0,9.057365112E0
7.586848750E-1,-6.643185425E-1,5.034031677E-1,9.872420197E0
7.686808750E-1,-2.740800476E-1,2.002535706E0,1.043255539E1
7.786778750E-1,-3.020718384E-1,2.985391846E0,1.040576111E1
7.886738750E-1,-2.068698120E-1,2.807561646E0,9.826615448E0
7.986708750E-1,-4.278103638E-1,2.865790558E0,9.641151123E0
8.086668750E-1,-6.873706055E-1,2.512375488E0,9.852810974E0
8.186638750E-1,-6.583309937E-1,2.193089447E0,1.028930328E1
8.286598750E-1,-3.517684937E-1,2.032174072E0,1.065319656E1
8.386558750E-1,1.758842468E-1,1.758692780E0,1.103729782E1
8.486528750E-1,5.049000549E-1,1.524729309E0,1.127500351E1
8.586488750E-1,4.806504822E-1,1.365909576E0,1.103819595E1
8.686458750E-1,3.567082214E-1,1.311722260E0,1.061772034E1
8.786418750E-1,3.424877930E-1,1.593885498E0,1.020517822E1
8.886388750E-1,3.023712158E-1,1.822011108E0,9.754016418E0
8.986348750E-1,4.763095093E-1,1.605112152E0,9.666747894E0
9.086318750E-1,1.072369995E0,1.301543427E0,9.856702881E0
9.186271667E-1,1.581311646E0,1.423240356E0,9.848320312E0
9.286241667E-1,1.786534882E0,1.701062622E0,9.572144623E0
9.386201666E-1,1.801204376E0,1.188678131E0,9.422455902E0
9.486171667E-1,1.866917725E0,2.990780640E-1,9.141490173E0
9.586131667E-1,2.110461273E0,1.576521606E0,1.017404297E1
9.686101667E-1,2.463876343E0,1.815424805E0,1.093326416E1
9.786061667E-1,2.055525513E0,2.791694641E-1,1.077354630E1
9.886031667E-1,1.634301453E0,-4.785548401E-1,1.061906754E1
9.985991667E-1,9.779164124E-1,-8.701405334E-1,1.011386810E1
1.008596167E0,-1.240919495E-1,-1.420396271E0,8.863817596E0
1.018592167E0,-1.110241241E0,-1.672621765E0,7.521558838E0
1.028589167E0,-1.976340179E0,-2.542013855E0,6.408323822E0
1.038585167E0,-2.609074402E0,-3.313060455E0,6.146817627E0
1.048582167E0,-1.607806549E0,-3.248843994E0,6.246360626E0
1.058578167E0,-2.817890167E0,-3.442690887E0,4.505331116E0
1.068575167E0,-2.073488159E0,-2.755170593E0,4.321064301E0
1.078571167E0,-3.932622070E0,-3.294349365E0,4.613855438E0
1.088568167E0,-6.305337982E0,-3.788621521E0,4.797373810E0
1.098564167E0,-7.131020966E0,-4.294120331E0,5.740412750E0
1.108561167E0,-7.028633881E0,-4.753515015E0,6.070326691E0
1.118557167E0,-6.369105377E0,-4.897665253E0,6.300248566E0
1.128553167E0,-6.079158325E0,-4.467010803E0,6.475084991E0
1.138550167E0,-6.114185486E0,-4.165088654E0,6.659351807E0
1.148546167E0,-6.487958221E0,-3.711082764E0,6.768923950E0
