"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.542958388E-3,-2.227667542E0,6.615193634E0,6.528972931E0
1.549395837E-2,-2.446811829E0,6.281986542E0,6.870113525E0
2.544495836E-2,-2.438429260E0,6.022575989E0,6.961573334E0
3.539595834E-2,-2.250270538E0,6.078559570E0,6.536307678E0
4.534695833E-2,-2.286794586E0,6.281238098E0,6.002966766E0
5.529695842E-2,-2.529440002E0,6.542594604E0,5.786666565E0
6.524795841E-2,-2.388133850E0,6.578968964E0,5.917644196E0
7.519895840E-2,-2.104174347E0,6.419550476E0,6.168971558E0
8.514995838E-2,-1.854194183E0,6.206693115E0,6.566245422E0
9.510095837E-2,-1.661395111E0,5.955216064E0,7.114106140E0
1.050519584E-1,-1.537003784E0,5.660329285E0,7.611072693E0
1.150019583E-1,-1.406774597E0,5.479804688E0,7.933651886E0
1.249529583E-1,-1.090033264E0,5.471571808E0,8.113577728E0
1.349039584E-1,-8.948391724E-1,5.580245819E0,7.775430908E0
1.448549584E-1,-6.933581543E-1,5.976172485E0,7.717351685E0
1.548059584E-1,-4.619393921E-1,6.168522491E0,8.013885040E0
1.647569584E-1,-9.062155151E-1,6.083349609E0,8.116272125E0
1.747079584E-1,-8.520281982E-1,6.042933655E0,8.760831757E0
1.846579583E-1,-3.239263916E-1,5.866300964E0,9.791588287E0
1.946089583E-1,8.786727905E-2,5.444478149E0,1.037776932E1
2.045599584E-1,4.390370178E-1,5.042563934E0,9.764195251E0
2.145109584E-1,6.701564026E-1,4.918172607E0,9.453291779E0
2.244619584E-1,7.476951599E-1,5.056634674E0,9.571545868E0
2.344129584E-1,5.872288513E-1,5.157524872E0,9.529782715E0
2.443629584E-1,3.061134338E-1,5.197192383E0,9.105115814E0
2.543139583E-1,-6.691085815E-2,5.317392426E0,8.673263855E0
2.642649583E-1,-6.185137939E-1,5.426515503E0,8.433761902E0
2.742159583E-1,-9.783654785E-1,5.454357605E0,8.253536682E0
2.841670833E-1,-9.701325989E-1,5.506748657E0,8.066575470E0
2.941180833E-1,-8.387059021E-1,5.449417877E0,7.779622192E0
3.040680834E-1,-6.923103333E-1,5.342240753E0,7.494315491E0
3.140190834E-1,-6.015989685E-1,5.311404877E0,7.353757782E0
3.239700834E-1,-7.249424744E-1,5.362598419E0,7.391479340E0
3.339210834E-1,-1.087937622E0,5.450316010E0,7.618108063E0
3.438720834E-1,-1.233734436E0,5.503904572E0,7.934849396E0
3.538230833E-1,-1.139131165E0,5.514682159E0,8.146509247E0
3.637740833E-1,-9.377998352E-1,5.431006165E0,8.240364075E0
3.737240834E-1,-7.445516968E-1,5.309907990E0,8.280929718E0
3.836750834E-1,-5.102888489E-1,5.183870087E0,8.492439880E0
3.936260834E-1,-3.493734741E-1,5.059628448E0,8.761131134E0
4.035770834E-1,-2.255809021E-1,4.961432648E0,8.996142426E0
4.135280834E-1,-1.422042847E-1,4.859494629E0,8.992699585E0
4.234790833E-1,-5.972579956E-2,4.756957855E0,8.905580750E0
4.334290833E-1,1.971400452E-1,4.702022095E0,8.933273163E0
4.433800834E-1,2.655477905E-1,4.652026062E0,9.086404724E0
4.533310834E-1,2.083666992E-1,4.556075592E0,9.113199005E0
4.632820834E-1,3.032693481E-1,4.302502899E0,9.053323517E0
4.732330834E-1,4.567002869E-1,4.011058960E0,8.970395966E0
4.831840834E-1,6.503974915E-1,3.802243195E0,8.865913239E0
4.931350834E-1,6.905140686E-1,3.948788452E0,8.869505768E0
5.030850833E-1,4.267625427E-1,4.391118622E0,9.058562622E0
5.130360833E-1,6.346801758E-2,4.526736603E0,9.072783051E0
5.229870834E-1,-5.258564758E-1,4.651726685E0,8.779842224E0
5.329380834E-1,-1.329385529E0,5.521717529E0,9.236243134E0
5.428890834E-1,-1.206191711E0,6.230643311E0,1.005369324E1
5.528400834E-1,-4.595443726E-1,4.880151672E0,9.081614685E0
5.627900833E-1,1.332229614E-2,3.845203857E0,7.804620209E0
5.727410833E-1,6.279441833E-1,3.326532440E0,7.655530243E0
5.826920833E-1,8.146060181E-1,3.324736176E0,8.490493927E0
5.926430834E-1,8.759783936E-1,3.205733643E0,9.275611267E0
6.025940834E-1,1.097667389E0,3.519181824E0,9.447154541E0
6.125450834E-1,1.396446075E0,3.886817322E0,9.604327698E0
6.224960834E-1,1.336570587E0,3.667223969E0,1.015039215E1
6.324460834E-1,1.199306030E0,3.389701080E0,1.056009018E1
6.423970833E-1,1.093027039E0,3.456911316E0,1.059002792E1
6.523480833E-1,8.824150085E-1,3.385210419E0,1.044917084E1
6.622990833E-1,6.981481934E-1,3.339106293E0,1.031998947E1
6.722500834E-1,6.015989685E-1,3.425776062E0,1.002794678E1
6.822010834E-1,4.803511047E-1,3.477568359E0,9.563911743E0
6.921520834E-1,4.884342957E-1,3.539838867E0,9.097631378E0
7.021020834E-1,5.721102905E-1,3.701352997E0,8.834478607E0
7.120530833E-1,5.150788879E-1,3.963158569E0,8.766819305E0
7.220040833E-1,2.540217590E-1,4.208049316E0,8.824299774E0
7.319550833E-1,-1.101708984E-1,4.474046173E0,8.946146393E0
7.419060834E-1,-2.793191528E-1,4.605622559E0,9.098978577E0
7.518570834E-1,-5.143304443E-1,4.542004852E0,9.155261536E0
7.618070834E-1,-6.810836792E-1,4.371808777E0,9.214238892E0
7.717580834E-1,-5.917195129E-1,4.189787292E0,9.313183136E0
7.817090834E-1,-4.667294312E-1,3.980522461E0,9.308542786E0
7.916600833E-1,-3.583547974E-1,3.802991638E0,9.057514801E0
8.016110833E-1,-2.185455322E-1,3.705244904E0,8.635242920E0
8.115620833E-1,-3.757186890E-2,3.845503235E0,8.370593262E0
8.215130834E-1,1.520837402E-1,4.172573090E0,8.454718323E0
8.314630834E-1,2.290237427E-1,4.341871033E0,8.762328644E0
8.414140834E-1,3.038681030E-2,4.212689667E0,9.218879242E0
8.513650834E-1,-2.839595032E-1,3.884272614E0,9.443861389E0
8.613160833E-1,-2.639012146E-1,3.516337738E0,9.220076752E0
8.712670833E-1,-6.242019653E-2,3.410058746E0,8.931027832E0
8.812180833E-1,6.870712280E-2,3.530408478E0,8.824299774E0
8.911690834E-1,-2.095642090E-2,3.749103699E0,8.681796112E0
9.011190834E-1,-1.061293030E-1,3.986510010E0,8.486452332E0
9.110700834E-1,-6.092330933E-2,4.134701843E0,8.357420654E0
9.210210834E-1,9.729766846E-3,4.150718536E0,8.487949219E0
9.309720834E-1,-2.499801636E-2,4.191284180E0,8.995543671E0
9.409230833E-1,-1.597178650E-1,4.337829437E0,9.212592316E0
9.508740833E-1,-4.320016479E-1,4.184548187E0,9.036857758E0
9.608250833E-1,-6.086343384E-1,3.832031250E0,8.976982269E0
9.707750834E-1,-5.860313416E-1,3.527115326E0,9.023236084E0
9.807260834E-1,-4.933740234E-1,3.337459717E0,9.099727020E0
9.906770834E-1,-4.569996643E-1,3.330574036E0,9.197324066E0
1.000628083E0,-4.689747620E-1,3.431464233E0,9.286388855E0
1.010579083E0,-4.613406372E-1,3.595672760E0,9.312734070E0
1.020530083E0,-4.077520752E-1,3.752696228E0,9.171577606E0
1.030480083E0,-3.315605164E-1,3.750301208E0,9.044791260E0
1.040431083E0,-2.451901245E-1,3.649261322E0,9.119635620E0
1.050382083E0,-2.438429260E-1,3.558400269E0,9.222022705E0
1.060333083E0,-3.523672485E-1,3.500470734E0,9.317524109E0
1.070284083E0,-5.703140259E-1,3.429218903E0,9.312883759E0
1.080235083E0,-7.255412292E-1,3.353177032E0,9.178014221E0
1.090186083E0,-6.923103333E-1,3.383264465E0,9.101972351E0
1.100136083E0,-5.909710693E-1,3.511398010E0,9.139693909E0
1.110087083E0,-5.171745300E-1,3.694617004E0,9.154962158E0
1.120038083E0,-4.658312988E-1,3.766018524E0,9.181606750E0
1.129989083E0,-4.504133606E-1,3.634741516E0,9.087452545E0
1.139940083E0,-3.749702454E-1,3.489244080E0,8.993597717E0
1.149891083E0,-3.257226562E-1,3.565136261E0,9.145382080E0
1.159842083E0,-3.996688843E-1,3.795357513E0,9.518855438E0
1.169792083E0,-4.558021545E-1,3.933669891E0,9.849966888E0
1.179743083E0,-4.487667847E-1,3.822600861E0,1.003902374E1
1.189694083E0,-4.888833618E-1,3.527414703E0,1.007839188E1
1.199645083E0,-6.116281128E-1,3.210823059E0,9.873468018E0
1.209596083E0,-6.373745728E-1,2.927612000E0,9.385782166E0
1.219547083E0,-4.933740234E-1,2.830014954E0,8.954828339E0
1.229498083E0,-2.833607483E-1,3.048410797E0,8.593479767E0
1.239448083E0,-7.274871826E-2,3.414100342E0,8.452323303E0
1.249399083E0,2.197430420E-1,3.684737549E0,8.489146729E0
1.259350083E0,2.559677124E-1,3.880081329E0,8.699609070E0
1.269301083E0,1.176553345E-1,3.952680359E0,8.930578766E0
1.279252083E0,-4.879852295E-2,3.920197906E0,9.070986786E0
1.289202500E0,-1.154100037E-1,3.862867126E0,9.380842438E0
1.299153500E0,-3.215313721E-1,3.834725647E0,9.757159882E0
1.309103500E0,-5.035528564E-1,3.679947510E0,1.015473312E1
1.319054500E0,-7.469467163E-1,3.514691162E0,1.051503387E1
1.329005500E0,-8.421487427E-1,3.416345673E0,1.039543259E1
1.338956500E0,-6.638694763E-1,3.326981506E0,9.867480469E0
1.348907500E0,-2.119592285E-1,3.279081116E0,9.381740570E0
1.358858500E0,1.239422607E-1,3.293451233E0,8.837622070E0
1.368809500E0,-3.038681030E-2,3.616329803E0,8.300538940E0
1.378759500E0,-3.442840576E-2,3.882326660E0,8.112978973E0
1.388710500E0,-7.140151978E-2,4.078119507E0,8.264164581E0
1.398661500E0,1.245410156E-1,4.007765808E0,8.576714630E0
1.408612500E0,2.519261169E-1,3.652255096E0,8.684191132E0
1.418563500E0,2.770738220E-1,3.399879913E0,8.591683502E0
1.428514500E0,2.905458069E-1,3.353775787E0,8.499924316E0
1.438465500E0,2.806663513E-1,3.409609680E0,8.376880188E0
1.448415500E0,3.947291565E-1,3.511547699E0,8.319848785E0
1.458366500E0,4.599934387E-1,3.555107117E0,8.212971039E0
1.468317500E0,5.631289673E-1,3.725602570E0,8.012088776E0
1.478268500E0,4.312532043E-1,3.870351563E0,8.371192017E0
1.488219500E0,1.692979431E-1,3.809428253E0,8.815468140E0
1.498170500E0,-1.103205872E-1,3.664529572E0,9.218729553E0
1.508121500E0,-4.459226990E-1,3.519181824E0,9.598639526E0
1.518071500E0,-6.007008362E-1,3.202141113E0,9.294022980E0
1.528022500E0,-3.302133179E-1,2.622097321E0,8.995843048E0
1.537973500E0,1.233435059E-1,2.307751007E0,9.142388306E0
1.547924500E0,1.899549866E-1,2.423011322E0,8.946296082E0
1.557875500E0,1.435514832E-1,2.773282928E0,9.146280212E0
1.567826500E0,9.445358276E-2,2.951562195E0,9.362879791E0
1.577777500E0,1.234931946E-1,2.922073517E0,9.615704041E0
1.587728500E0,8.966354370E-2,2.852318573E0,9.965376892E0
1.597678500E0,-5.313949585E-2,2.782863007E0,1.031969009E1
1.607629500E0,-2.180964661E-1,2.685415649E0,1.056248520E1
1.617580500E0,-2.938389587E-1,2.497406616E0,1.054317535E1
1.627531500E0,-2.900967407E-1,2.257605286E0,1.032223480E1
1.637482500E0,-2.164498901E-1,2.183060303E0,1.001761826E1
1.647433500E0,-7.828720093E-2,2.344424744E0,9.883497162E0
1.657384500E0,1.017883301E-2,2.625091095E0,9.930349731E0
1.667334500E0,-1.796264648E-2,2.815345459E0,9.970466309E0
1.677285500E0,-1.579216003E-1,2.827470245E0,9.849517822E0
1.687236500E0,-2.719844055E-1,2.669848022E0,9.559271393E0
1.697187500E0,-3.164419556E-1,2.462379456E0,9.204359436E0
1.707138500E0,-2.760260010E-1,2.303410034E0,8.985813904E0
1.717089500E0,-2.655477905E-1,2.262545013E0,8.946894836E0
