"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.176195836E-2,-1.937003881E-1,-3.393156528E-1,2.024225444E-1
2.171195834E-2,-2.035493702E-1,-4.401150644E-1,2.295751572E-1
3.166295832E-2,-2.880573273E-1,-5.910968184E-1,2.118052095E-1
4.161395831E-2,-4.373609424E-1,-6.955180764E-1,2.058574706E-1
5.156495841E-2,-5.744178295E-1,-7.618928552E-1,2.472041249E-1
6.151595840E-2,-6.990201473E-1,-8.279381990E-1,3.060860634E-1
7.146695838E-2,-8.204115629E-1,-8.553935289E-1,3.489392698E-1
8.141795837E-2,-9.079920650E-1,-8.409189582E-1,3.755226433E-1
9.136795835E-2,-9.215056896E-1,-8.587238193E-1,3.829483390E-1
1.013189583E-1,-9.098290801E-1,-8.921787143E-1,3.889468610E-1
1.112699583E-1,-8.666976094E-1,-9.398202896E-1,3.899042606E-1
1.212209584E-1,-8.179554939E-1,-9.811450243E-1,3.587708175E-1
1.311719584E-1,-8.695009947E-1,-9.561566114E-1,2.992334664E-1
1.411229584E-1,-9.366249442E-1,-9.024440050E-1,2.435684502E-1
1.510729584E-1,-9.848986864E-1,-8.149575591E-1,2.406767756E-1
1.610239584E-1,-1.032286048E0,-6.442415714E-1,3.242309988E-1
1.709749583E-1,-9.819357991E-1,-5.431176424E-1,3.753050864E-1
1.809259583E-1,-8.257000446E-1,-5.548558235E-1,3.646435142E-1
1.908769584E-1,-6.442759037E-1,-5.170341730E-1,3.540326655E-1
2.008279584E-1,-4.850836694E-1,-4.836169183E-1,3.218480051E-1
2.107779584E-1,-3.309460282E-1,-3.871151507E-1,2.573592961E-1
2.207289584E-1,-1.910545081E-1,-3.039328158E-1,1.690773815E-1
2.306799584E-1,-8.322230726E-2,-2.572617233E-1,8.608715236E-2
2.406309583E-1,-3.224614635E-2,-2.082883716E-1,2.503747866E-2
2.505819583E-1,-1.732525416E-2,-1.663904488E-1,-2.424831130E-2
2.605329583E-1,-2.255492471E-2,-1.360212862E-1,-2.371192351E-2
2.704839584E-1,-5.250856280E-2,-1.396490484E-1,4.003030434E-2
2.804339584E-1,-6.700161099E-2,-1.543236822E-1,1.065254360E-1
2.903850834E-1,-9.709879011E-2,-1.672980636E-1,1.516297907E-1
3.003360834E-1,-1.553065926E-1,-1.618415266E-1,1.731005013E-1
3.102870834E-1,-2.562526464E-1,-1.358607858E-1,1.761982888E-1
3.202380834E-1,-3.847520351E-1,-9.804700315E-2,1.924850345E-1
3.301890834E-1,-4.896925688E-1,-4.986269772E-2,2.388509363E-1
3.401390833E-1,-5.676831603E-1,-8.738131076E-2,2.942418754E-1
3.500900833E-1,-6.244511008E-1,-1.613210440E-1,3.594376445E-1
3.600410834E-1,-6.592125297E-1,-2.062216699E-1,4.107285142E-1
3.699920834E-1,-6.869561672E-1,-1.935774386E-1,4.337828755E-1
3.799430834E-1,-7.045484781E-1,-1.423635185E-1,4.092375934E-1
3.898940834E-1,-6.994650364E-1,-1.494690925E-1,3.895711899E-1
3.998450834E-1,-6.694596410E-1,-1.874628067E-1,3.916594982E-1
4.097950833E-1,-6.160792112E-1,-2.245318890E-1,4.170660675E-1
4.197460833E-1,-5.675956607E-1,-2.098453492E-1,4.518927336E-1
4.296970834E-1,-5.210880637E-1,-1.343673766E-1,4.720928371E-1
4.396480834E-1,-4.674712420E-1,-7.290524989E-2,4.872705042E-1
4.495990834E-1,-4.110803902E-1,-2.706879005E-2,4.920564592E-1
4.595500834E-1,-3.707562089E-1,-1.312554628E-2,4.468559921E-1
4.695000834E-1,-3.635435700E-1,-6.097057089E-2,3.775421679E-1
4.794510833E-1,-4.008526802E-1,-9.429576248E-2,2.941609621E-1
4.894020833E-1,-4.580097198E-1,-1.483848877E-2,2.147524208E-1
4.993530833E-1,-4.828469157E-1,8.792037517E-2,2.088060379E-1
5.093040834E-1,-5.198438168E-1,9.271113575E-2,2.345534712E-1
5.192550834E-1,-6.039883494E-1,-4.345456604E-3,3.608007729E-1
5.292060834E-1,-5.641234517E-1,8.595913649E-2,5.246828794E-1
5.391560834E-1,-3.513670564E-1,1.740838438E-1,6.525034308E-1
5.491070834E-1,-2.505978048E-1,8.729755878E-2,7.628054619E-1
5.590580833E-1,-3.309390843E-1,1.595150232E-1,7.793931961E-1
5.690090833E-1,-4.629501104E-1,2.898602188E-1,6.811345220E-1
5.789600834E-1,-5.339049697E-1,1.370622665E-1,5.764125586E-1
5.889110834E-1,-5.517553687E-1,-4.760744795E-2,5.166980624E-1
5.988610834E-1,-4.696880281E-1,4.272076115E-2,5.023767352E-1
6.088120834E-1,-3.394208252E-1,1.234172061E-1,4.462519288E-1
6.187630834E-1,-2.609800696E-1,1.178710759E-1,3.397881687E-1
6.287140833E-1,-1.791022569E-1,1.207100078E-1,2.055470049E-1
6.386650833E-1,-7.304999232E-2,1.538439989E-1,7.536700368E-2
6.486160833E-1,4.939017072E-2,1.780326962E-1,-5.091091618E-3
6.585670834E-1,1.654102206E-1,1.887844056E-1,-5.153141916E-2
6.685170834E-1,2.489418536E-1,1.717132777E-1,-9.398060292E-2
6.784680834E-1,2.867806256E-1,1.371005327E-1,-1.230473146E-1
6.884190834E-1,2.612678111E-1,1.130838692E-1,-1.565237790E-1
6.983700834E-1,2.130708098E-1,1.186801493E-1,-1.931616217E-1
7.083210833E-1,1.467397213E-1,1.290824562E-1,-2.278921753E-1
7.182720833E-1,6.535371393E-2,1.399008483E-1,-2.367911041E-1
7.282230834E-1,-7.231274620E-3,1.412926167E-1,-2.118774951E-1
7.381730834E-1,-5.589132383E-2,1.186593026E-1,-1.747493744E-1
7.481240834E-1,-9.292310476E-2,9.894418716E-2,-1.199582890E-1
7.580750834E-1,-9.744346142E-2,8.344528824E-2,-6.650308520E-2
7.680260834E-1,-5.545233563E-2,3.986292332E-2,-2.880284190E-2
7.779770833E-1,2.053803951E-2,-5.843461305E-2,-3.055316396E-3
7.879280833E-1,1.043831408E-1,-1.253119111E-1,1.472234912E-2
7.978780834E-1,1.257258356E-1,-1.072948277E-1,1.124534942E-2
8.078290834E-1,7.779452205E-2,-4.964485392E-2,2.829791047E-4
8.177800834E-1,-2.610733733E-2,4.296950251E-2,-2.465260401E-2
8.277310834E-1,-1.374644935E-1,1.197207421E-1,-4.533178359E-2
8.376820834E-1,-1.870526522E-1,1.318970770E-1,-3.034969792E-2
8.476330834E-1,-1.614527404E-1,9.590551257E-2,9.887738153E-3
8.575840833E-1,-1.204465777E-1,7.916630059E-2,3.679160774E-2
8.675340833E-1,-7.750283927E-2,6.121047214E-2,2.278204821E-2
8.774850834E-1,-5.957873538E-2,8.309046924E-2,-2.008648124E-3
8.874360834E-1,-5.961335450E-2,1.332761496E-1,-1.364772581E-2
8.973870834E-1,-8.290553093E-2,1.976010650E-1,-2.122376487E-2
9.073380834E-1,-1.238649487E-1,2.794410586E-1,-2.938182652E-2
9.172890834E-1,-1.701756269E-1,2.931034565E-1,-5.534902215E-2
9.272400833E-1,-2.134935409E-1,2.836825252E-1,-8.484140038E-2
9.371900833E-1,-2.665604651E-1,2.955552340E-1,-9.944222122E-2
9.471410834E-1,-3.265114129E-1,3.184677362E-1,-7.718751580E-2
9.570920834E-1,-3.546140790E-1,2.992106974E-1,-4.362130910E-2
9.670430834E-1,-3.468411267E-1,2.405220866E-1,-1.619341038E-2
9.769940834E-1,-2.985721231E-1,1.917290688E-1,-1.253798790E-2
9.869450834E-1,-2.336296290E-1,1.424163878E-1,-1.306582615E-2
9.968960834E-1,-1.651333869E-1,1.169785783E-1,-1.214580238E-2
1.006846083E0,-1.107084975E-1,1.126416177E-1,-8.262380958E-3
1.016797083E0,-9.258419275E-2,1.243959218E-1,-1.041124016E-2
1.026748083E0,-1.132410020E-1,1.303121299E-1,-1.610880718E-2
1.036699083E0,-1.527968943E-1,1.432111561E-1,-2.783138119E-2
1.046650083E0,-1.831018031E-1,1.419354975E-1,-4.710440710E-2
1.056601083E0,-1.814697534E-1,1.118534058E-1,-5.055487901E-2
1.066551083E0,-1.384477168E-1,5.710600689E-2,-2.810842544E-2
1.076502083E0,-7.014739513E-2,-7.336454000E-3,2.789360238E-3
1.086453083E0,-6.397445686E-3,-4.531393200E-2,2.584088221E-2
1.096404083E0,1.907658391E-2,-7.071959227E-2,3.415333480E-2
1.106355083E0,1.348634250E-2,-9.386432916E-2,2.676013485E-2
1.116306083E0,-3.842310980E-4,-9.253142029E-2,2.049228363E-2
1.126257083E0,-1.322146691E-2,-7.204904407E-2,2.442497388E-2
1.136207083E0,-3.625714034E-2,-5.759092420E-2,2.459070273E-2
1.146158083E0,-5.989162624E-2,-6.208074465E-2,1.340036653E-2
1.156109083E0,-8.049111068E-2,-5.998172984E-2,1.042311080E-2
1.166060083E0,-9.197466075E-2,-6.707825512E-2,1.662800834E-2
1.176011083E0,-7.130963355E-2,-9.412620962E-2,1.570846140E-2
1.185962083E0,-2.653097361E-2,-1.344677657E-1,2.192374691E-2
1.195913083E0,4.202735424E-2,-1.605761498E-1,3.327872232E-2
1.205863083E0,1.158600301E-1,-1.858815104E-1,4.770480096E-2
1.215814083E0,1.841439754E-1,-2.262693346E-1,4.687729850E-2
1.225765083E0,2.208010554E-1,-2.408253700E-1,2.529637143E-2
1.235716083E0,2.188326269E-1,-2.188774645E-1,-4.778297618E-3
1.245667083E0,1.714331508E-1,-1.422905475E-1,-4.314219952E-2
1.255618083E0,9.686179459E-2,-4.814460129E-2,-6.418583542E-2
1.265569083E0,2.059339359E-2,2.379137464E-2,-5.943609402E-2
1.275519083E0,-5.033037439E-2,7.637344301E-2,-5.731637776E-2
1.285469500E0,-9.256118536E-2,9.282246232E-2,-5.490701646E-2
1.295420500E0,-8.967818320E-2,6.480947137E-2,-3.714054823E-2
1.305371500E0,-2.727499232E-2,-5.947439745E-2,-1.601928473E-2
1.315322500E0,1.157419682E-1,-2.378744036E-1,2.009979077E-2
1.325273500E0,2.871563435E-1,-4.148268104E-1,4.834234715E-2
1.335224500E0,4.217235148E-1,-5.356755853E-1,5.954391882E-2
1.345174500E0,4.806307852E-1,-5.826390982E-1,1.481266785E-2
1.355125500E0,4.598781168E-1,-5.084730983E-1,-2.700086124E-2
1.365076500E0,3.603645861E-1,-3.555403352E-1,-3.227285296E-2
1.375027500E0,2.091881186E-1,-1.844804287E-1,1.591730863E-2
1.384978500E0,6.802459806E-2,-7.439520210E-2,7.599209994E-2
1.394929500E0,-9.641603567E-3,-5.039719120E-2,8.970137686E-2
1.404880500E0,-2.122289129E-2,-7.695876062E-2,7.971478999E-2
1.414830500E0,-2.632277459E-2,-1.193776801E-1,7.128778845E-2
1.424781500E0,-9.805581719E-2,-2.187865674E-1,7.598693669E-2
1.434732500E0,-2.672009468E-1,-2.949805856E-1,9.787768126E-2
1.444683500E0,-5.028563142E-1,-3.332081139E-1,8.861174434E-2
1.454634500E0,-7.915761471E-1,-1.789956391E-1,6.153538078E-2
1.464585500E0,-1.030984998E0,-1.352412999E-2,1.634686440E-2
1.474536500E0,-1.173470736E0,1.304619759E-1,-4.254034720E-4
1.484486500E0,-1.210979581E0,1.963784099E-1,4.950719886E-3
1.494437500E0,-1.159955978E0,2.073559612E-1,3.679785877E-2
1.504388500E0,-1.061109066E0,1.823065430E-1,9.564360231E-2
1.514339500E0,-1.026229739E0,-2.601799369E-2,1.775667369E-1
1.524290500E0,-1.089041114E0,3.289831802E-2,2.272032648E-1
1.534241500E0,-1.190152168E0,1.664810628E-1,2.190324515E-1
1.544192500E0,-1.241154075E0,1.382816434E-1,1.622448117E-1
1.554142500E0,-1.150100946E0,9.108545631E-2,8.480723947E-2
1.564093500E0,-1.013024688E0,1.057477593E-1,3.283618018E-2
1.574044500E0,-8.232621551E-1,1.642856449E-1,2.220231108E-2
1.583995500E0,-6.005744338E-1,2.636937201E-1,2.975982986E-2
1.593946500E0,-3.642673492E-1,3.045665622E-1,3.517857566E-2
1.603897500E0,-1.283330917E-1,2.770396173E-1,3.916133195E-2
1.613848500E0,5.733606592E-2,2.378207445E-1,3.823006898E-2
1.623798500E0,1.821813285E-1,2.158328891E-1,4.541740939E-2
1.633749500E0,2.599947453E-1,2.282562703E-1,4.537371919E-2
1.643700500E0,3.271695375E-1,2.939636409E-1,3.668968379E-2
1.653651500E0,3.889268935E-1,3.892306089E-1,2.840042301E-2
1.663602500E0,4.253813028E-1,4.601415098E-1,3.027368896E-2
1.673553500E0,4.440795481E-1,5.016117096E-1,5.176486820E-2
1.683504500E0,4.574536979E-1,5.443482399E-1,6.515284628E-2
1.693455500E0,4.790007770E-1,6.092692614E-1,5.802071840E-2
1.703405500E0,5.213474631E-1,6.619575620E-1,3.526587039E-2
1.713356500E0,5.824674368E-1,6.783270836E-1,8.095680736E-3
1.723307500E0,6.415568590E-1,6.456935406E-1,-5.461140070E-3
1.733258500E0,6.314636469E-1,5.584924817E-1,-1.009233296E-2
1.743209500E0,5.578852892E-1,4.587872326E-1,-1.129421871E-2
1.753160500E0,4.288273454E-1,3.892334402E-1,-1.496804506E-2
1.763111500E0,2.508461773E-1,3.407729566E-1,-3.063036315E-2
1.773061500E0,7.641658187E-2,3.030383587E-1,-6.198375672E-2
1.783012500E0,-7.323203236E-2,2.828390896E-1,-1.022006869E-1
1.792963500E0,-1.720405668E-1,3.060394824E-1,-1.298629493E-1
1.802914500E0,-2.026783824E-1,3.494133353E-1,-1.478675157E-1
1.812865500E0,-1.890785694E-1,3.724161088E-1,-1.587837934E-1
1.822816500E0,-1.322381943E-1,3.212320209E-1,-1.571717858E-1
1.832767500E0,-5.457787588E-2,2.011473477E-1,-1.259138286E-1
1.842718500E0,4.895490780E-2,5.652889982E-2,-6.495060772E-2
1.852668500E0,1.446610093E-1,-6.906364113E-2,7.894574665E-3
1.862619500E0,2.136739045E-1,-1.308593750E-1,4.154121876E-2
1.872570500E0,2.543579340E-1,-1.570402831E-1,4.372855648E-2
1.882521500E0,2.675355375E-1,-2.001062483E-1,3.069877252E-2
1.892472500E0,2.523814440E-1,-2.449475080E-1,3.047986887E-2
1.902423500E0,2.151110172E-1,-2.440231144E-1,3.264049068E-2
1.912374500E0,1.627388746E-1,-1.898173094E-1,4.068518430E-2
1.922324500E0,1.002062559E-1,-1.202337071E-1,5.105207115E-2
1.932275500E0,5.006963387E-2,-6.016593426E-2,5.597816780E-2
1.942226500E0,2.543033101E-2,-4.462185875E-2,5.735528842E-2
1.952177500E0,4.986406863E-2,-5.552643910E-2,5.090977252E-2
1.962128500E0,9.216385335E-2,-5.675335974E-2,4.899309576E-2
1.972079500E0,1.479646564E-1,-6.307845563E-2,5.100981891E-2
1.982030500E0,2.078762054E-1,-1.107671484E-1,5.853005499E-2
1.991980500E0,2.323424518E-1,-1.703457981E-1,6.374878436E-2
2.001931500E0,2.278590202E-1,-2.325407267E-1,6.006855518E-2
2.011882500E0,1.584626734E-1,-2.178648412E-1,3.333241865E-2
2.021833500E0,6.000347808E-2,-1.436382830E-1,1.918490604E-2
2.031784500E0,-3.850669041E-2,-6.236064062E-2,2.453994751E-2
2.041735500E0,-8.624065667E-2,-1.081516221E-2,3.033658117E-2
2.051686500E0,-4.684763029E-2,-2.429191023E-2,3.838430345E-2
2.061637500E0,5.062726140E-2,-6.305928528E-2,4.379824549E-2
2.071587500E0,1.472657621E-1,-8.336437494E-2,6.164413691E-2
2.081538500E0,1.938652247E-1,-1.076148525E-1,7.676582783E-2
