"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.176195836E-2,-5.796169460E-1,-6.283593357E-2,-4.141699791E-1
2.171195834E-2,-8.267615023E-1,-4.175280350E-1,-1.320008934E-1
3.166295832E-2,-7.910452473E-1,-5.734469640E-1,-1.810736507E-1
4.161395831E-2,-6.728911453E-1,-4.618247867E-1,-7.435950923E-1
5.156495841E-2,-8.901434197E-1,-1.797515953E-1,-1.245875595E0
6.151595840E-2,-1.127454713E0,8.022672236E-2,-1.428829125E0
7.146695838E-2,-1.004658361E0,1.047897059E-1,-1.295933023E0
8.141795837E-2,-7.932772757E-1,-1.856607914E-2,-1.095323240E0
9.136795835E-2,-6.672054590E-1,-1.725694603E-1,-7.182994527E-1
1.013189583E-1,-5.511466337E-1,-3.813238299E-1,-2.222064739E-1
1.112699583E-1,-5.598325264E-1,-5.996038985E-1,1.612229383E-1
1.212209584E-1,-4.784613577E-1,-6.753025371E-1,3.880317557E-1
1.311719584E-1,-2.339148655E-1,-5.923574442E-1,4.386318058E-1
1.411229584E-1,-1.971434073E-1,-3.537711650E-1,-5.130697846E-2
1.510729584E-1,1.898115836E-2,1.290433717E-1,2.292985618E-2
1.610239584E-1,-1.331301369E-3,2.952791280E-1,1.895895356E-1
1.709749583E-1,-5.041157971E-1,2.850020617E-1,3.010053062E-1
1.809259583E-1,-3.693667855E-1,3.117443025E-1,1.016409218E0
1.908769584E-1,1.533492970E-1,1.183517379E-1,2.046188679E0
2.008279584E-1,4.539101417E-1,-2.801921421E-1,2.252188425E0
2.107779584E-1,7.413667915E-1,-6.035934538E-1,1.552828104E0
2.207289584E-1,8.898876040E-1,-6.174823451E-1,1.385069733E0
2.306799584E-1,8.792159238E-1,-4.570698309E-1,1.508154792E0
2.406309583E-1,6.608746786E-1,-3.756648946E-1,1.358856665E0
2.505819583E-1,3.394927395E-1,-3.246157783E-1,8.893538994E-1
2.605329583E-1,-8.188530335E-2,-1.832856524E-1,5.058578289E-1
2.704839584E-1,-6.525315059E-1,-1.048528558E-1,2.870661288E-1
2.804339584E-1,-9.223572656E-1,-6.344579816E-2,1.121618754E-1
2.903850834E-1,-8.831251529E-1,-2.086695850E-2,-1.026139569E-1
3.003360834E-1,-7.639635026E-1,-9.461145759E-2,-4.066399348E-1
3.102870834E-1,-6.441508379E-1,-1.758509177E-1,-6.821583974E-1
3.202380834E-1,-6.126101161E-1,-1.553564268E-1,-7.952850634E-1
3.301890834E-1,-8.230096364E-1,-5.601106346E-2,-7.311984104E-1
3.401390833E-1,-1.209065545E0,7.189093173E-2,-4.941686600E-1
3.500900833E-1,-1.290165914E0,1.643570459E-1,-2.256984311E-1
3.600410834E-1,-1.204401148E0,2.121948713E-1,-7.820066214E-2
3.699920834E-1,-1.035530125E0,1.592822474E-1,-4.435697794E-2
3.799430834E-1,-8.636276123E-1,1.059129560E-1,-1.371172071E-2
3.898940834E-1,-6.813492159E-1,2.905890763E-2,1.935328978E-1
3.998450834E-1,-5.616133324E-1,-2.906300068E-2,4.311269045E-1
4.097950833E-1,-4.881527888E-1,-7.004496574E-2,5.858138251E-1
4.197460833E-1,-4.538713308E-1,-1.258367586E-1,5.104514015E-1
4.296970834E-1,-3.692912102E-1,-1.673888272E-1,4.123374617E-1
4.396480834E-1,-1.528843337E-1,-1.734345558E-1,4.566353828E-1
4.495990834E-1,-1.770404606E-1,-1.912749955E-1,5.805185866E-1
4.595500834E-1,-2.324939921E-1,-2.761718890E-1,5.514971012E-1
4.695000834E-1,-1.331256053E-1,-5.388805640E-1,4.678047341E-1
4.794510833E-1,6.165779270E-3,-7.677870700E-1,3.592693019E-1
4.894020833E-1,1.753753929E-1,-8.979352731E-1,2.452597064E-1
4.993530833E-1,1.302121935E-1,-5.849396664E-1,2.821059358E-1
5.093040834E-1,-1.837897920E-1,-1.385828117E-1,4.431797701E-1
5.192550834E-1,-5.706305064E-1,-2.269333631E-2,3.388473165E-1
5.292060834E-1,-1.300767501E0,2.806683978E-1,6.981107712E-2
5.391560834E-1,-1.970259221E0,1.381993513E0,7.888127804E-1
5.491070834E-1,-1.607452500E0,1.622369917E0,1.242523386E0
5.590580833E-1,-9.405260995E-1,1.263103831E-1,-3.340455830E-2
5.690090833E-1,-4.427376475E-1,-6.829352000E-1,-1.154001219E0
5.789600834E-1,8.525759362E-2,-9.986064926E-1,-9.622868049E-1
5.889110834E-1,1.844293678E-1,-9.614512378E-1,-9.986518085E-2
5.988610834E-1,2.358093634E-1,-9.672122070E-1,5.454750538E-1
6.088120834E-1,5.039457893E-1,-5.284725201E-1,5.871136612E-1
6.187630834E-1,7.288041218E-1,-2.443294144E-1,8.591635555E-1
6.287140833E-1,6.039469910E-1,-5.550647798E-1,1.401572329E0
6.386650833E-1,4.935321906E-1,-7.124434662E-1,1.716578209E0
6.486160833E-1,3.819544521E-1,-6.433290848E-1,1.672073881E0
6.585670834E-1,1.715312140E-1,-7.561411706E-1,1.536193945E0
6.685170834E-1,4.115920879E-2,-7.765950233E-1,1.395359663E0
