"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.245919704E-1,5.233656975E1,4.992542845E0,1.607456179E-1,1.793354426E1,1.318897383E2,4.755303181E0,3.348377023E0
1.724590659E0,5.233646406E1,4.992746919E0,4.091401389E-1,1.800646465E1,1.301738471E2,4.755265908E0,3.348429957E0
2.724589944E0,5.233636570E1,4.992956147E0,5.344736259E-1,1.805073922E1,1.280974205E2,4.754512272E0,3.349499976E0
3.724587202E0,5.233627105E1,4.993171598E0,4.228186049E-1,1.812251972E1,1.259469681E2,4.754400043E0,3.349659275E0
4.724586606E0,5.233617509E1,4.993387892E0,5.019772081E-1,1.814257347E1,1.259469681E2,4.754747991E0,3.349165355E0
5.724585056E0,5.233608376E1,4.993604715E0,3.698942056E-1,1.800052677E1,1.255505219E2,4.753732091E0,3.350607145E0
6.724587679E0,5.233599584E1,4.993823645E0,5.101730656E-1,1.788994851E1,1.221222076E2,4.752568362E0,3.352257597E0
7.724583387E0,5.233591634E1,4.994046626E0,7.296310998E-1,1.777135360E1,1.215838013E2,4.751692510E0,3.353498967E0
8.724582314E0,5.233583953E1,4.994277752E0,6.667046482E-1,1.782688962E1,1.215838013E2,4.751457855E0,3.353831433E0
9.724581718E0,5.233574049E1,4.994492267E0,7.153781336E-1,1.803150377E1,1.210456009E2,4.751765187E0,3.353395986E0
1.072458065E1,5.233565526E1,4.994723420E0,6.520431871E-1,1.825049744E1,1.210456009E2,4.751610545E0,3.353615104E0
1.172458041E1,5.233556921E1,4.994959934E0,5.455977749E-1,1.851172206E1,1.203680344E2,4.751543161E0,3.353710575E0
1.272457945E1,5.233552003E1,4.995231256E0,7.051064856E-1,1.867141030E1,1.194678252E2,4.750906691E0,3.354612145E0
1.372457886E1,5.233543463E1,4.995473275E0,5.042101657E-1,1.885113546E1,1.195564521E2,4.750682219E0,3.354930028E0
1.472457790E1,5.233535207E1,4.995717408E0,5.893282415E-1,1.897433244E1,1.189276555E2,4.749793602E0,3.356187983E0
1.572457802E1,5.233527081E1,4.995969120E0,2.511975700E-1,1.918759989E1,1.175080568E2,4.748808852E0,3.357581201E0
1.672457755E1,5.233519028E1,4.996225790E0,-3.722300753E-4,1.944566804E1,1.170370871E2,4.747619374E0,3.359262912E0
1.772457600E1,5.233511358E1,4.996479055E0,-7.306892704E-2,1.934221908E1,1.164894660E2,4.747629649E0,3.359248391E0
1.872457576E1,5.233504087E1,4.996728422E0,-2.856253181E-2,1.884603351E1,1.159186139E2,4.747282564E0,3.359738872E0
1.972457564E1,5.233497077E1,4.996970593E0,1.235931553E-2,1.824185978E1,1.153290476E2,4.747474048E0,3.359468290E0
2.072457492E1,5.233490574E1,4.997204217E0,8.843441866E-2,1.763059130E1,1.146906574E2,4.747929168E0,3.358825039E0
2.172457457E1,5.233484738E1,4.997435819E0,5.949076461E-1,1.704345035E1,1.125704811E2,4.748026549E0,3.358687381E0
2.272457397E1,5.233479684E1,4.997667007E0,6.003897842E-1,1.673646305E1,1.096742991E2,4.748480984E0,3.358044874E0
2.372457349E1,5.233475834E1,4.997898084E0,9.964931328E-1,1.637804202E1,1.063133480E2,4.748292387E0,3.358311546E0
2.472457314E1,5.233472670E1,4.998126217E0,1.415285821E0,1.591467481E1,1.020752571E2,4.747898451E0,3.358868460E0
2.572457623E1,5.233471003E1,4.998353014E0,1.759881099E0,1.563359656E1,9.696283617E1,4.747468017E0,3.359476813E0
2.672457206E1,5.233470318E1,4.998583139E0,2.047422675E0,1.550963057E1,9.226854302E1,4.747235619E0,3.359805204E0
2.772457278E1,5.233470730E1,4.998813692E0,2.619919660E0,1.557102255E1,8.766801806E1,4.747674250E0,3.359185355E0
2.872457278E1,5.233472285E1,4.999045532E0,3.108817207E0,1.570712093E1,8.336630692E1,4.747975703E0,3.358759259E0
2.972457135E1,5.233475221E1,4.999272498E0,3.319078011E0,1.582646711E1,7.867318318E1,4.748838911E0,3.357538686E0
3.072457063E1,5.233479124E1,4.999495668E0,3.531030709E0,1.587488777E1,7.452131243E1,4.750061469E0,3.355808855E0
3.172457147E1,5.233483557E1,4.999713427E0,3.629617469E0,1.579639383E1,7.135478094E1,4.748785486E0,3.357614249E0
3.272457087E1,5.233488519E1,4.999927255E0,3.645342686E0,1.575983234E1,6.872899735E1,4.748798231E0,3.357596222E0
