"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.566021919E-3,5.234027011E1,4.868866930E0,3.488422930E-1,NaN,NaN,6.200000000E1,5.129857063E0
4.997249842E-1,5.233982815E1,4.868387816E0,3.478946984E-1,NaN,NaN,1.695334630E2,5.568036556E0
1.996361971E0,5.233952732E1,4.868459660E0,3.478444815E-1,NaN,NaN,1.725878091E2,5.121735096E0
2.055242300E0,5.233897137E1,4.868487390E0,3.335958481E1,6.840000153E0,1.792968750E2,2.878042254E1,3.200000000E1
3.055242777E0,5.233871359E1,4.868639018E0,9.922267914E0,6.840000153E0,1.757812500E2,1.287354354E1,2.400000000E1
4.055242300E0,5.233870311E1,4.868587134E0,5.575099945E0,9.899999619E0,1.719140625E2,8.794236617E0,1.200000000E1
5.055242300E0,5.233862717E1,4.868603814E0,-1.701145172E0,9.899999619E0,1.792968750E2,7.063426919E0,1.200000000E1
6.055242062E0,5.233855555E1,4.868608760E0,-1.292209625E0,8.409999847E0,1.782421875E2,7.437372173E0,1.200000000E1
7.055242777E0,5.233849654E1,4.868617058E0,-1.463596344E0,8.409999847E0,1.778906250E2,9.155562344E0,1.200000000E1
8.055249810E0,5.233842395E1,4.868617477E0,-3.009376526E-1,8.399999619E0,1.782421875E2,1.279564189E1,8.000000000E0
9.055253267E0,5.233835593E1,4.868621333E0,4.228782654E-1,8.260000229E0,1.775390625E2,1.557495444E1,8.000000000E0
1.005525148E1,5.233834856E1,4.868600629E0,6.283187866E-2,5.280000210E0,1.821093750E2,1.605377846E1,1.200000000E1
1.105525148E1,5.233826700E1,4.868581686E0,-1.909275055E0,6.480000019E0,1.726171875E2,1.547736593E1,1.200000000E1
1.205525327E1,5.233823871E1,4.868588895E0,-2.659641266E0,5.280000210E0,1.785937500E2,1.121520104E1,1.200000000E1
1.305525243E1,5.233818540E1,4.868599623E0,-1.842136383E0,4.719999790E0,1.736718750E2,1.101405807E1,1.200000000E1
1.405525184E1,5.233814324E1,4.868607256E0,-5.942148301E0,4.719999790E0,1.736718810E2,1.101405807E1,1.200000000E1
1.505525303E1,5.233810025E1,4.868602767E0,-5.534696830E0,4.500000000E0,1.789453135E2,1.240145737E1,1.200000000E1
1.605525315E1,5.233811896E1,4.868561323E0,-5.237693316E0,2.269999981E0,2.197265456E2,1.212912677E1,1.200000000E1
1.705525219E1,5.233809374E1,4.868537006E0,-4.789462475E0,2.529999971E0,2.253515416E2,1.432223164E1,1.200000000E1
1.805525219E1,5.233807569E1,4.868491445E0,-4.354960827E0,2.529999971E0,2.453905983E2,1.771334151E1,1.200000000E1
1.905524969E1,5.233808516E1,4.868525192E0,-4.354957513E0,0.000000000E0,2.453906250E2,2.045660996E1,1.200000000E1
2.005524957E1,5.233807655E1,4.868451573E0,-3.809798355E0,3.140000105E0,2.844140272E2,1.808762269E1,1.200000000E1
2.105524981E1,5.233815937E1,4.868545021E0,-1.434947540E0,2.140000105E0,6.679690391E0,1.617224113E1,1.200000000E1
2.205525088E1,5.233812162E1,4.868594091E0,-2.806624696E-1,0.000000000E0,NaN,1.246525819E1,1.200000000E1
2.305525219E1,5.233807596E1,4.868614822E0,-4.089084165E-1,2.140000105E0,1.683984425E2,1.052513527E1,1.200000000E1
2.405525386E1,5.233798920E1,4.868613034E0,-3.219424544E0,2.740000010E0,1.800000000E2,8.299514494E0,1.200000000E1
2.505525529E1,5.233787600E1,4.868622776E0,-3.389685374E0,7.949999809E0,1.778906284E2,8.076379348E0,1.200000000E1
2.605525637E1,5.233780125E1,4.868631091E0,-3.142823420E0,9.039999962E0,1.792968763E2,6.968235870E0,8.000000000E0
2.705525696E1,5.233771962E1,4.868638945E0,-2.855618675E0,9.039999962E0,1.789453144E2,6.115992260E0,8.000000000E0
2.805525780E1,5.233761750E1,4.868640083E0,-2.861999293E0,9.960000038E0,1.796484382E2,6.011199242E0,8.000000000E0
2.905525899E1,5.233751562E1,4.868651806E0,-3.275301437E0,1.072000027E1,1.775390678E2,5.935192579E0,8.000000000E0
3.005525959E1,5.233741201E1,4.868660733E0,-4.533392410E0,1.072000027E1,1.771875061E2,6.150863395E0,8.000000000E0
3.105526006E1,5.233732166E1,4.868664211E0,-4.126196365E0,1.072000027E1,1.782421913E2,6.219077390E0,8.000000000E0
3.205526161E1,5.233723459E1,4.868672909E0,-3.479739351E0,1.031999969E1,1.785937529E2,6.098333484E0,8.000000000E0
3.305526602E1,5.233714531E1,4.868692050E0,-2.487460572E0,1.014999962E1,1.757812587E2,6.054086904E0,6.000000000E0
3.405526280E1,5.233710914E1,4.868730019E0,1.125901133E1,9.523109728E0,1.855642063E2,4.676863689E0,3.457091706E0
3.505526257E1,5.233703368E1,4.868752112E0,1.589300168E1,8.352169156E0,1.757301201E2,4.684521771E0,3.446707532E0
3.605526292E1,5.233692962E1,4.868763652E0,1.673892386E1,9.389895410E0,1.760632072E2,4.680075632E0,3.452742260E0
3.705526400E1,5.233682242E1,4.868805389E0,1.813132828E1,1.002515313E1,1.750358582E2,4.674270364E0,3.460597289E0
3.805526471E1,5.233670311E1,4.868798653E0,1.731328399E1,1.092025093E1,1.773318747E2,4.690523837E0,3.438535032E0
3.905526626E1,5.233659541E1,4.868839152E0,1.707052012E1,1.022166003E1,1.749452665E2,4.694704261E0,3.432825212E0
4.005526614E1,5.233651336E1,4.868837853E0,1.727101264E1,9.457059967E0,1.769477760E2,4.700082893E0,3.425457317E0
4.105526543E1,5.233643405E1,4.868852379E0,1.827346432E1,1.001460778E1,1.757074363E2,4.699670205E0,3.426023497E0
4.205526662E1,5.233633644E1,4.868866368E0,1.932501890E1,1.036551331E1,1.759984770E2,4.702785411E0,3.421746105E0
4.305526650E1,5.233623097E1,4.868843325E0,1.828005077E1,1.036210492E1,1.808594671E2,4.743327907E0,3.365319806E0
