"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.021995832E-2,-8.742799163E-1,-1.125450015E0,-8.726029843E-2
2.016995836E-2,-1.054714441E0,-1.535351634E0,4.353310540E-2
3.011995833E-2,-1.115661979E0,-1.997290850E0,1.416359693E-1
4.006995837E-2,-1.009409904E0,-2.249711275E0,2.000816613E-1
5.001895834E-2,-7.956401110E-1,-2.284020424E0,2.057350129E-1
5.996895832E-2,-5.300319195E-1,-2.132011414E0,1.489954144E-1
6.991895835E-2,-2.984609902E-1,-1.812272549E0,4.745599627E-2
7.986895833E-2,-1.513802111E-1,-1.384597778E0,-6.453247368E-2
8.981895837E-2,-1.332073212E-1,-9.911026955E-1,-1.262232661E-1
9.976895835E-2,-2.600430846E-1,-7.418302894E-1,-9.805784374E-2
1.097189583E-1,-4.476867616E-1,-6.349991560E-1,5.577202886E-3
1.196679584E-1,-5.806156993E-1,-6.379105449E-1,1.084209308E-1
1.296179583E-1,-6.419259310E-1,-8.059344292E-1,1.905120611E-1
1.395679584E-1,-6.350596547E-1,-9.936725497E-1,2.815610468E-1
1.495179583E-1,-5.697610378E-1,-1.051025271E0,3.678887486E-1
1.594679583E-1,-4.732539356E-1,-9.621739984E-1,4.209928215E-1
1.694179584E-1,-3.758315146E-1,-8.482993841E-1,4.173837006E-1
1.793669583E-1,-2.912306786E-1,-7.518418431E-1,3.655109704E-1
1.893169584E-1,-2.459590733E-1,-6.577121615E-1,2.690262496E-1
1.992669583E-1,-2.756752372E-1,-6.029671431E-1,1.478531510E-1
2.092169583E-1,-4.001194239E-1,-6.449604034E-1,7.474670559E-2
2.191669584E-1,-5.849015713E-1,-8.000215888E-1,8.379428834E-2
2.291169583E-1,-7.726054192E-1,-1.012207389E0,1.539805532E-1
2.390659584E-1,-9.330156446E-1,-1.230484366E0,2.792800367E-1
2.490159583E-1,-1.009492874E0,-1.401545286E0,4.547099173E-1
2.589659583E-1,-9.746918082E-1,-1.509153724E0,6.298168302E-1
2.689159584E-1,-8.364697695E-1,-1.509118915E0,7.619432211E-1
2.788659583E-1,-6.446516514E-1,-1.389854312E0,8.355575800E-1
2.888159584E-1,-4.639269114E-1,-1.210929036E0,8.122684956E-1
2.987659583E-1,-3.593852520E-1,-1.005609632E0,7.168425322E-1
3.087149584E-1,-3.495816290E-1,-7.921003699E-1,5.926409960E-1
3.186649584E-1,-4.397192299E-1,-6.307656169E-1,4.905722737E-1
3.286149583E-1,-5.777657628E-1,-5.791482329E-1,4.541458189E-1
3.385649584E-1,-7.301043868E-1,-6.508157849E-1,4.733552933E-1
3.485149583E-1,-8.470842838E-1,-7.994862199E-1,5.226437449E-1
3.584649583E-1,-8.896557093E-1,-9.117078185E-1,5.750961900E-1
3.684139583E-1,-7.990996838E-1,-9.244979024E-1,6.172510982E-1
3.783639583E-1,-6.264826059E-1,-8.519540429E-1,6.498047709E-1
3.883139584E-1,-4.330359101E-1,-7.417678833E-1,6.532242894E-1
3.982639583E-1,-3.098800778E-1,-6.027084589E-1,6.291301250E-1
4.082139583E-1,-2.854791284E-1,-4.652403593E-1,5.812240839E-1
4.181639584E-1,-3.448863924E-1,-3.791803420E-1,5.170822144E-1
4.281129583E-1,-4.624178410E-1,-3.730231225E-1,4.677213430E-1
4.380629584E-1,-5.992621183E-1,-4.880117178E-1,4.517057538E-1
4.480129583E-1,-6.969748139E-1,-6.759536266E-1,4.710376263E-1
4.579629583E-1,-7.100806236E-1,-8.622221947E-1,5.306794643E-1
4.679129584E-1,-6.035850644E-1,-9.795608521E-1,6.121007800E-1
4.778629583E-1,-4.101776779E-1,-9.925514460E-1,6.766723990E-1
4.878119584E-1,-1.849110126E-1,-8.882519007E-1,7.189580798E-1
4.977619583E-1,-2.694912627E-2,-6.643983722E-1,6.840244532E-1
5.077119584E-1,-3.546218574E-2,-3.700141311E-1,5.663851500E-1
5.176619584E-1,-1.728463620E-1,-1.177029833E-1,4.419885576E-1
5.276119583E-1,-3.726430833E-1,-8.311122656E-6,3.887106776E-1
5.375619584E-1,-5.631793141E-1,-6.953434646E-2,4.165503085E-1
5.475119583E-1,-7.395242453E-1,-2.965720296E-1,5.026359558E-1
5.574609584E-1,-8.606247902E-1,-6.502515674E-1,6.195281148E-1
5.674109583E-1,-8.830161095E-1,-9.871619344E-1,7.279304862E-1
5.773609583E-1,-7.708298564E-1,-1.128495812E0,7.614421844E-1
5.873109584E-1,-5.522013903E-1,-9.813053012E-1,7.292286158E-1
5.972609583E-1,-3.022727966E-1,-4.480496645E-1,6.451283693E-1
6.072109583E-1,-1.021304056E-1,4.334199131E-1,5.236248970E-1
6.171599583E-1,-2.892350778E-2,1.120673060E0,3.722783327E-1
6.271099583E-1,-1.006056815E-1,1.325713754E0,1.872392446E-1
6.370599584E-1,-2.531248629E-1,1.270451188E0,-1.140721329E-2
6.470099583E-1,-3.792029023E-1,1.267417669E0,-1.731345952E-1
6.569599584E-1,-4.007410109E-1,1.299860477E0,-2.699992955E-1
6.669099584E-1,-2.999494374E-1,1.152071834E0,-3.070129752E-1
6.768599583E-1,-1.019079983E-1,8.998226523E-1,-2.972309291E-1
6.868089584E-1,1.564321965E-1,7.383554578E-1,-2.933954597E-1
6.967589583E-1,4.539416730E-1,6.546376944E-1,-2.793386579E-1
7.067089584E-1,7.271924019E-1,6.911118031E-1,-2.547278702E-1
7.166589584E-1,8.998653293E-1,8.515191674E-1,-2.206489593E-1
7.266089583E-1,9.247275591E-1,1.062512636E0,-1.590524316E-1
7.365589584E-1,7.358477116E-1,1.154879928E0,1.410208642E-2
7.465079583E-1,3.634949028E-1,1.191660047E0,2.975535095E-1
7.564579584E-1,-8.997171372E-2,1.277792096E0,5.727317929E-1
7.664079583E-1,-5.093852282E-1,1.435865164E0,7.538432479E-1
