"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.021995832E-2,-3.125190586E-2,-8.619766510E-1,-3.397420574E0
2.016995836E-2,-3.642172158E-1,-4.278442776E-1,-3.426197062E0
3.011995833E-2,-1.497614016E0,1.947666603E-1,-2.641520017E0
4.006995837E-2,-1.443369689E0,5.816862756E-1,-1.516442635E0
5.001895834E-2,-6.968849024E-1,9.011611819E-1,-1.347543472E-1
5.996895832E-2,-5.598504335E-2,6.748230654E-1,1.202897975E0
6.991895835E-2,6.106606910E-1,1.477135313E-1,2.010242336E0
7.986895833E-2,1.162138204E0,-4.218918121E-1,2.096871175E0
8.981895837E-2,1.393019315E0,-9.290857297E-1,1.569624816E0
9.976895835E-2,1.111834900E0,-1.232472607E0,7.206921333E-1
1.097189583E-1,4.387665841E-1,-1.253770505E0,-6.392000735E-2
1.196679584E-1,-3.133888319E-1,-8.286024982E-1,-4.366513538E-1
1.296179583E-1,-9.751597425E-1,-2.802628934E-2,-1.469200641E-1
1.395679584E-1,-1.347284148E0,7.333963788E-1,4.083677870E-1
1.495179583E-1,-1.303902486E0,1.167315329E0,8.072297555E-1
1.594679583E-1,-8.442841458E-1,1.134680264E0,9.283741236E-1
1.694179584E-1,-1.333245568E-1,6.132624096E-1,8.197492290E-1
1.793669583E-1,5.405003889E-1,-8.723870337E-2,4.736940497E-1
1.893169584E-1,8.909727010E-1,-6.705715549E-1,-1.019169688E-2
1.992669583E-1,8.819796833E-1,-1.030276474E0,-4.947709233E-1
2.092169583E-1,6.323453826E-1,-1.153181439E0,-9.792700428E-1
2.191669584E-1,1.316797350E-1,-8.540022182E-1,-1.301685514E0
2.291169583E-1,-5.490835167E-1,-2.604209518E-1,-1.240725952E0
2.390659584E-1,-1.013740110E0,3.146579701E-1,-9.765376389E-1
2.490159583E-1,-1.330161308E0,7.727653894E-1,-5.060028398E-1
2.589659583E-1,-1.508554887E0,1.012526082E0,9.616857111E-2
2.689159584E-1,-1.388642820E0,8.895673227E-1,5.877130008E-1
2.788659583E-1,-1.103680227E0,5.356222031E-1,9.737017393E-1
2.888159584E-1,-6.877422691E-1,1.696239254E-1,1.118906815E0
2.987659583E-1,-8.844432615E-2,-2.114797568E-1,9.717891151E-1
3.087149584E-1,4.248089149E-1,-6.592533919E-1,5.388349557E-1
3.186649584E-1,6.878225952E-1,-9.372423032E-1,8.198614955E-2
3.286149583E-1,6.076937407E-1,-9.958308193E-1,-2.162721348E-1
3.385649584E-1,2.699399266E-1,-8.101390377E-1,-3.265149540E-1
3.485149583E-1,-9.664161086E-2,-4.059888473E-1,-2.146588880E-1
3.584649583E-1,-3.614332468E-1,-7.386787534E-2,5.960710108E-2
3.684139583E-1,-4.453334093E-1,4.619563490E-2,4.206878704E-1
3.783639583E-1,-3.149642911E-1,-7.047795206E-2,8.377709323E-1
3.883139584E-1,-1.135023861E-1,-3.026036426E-1,1.007933094E0
3.982639583E-1,1.195884422E-2,-6.133621046E-1,7.201717311E-1
4.082139583E-1,3.113529045E-2,-8.858528790E-1,2.213141888E-1
4.181639584E-1,-1.503972730E-2,-1.127510701E0,-2.618207753E-1
4.281129583E-1,-1.797699044E-3,-1.118761219E0,-6.312034214E-1
4.380629584E-1,1.061592151E-2,-8.889185742E-1,-8.147241318E-1
4.480129583E-1,-1.224962078E-1,-6.431934294E-1,-6.034841108E-1
4.579629583E-1,-2.860680274E-1,-3.102202258E-1,-4.554103911E-2
4.679129584E-1,-4.384551468E-1,-1.388070524E-2,5.008257151E-1
4.778629583E-1,-4.537300109E-1,1.806166908E-1,9.393932015E-1
4.878119584E-1,-2.372544296E-1,1.850898108E-1,1.189711334E0
4.977619583E-1,1.666690350E-2,1.452541924E-1,1.098601189E0
