"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.535916665E-3,2.284848633E0,7.021149445E0,6.647975464E0
1.253191667E-2,2.120939484E0,7.014712830E0,6.759343872E0
2.252891667E-2,2.120789795E0,6.920858002E0,6.918762360E0
3.252491667E-2,1.881437531E0,6.773564301E0,7.007827148E0
4.252191666E-2,1.659000092E0,6.534062347E0,7.137906647E0
5.251791667E-2,1.604214020E0,6.307134247E0,7.241341553E0
6.251491667E-2,1.638343048E0,6.163133698E0,7.326215057E0
7.251091667E-2,1.698068848E0,6.042035522E0,7.346722412E0
8.250791666E-2,1.667831726E0,5.907914429E0,7.298971710E0
9.250391667E-2,1.613644409E0,5.764063568E0,7.273973694E0
1.025009167E-1,1.709894257E0,5.652395782E0,7.382797394E0
1.124969167E-1,1.951791229E0,5.666017456E0,7.411687317E0
1.224929167E-1,1.869761810E0,5.823190613E0,7.363188171E0
1.324899167E-1,7.848179626E-1,5.965843964E0,7.340285797E0
1.424869167E-1,1.266516266E0,6.386618958E0,7.119494934E0
1.524829167E-1,1.557810516E0,6.545738068E0,7.094496918E0
1.624789167E-1,1.222358093E0,6.285878448E0,7.445367279E0
1.724759167E-1,1.281485138E0,5.972430267E0,7.909402313E0
1.824719167E-1,9.358538818E-1,5.811065826E0,8.292006683E0
1.924689167E-1,7.288343811E-1,5.743855591E0,8.435707855E0
2.024649167E-1,7.848179626E-1,5.666017456E0,8.492439880E0
2.124619167E-1,7.762857056E-1,5.485492859E0,8.699309692E0
2.224579167E-1,6.821315002E-1,5.411247253E0,8.872050476E0
2.324549167E-1,5.129832458E-1,5.423372040E0,9.098978577E0
2.424509167E-1,5.239105225E-2,5.203628998E0,9.067244568E0
2.524479167E-1,-3.382965088E-2,5.303621063E0,8.662635956E0
2.624439167E-1,3.365002441E-1,5.586532745E0,8.357570343E0
2.724409167E-1,5.087919617E-1,5.549110565E0,8.115224304E0
2.824369167E-1,5.769003296E-1,5.435796204E0,7.918084259E0
2.924332917E-1,6.384223938E-1,5.360802155E0,7.832761688E0
3.024292917E-1,5.475613403E-1,5.376818848E0,7.948620758E0
3.124262917E-1,6.822811890E-1,5.539081421E0,8.329728241E0
3.224222917E-1,7.583230591E-1,5.332810364E0,8.416098633E0
3.324192917E-1,7.060816956E-1,5.007985840E0,8.533005524E0
3.424152917E-1,6.575825500E-1,4.782554626E0,8.866062927E0
3.524122917E-1,6.174659729E-1,4.639751587E0,9.139095154E0
3.624082917E-1,5.851332092E-1,4.669389954E0,9.333091736E0
3.724052917E-1,4.549040222E-1,4.775668945E0,9.595046997E0
3.824012917E-1,2.733316040E-1,4.830005951E0,9.419312439E0
3.923982917E-1,9.654922485E-2,4.951852570E0,9.273515625E0
4.023942917E-1,2.273771667E-1,5.087919617E0,9.486372986E0
4.123912917E-1,4.679269409E-1,4.855003967E0,9.728419647E0
4.223872917E-1,5.403762817E-1,4.822970581E0,9.406289520E0
4.323842917E-1,3.993695068E-1,4.916376343E0,9.080866241E0
4.423802917E-1,2.523751831E-1,5.071453857E0,8.824898529E0
