"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.003191667E-2,-3.311845958E-1,4.573525488E-1,-1.293281615E-1
2.002791666E-2,-4.053652287E-1,4.569252729E-1,-1.337219328E-1
3.002491666E-2,-4.546555281E-1,4.234408140E-1,-1.042612493E-1
4.002091667E-2,-4.607324600E-1,3.891629577E-1,-7.885598391E-2
5.001791667E-2,-4.440328479E-1,3.373729885E-1,-5.979441106E-2
6.001391667E-2,-4.108711779E-1,2.765923738E-1,-4.885862023E-2
7.001091666E-2,-3.721605241E-1,2.369797230E-1,-3.988616541E-2
8.000691667E-2,-3.468330503E-1,2.357143909E-1,-3.271237761E-2
9.000391667E-2,-3.325121701E-1,3.000009656E-1,-2.190473676E-2
9.999991667E-2,-3.187519014E-1,3.895854950E-1,-1.806608774E-2
1.099969167E-1,-3.107978404E-1,4.620916545E-1,-3.506610915E-2
1.199929167E-1,-3.250453770E-1,5.978015065E-1,-4.941215366E-2
1.299899167E-1,-3.581037223E-1,9.763240218E-1,3.578769788E-2
1.399859167E-1,-5.143927932E-1,1.164779544E0,1.380819231E-1
1.499829167E-1,-6.994017959E-1,1.177073240E0,2.383683175E-1
1.599789167E-1,-8.130598068E-1,1.148683429E0,2.637681961E-1
1.699759167E-1,-8.510305882E-1,1.066675901E0,2.123997957E-1
1.799719167E-1,-8.290866613E-1,9.747428894E-1,1.830993891E-1
1.899689167E-1,-7.780197263E-1,8.963229656E-1,1.738398522E-1
1.999649167E-1,-6.978358030E-1,8.330228925E-1,1.468432248E-1
2.099619167E-1,-5.940169692E-1,8.232488036E-1,1.109848246E-1
2.199579167E-1,-4.913490415E-1,7.573824525E-1,7.948520035E-2
2.299549167E-1,-3.924389482E-1,6.498831511E-1,6.444473565E-2
2.399509167E-1,-3.066212833E-1,5.782662630E-1,9.356045723E-2
2.499479167E-1,-2.858270407E-1,4.100183547E-1,1.920939535E-1
2.599439167E-1,-3.217796981E-1,2.575238347E-1,2.836351991E-1
2.699409167E-1,-3.858407140E-1,2.856545448E-1,3.520230353E-1
2.799369167E-1,-4.664329588E-1,3.991583288E-1,3.914241791E-1
2.899339167E-1,-5.521297455E-1,5.162553787E-1,4.452930093E-1
2.999292917E-1,-6.011382341E-1,6.404851079E-1,5.278444886E-1
3.099262917E-1,-5.843184590E-1,7.399432659E-1,6.126933098E-1
3.199222917E-1,-5.081774592E-1,7.833281159E-1,6.761597395E-1
3.299192917E-1,-3.871189654E-1,7.661451101E-1,7.180550098E-1
3.399152917E-1,-2.015766799E-1,7.819497585E-1,7.412232757E-1
3.499122917E-1,-3.480793163E-2,7.131552696E-1,7.583755851E-1
3.599082917E-1,1.126793623E-1,5.639708042E-1,7.401170135E-1
3.699052917E-1,2.390383631E-1,5.191519260E-1,7.003579140E-1
3.799012917E-1,2.993446589E-1,5.411740541E-1,6.581548452E-1
3.898972917E-1,3.211503625E-1,3.926831186E-1,6.938944459E-1
3.998942917E-1,3.166197538E-1,1.135342941E-1,7.340345383E-1
4.098902917E-1,3.194448352E-1,-1.237384323E-2,6.947249174E-1
4.198872917E-1,2.962960899E-1,-1.058023274E-1,6.364091635E-1
4.298832917E-1,2.804015577E-1,-1.125800684E-1,6.087048054E-1
4.398802917E-1,2.709552944E-1,-8.562317491E-2,5.932399631E-1
4.498762917E-1,2.600456476E-1,-1.205670461E-1,5.699812770E-1
4.598732917E-1,2.669835985E-1,-2.108358741E-1,5.191613436E-1
4.698692917E-1,2.870603800E-1,-3.397589922E-1,4.451850951E-1
4.798662917E-1,1.580673009E-1,-2.005519867E-1,1.803678423E-1
4.898622917E-1,1.276982129E-1,1.971271932E-1,1.556800753E-1
4.998592917E-1,-1.795285195E-2,2.811223865E-1,1.967698932E-1
5.098552917E-1,-1.570649445E-1,4.016176462E-1,1.441916376E-1
5.198522917E-1,-2.898188531E-1,4.941042364E-1,5.784009770E-2
5.298482917E-1,-3.551088870E-1,5.951935649E-1,-7.874732837E-3
5.398452917E-1,-4.235569239E-1,6.037621498E-1,-1.977941394E-2
5.498412917E-1,-4.845212102E-1,5.751760006E-1,-1.134837884E-2
5.598382917E-1,-4.961600006E-1,5.406740904E-1,1.681613852E-3
5.698342917E-1,-4.720323086E-1,4.756468832E-1,2.454197034E-3
5.798312917E-1,-3.912737966E-1,5.084297657E-1,-2.252070606E-2
5.898272917E-1,-2.929765284E-1,5.269110203E-1,-3.588018939E-2
5.998242917E-1,-2.100623846E-1,5.706394911E-1,-3.980708867E-2
6.098202917E-1,-1.623822004E-1,6.250068545E-1,-4.645780101E-2
6.198172917E-1,-1.470978409E-1,7.154164314E-1,-4.497791454E-2
6.298132917E-1,-1.443137676E-1,9.348371625E-1,-4.615236819E-2
6.398102917E-1,-1.805924177E-1,1.160223961E0,-4.178025573E-2
6.498062917E-1,-2.139005661E-1,1.469262004E0,-5.211545154E-2
6.598032917E-1,-2.773710191E-1,1.714735389E0,-5.105724186E-2
6.697992917E-1,-3.751910627E-1,1.903267980E0,-3.956144303E-2
6.797962917E-1,-4.796625674E-1,2.091480494E0,-5.403616931E-3
6.897922917E-1,-5.997908711E-1,2.158375263E0,6.254187971E-2
6.997892917E-1,-6.910846233E-1,2.053892851E0,1.530424654E-1
7.097852917E-1,-7.466072440E-1,1.877220750E0,2.431941926E-1
7.197822917E-1,-7.216566205E-1,1.719359756E0,2.954939008E-1
7.297782917E-1,-6.172364950E-1,1.620356679E0,3.087007701E-1
7.397752917E-1,-4.789015353E-1,1.451163650E0,3.448908925E-1
7.497712917E-1,-2.840242088E-1,1.291524529E0,4.058402479E-1
7.597682917E-1,-7.950515300E-2,1.096992016E0,4.723689556E-1
7.697642917E-1,1.135324761E-1,9.269977212E-1,5.360866785E-1
7.797612917E-1,2.629702687E-1,7.848532796E-1,5.699690580E-1
7.897572917E-1,4.806647599E-1,9.125483632E-1,5.958437920E-1
7.997532917E-1,6.298909187E-1,9.986190200E-1,6.749990582E-1
8.097502917E-1,4.297834039E-1,4.184494317E-1,7.390488982E-1
8.197462917E-1,1.741295755E-1,5.878828093E-2,6.308897138E-1
8.297432917E-1,-6.167222280E-3,2.628564537E-1,3.322955370E-1
8.397392917E-1,-1.306392401E-1,5.248331428E-1,1.102984920E-1
8.497362917E-1,-2.408232540E-1,6.456293464E-1,3.955214843E-2
8.597322917E-1,-3.277479708E-1,6.617334485E-1,6.467207521E-2
8.697292917E-1,-3.825209141E-1,5.787392259E-1,8.944453299E-2
8.797252917E-1,-3.844974637E-1,4.455999136E-1,3.302097321E-2
8.897222917E-1,-3.371667266E-1,3.184536695E-1,-2.757553011E-2
8.997182917E-1,-3.012726009E-1,1.669218391E-1,-6.084322929E-2
9.097152917E-1,-2.762106359E-1,-7.669411600E-3,-8.925889432E-2
9.197112917E-1,-2.508356273E-1,-1.183103621E-1,-1.184276491E-1
9.297082917E-1,-1.495183259E-1,-2.835917175E-1,-8.121076971E-2
9.397042917E-1,6.173614878E-3,-5.196844935E-1,3.967256472E-2
9.497012917E-1,3.672806174E-2,-5.043460727E-1,1.015266106E-1
9.596972917E-1,2.822235040E-2,-3.891685009E-1,1.154413894E-1
9.696942917E-1,8.012153208E-3,-2.732203305E-1,1.859922409E-1
9.796902917E-1,5.658551119E-3,-2.627235055E-1,2.624005973E-1
9.896872917E-1,1.690028794E-2,-2.772779465E-1,2.750452757E-1
9.996832917E-1,2.386235446E-2,-3.346136510E-1,2.357197851E-1
1.009680292E0,1.270610653E-2,-2.893814743E-1,1.892878413E-1
1.019676292E0,-4.776247591E-2,-1.741333157E-1,1.406187564E-1
1.029673292E0,-1.080923975E-1,-1.022135913E-1,8.251257986E-2
1.039669292E0,-1.640764475E-1,-5.937311798E-2,1.727821678E-2
1.049666292E0,-2.159947753E-1,-4.035468400E-2,-5.431101099E-2
1.059662292E0,-2.402677387E-1,-2.678541094E-2,-1.329627186E-1
1.069659292E0,-2.626505196E-1,-1.591511667E-1,-2.516326308E-1
1.079655292E0,-2.975261211E-1,-3.524378836E-1,-4.373795688E-1
1.089652292E0,-3.910506964E-1,-5.067701936E-1,-6.401382685E-1
1.099648292E0,-5.507405400E-1,-5.529844761E-1,-8.620471358E-1
1.109645292E0,-1.008661747E0,-9.470183849E-1,-1.170729518E0
1.119641292E0,-1.300208569E0,-5.160048008E-1,-1.254094005E0
1.129638292E0,-1.404101968E0,-2.653336823E-1,-1.129625320E0
1.139634292E0,-1.695807695E0,-5.861849785E-1,-1.174022675E0
1.149631292E0,-2.015027046E0,-5.969476104E-1,-1.189181328E0
1.159627292E0,-2.423336267E0,-7.506276965E-1,-1.185451984E0
1.169624292E0,-2.863744974E0,-1.089661956E0,-1.102184057E0
1.179620292E0,-2.919058561E0,-1.360126257E0,-9.211117625E-1
1.189617292E0,-2.744778395E0,-1.542821288E0,-7.162480950E-1
1.199613292E0,-2.542163849E0,-1.819458485E0,-5.402488112E-1
1.209609292E0,-2.380347252E0,-1.918890715E0,-4.044433236E-1
1.219606292E0,-2.182085991E0,-1.721692681E0,-3.061508238E-1
1.229602292E0,-1.959048867E0,-1.465636969E0,-2.661730647E-1
1.239599292E0,-1.740257502E0,-1.216611385E0,-2.691886723E-1
1.249595292E0,-1.556996107E0,-1.019698262E0,-2.584071159E-1
1.259592292E0,-1.427711010E0,-9.913705587E-1,-2.732998729E-1
1.269588292E0,-1.331583738E0,-1.103371143E0,-3.207627535E-1
1.279585292E0,-1.276843905E0,-1.234883070E0,-3.868233562E-1
1.289581292E0,-1.291699290E0,-1.287860870E0,-4.202274084E-1
1.299578667E0,-1.386715651E0,-1.235436082E0,-4.320029616E-1
1.309574667E0,-1.515692234E0,-1.124605417E0,-4.283405542E-1
1.319571667E0,-1.669795871E0,-1.091350555E0,-3.697747886E-1
1.329567667E0,-1.875239849E0,-1.177197576E0,-2.835874259E-1
1.339564667E0,-2.053630114E0,-1.272992015E0,-2.192235142E-1
1.349560667E0,-2.133722544E0,-1.291179538E0,-1.730980873E-1
1.359557667E0,-2.051733732E0,-1.145375729E0,-1.007349417E-1
1.369553667E0,-1.894223571E0,-9.805647135E-1,1.716879383E-2
1.379550667E0,-1.712710738E0,-9.084305763E-1,8.363439143E-2
1.389546667E0,-1.565072894E0,-8.880826831E-1,1.440559179E-1
1.399543667E0,-1.502816916E0,-9.234527946E-1,2.454302907E-1
1.409539667E0,-1.526663423E0,-1.034778237E0,3.935939372E-1
