"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.003191667E-2,5.429008171E-1,-5.946454597E-1,7.225322521E-1
2.002791666E-2,4.407049361E-1,-5.980514628E-1,8.092417824E-1
3.002491666E-2,4.819200589E-1,-6.750516915E-1,9.244371933E-1
4.002091667E-2,2.006530523E-1,-8.248450774E-1,9.669224775E-1
5.001791667E-2,7.904295355E-2,-1.044908547E0,1.063116192E0
6.001391667E-2,5.630488604E-2,-1.225923725E0,1.116477297E0
7.001091666E-2,1.380581702E-1,-1.336524979E0,1.164950130E0
8.000691667E-2,1.927039088E-1,-1.435972084E0,1.131856059E0
9.000391667E-2,1.630199338E-1,-1.553642036E0,1.047055060E0
9.999991667E-2,1.489589882E-1,-1.675314993E0,1.028300700E0
1.099969167E-1,3.391316374E-1,-1.742411208E0,1.107476093E0
1.199929167E-1,5.804972443E-1,-1.676150560E0,1.077185762E0
1.299899167E-1,3.112537211E-1,-1.485537761E0,9.947435296E-1
1.399859167E-1,-5.654104047E-1,-1.263209081E0,8.951397192E-1
1.499829167E-1,2.533359537E-1,-8.065701896E-1,6.110316968E-1
1.599789167E-1,2.636285151E-1,-7.088965452E-1,6.132477915E-1
1.699759167E-1,1.341141502E-1,-9.692496693E-1,9.578417516E-1
1.799719167E-1,1.659312625E-1,-1.186968990E0,1.338085016E0
1.899689167E-1,-1.524422476E-1,-1.264083824E0,1.609664794E0
1.999649167E-1,-2.355847572E-1,-1.265571356E0,1.634763967E0
2.099619167E-1,-1.110186716E-1,-1.330669577E0,1.677183178E0
2.199579167E-1,-1.074990132E-1,-1.471721376E0,1.845654910E0
2.299549167E-1,-1.684560172E-1,-1.461631420E0,1.986462294E0
2.399509167E-1,-3.661821726E-1,-1.482779630E0,2.165789967E0
2.499479167E-1,-7.880872871E-1,-1.656399835E0,1.985240811E0
2.599439167E-1,-7.140355168E-1,-1.429499216E0,1.557926876E0
2.699409167E-1,-3.279546116E-1,-1.176310685E0,1.253412656E0
2.799369167E-1,-2.579788622E-1,-1.245857468E0,9.829602206E-1
2.899339167E-1,-1.298983077E-1,-1.298135669E0,7.810494322E-1
2.999292917E-1,-1.327205394E-1,-1.328373960E0,6.761568153E-1
3.099262917E-1,-1.681560550E-1,-1.198200322E0,8.359284747E-1
3.199222917E-1,3.056631982E-3,-1.053679955E0,1.150326244E0
3.299192917E-1,4.240948968E-2,-1.298984685E0,1.143828818E0
3.399152917E-1,-6.161576584E-3,-1.572696943E0,1.294421518E0
3.499122917E-1,-4.211040460E-2,-1.763679285E0,1.660774722E0
3.599082917E-1,-8.607868887E-2,-1.875976816E0,1.840870718E0
3.699052917E-1,-1.401348820E-1,-1.810103254E0,2.118837994E0
3.799012917E-1,-2.944656341E-1,-1.732115430E0,2.294352112E0
3.898972917E-1,-4.991833784E-1,-1.690200250E0,2.081637424E0
3.998942917E-1,-6.430321193E-1,-1.560082160E0,2.031785817E0
4.098902917E-1,-4.984774002E-1,-1.527118481E0,2.349937499E0
4.198872917E-1,-3.298596344E-1,-1.778454614E0,2.468257661E0
4.298832917E-1,-3.639222968E-1,-1.767077102E0,2.122259200E0
4.398802917E-1,-5.815439690E-1,-1.677902386E0,1.827860078E0
4.498762917E-1,-7.332903980E-1,-1.516937894E0,1.621351624E0
4.598732917E-1,-7.236674890E-1,-1.306964380E0,1.598903579E0
4.698692917E-1,-6.755174223E-1,-1.188198659E0,1.897671740E0
4.798662917E-1,-6.613907685E-1,-1.251195976E0,2.103059283E0
4.898622917E-1,-4.677449463E-1,-1.455971900E0,1.984128086E0
4.998592917E-1,-6.489916746E-1,-1.565017794E0,1.434245986E0
5.098552917E-1,-4.724485197E-1,-1.366787828E0,9.518916249E-1
5.198522917E-1,-3.098394989E-1,-1.101141220E0,1.911843052E0
5.298482917E-1,-4.711313613E-1,-1.339607046E0,2.195342964E0
5.398452917E-1,-5.424880768E-1,-1.638440112E0,1.909786001E0
5.498412917E-1,-6.121184018E-1,-1.699285653E0,1.540355408E0
5.598382917E-1,-6.918945231E-1,-1.556873792E0,1.491221840E0
5.698342917E-1,-6.521610117E-1,-1.432926854E0,1.456104047E0
5.798312917E-1,-5.615779202E-1,-1.311647415E0,1.506613466E0
5.898272917E-1,-4.331958687E-1,-1.464484861E0,1.423035119E0
5.998242917E-1,-3.377712826E-1,-1.513600888E0,1.447985773E0
6.098202917E-1,-2.551210356E-1,-1.605833114E0,1.745755230E0
6.198172917E-1,-2.420684423E-1,-1.804054309E0,1.748342038E0
6.298132917E-1,-1.974351834E-1,-1.962368842E0,1.533439322E0
6.398102917E-1,-1.989753034E-1,-2.146305290E0,1.312499354E0
6.498062917E-1,-2.541432349E-1,-2.339443501E0,8.679291165E-1
6.598032917E-1,-2.112798003E-1,-2.402318026E0,8.403524780E-1
6.697992917E-1,-1.532072827E-1,-2.264177556E0,6.220221233E-1
6.797962917E-1,-2.267795448E-1,-2.003574171E0,6.045407027E-1
6.897922917E-1,-3.346499658E-1,-1.772859998E0,6.482486397E-1
6.997892917E-1,-4.314144048E-1,-1.602115454E0,5.120529538E-1
7.097852917E-1,-4.655657256E-1,-1.403414202E0,7.410761118E-1
7.197822917E-1,-4.848831720E-1,-1.246574337E0,1.130559146E0
7.297782917E-1,-5.270315469E-1,-1.187356076E0,1.956228681E0
7.397752917E-1,-5.461303805E-1,-1.413279040E0,2.301757026E0
7.497712917E-1,-6.269033059E-1,-1.668777221E0,2.330973224E0
7.597682917E-1,-6.591796439E-1,-1.830094299E0,2.409648095E0
7.697642917E-1,-7.082868998E-1,-1.891492987E0,2.428510044E0
7.797612917E-1,-7.889554524E-1,-1.942301783E0,2.219551606E0
7.897572917E-1,-8.437147001E-1,-1.967720799E0,1.912387428E0
7.997532917E-1,-7.341065231E-1,-2.177287931E0,1.681696059E0
8.097502917E-1,-3.745962428E-1,-2.681504447E0,1.108557828E0
8.197462917E-1,-5.188088999E-1,-2.849633532E0,9.950674653E-1
8.297432917E-1,-9.359201746E-1,-2.606333227E0,2.157341325E0
8.397392917E-1,-5.780068421E-1,-2.423327656E0,2.272084161E0
8.497362917E-1,-1.069782383E0,-1.992342839E0,1.676569220E0
8.597322917E-1,-1.672518854E0,-1.668229337E0,1.006826216E0
8.697292917E-1,-1.803809896E0,-1.466477593E0,7.818961090E-1
