"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.981989861E-3,5.235701786E1,4.910765492E0,3.033242226E-1,NaN,NaN,6.100000000E1,1.086799850E2
8.092490435E-1,5.235801218E1,4.910154916E0,3.030228615E-1,NaN,NaN,4.000000000E1,1.086799850E2
6.631891966E0,5.235850276E1,4.910466140E0,5.112270355E0,4.099999905E0,9.492187500E0,3.020719359E1,3.200000000E1
7.631329060E0,5.235832816E1,4.910371089E0,5.426292419E-1,4.110000134E0,9.492187500E0,3.762621874E1,3.000000000E0
8.633589029E0,5.235856600E1,4.910214767E0,4.530296326E-1,4.110000134E0,4.359375000E1,3.193860870E1,3.000000000E0
9.634987116E0,5.235847263E1,4.910055092E0,-7.900733948E-1,4.110000134E0,2.925000000E2,1.712644794E1,3.000000000E0
1.063441896E1,5.235835260E1,4.910025587E0,5.836448669E-1,3.600000143E-1,2.925000000E2,9.777783051E0,3.000000000E0
1.163367200E1,5.235848160E1,4.910013853E0,6.968650818E-1,0.000000000E0,2.925000000E2,1.376097085E1,3.000000000E0
1.261088181E1,5.235850301E1,4.909497276E0,7.029685974E-1,3.600000143E-1,2.925000000E2,4.485332857E1,3.000000000E0
1.273672819E1,5.235845670E1,4.910108484E0,5.994529724E-1,0.000000000E0,NaN,1.450022981E1,3.000000000E0
1.373700333E1,5.235846911E1,4.910081076E0,3.853416443E-1,0.000000000E0,NaN,1.140933847E1,3.000000000E0
1.473939443E1,5.235846001E1,4.910070095E0,4.272117615E-1,0.000000000E0,NaN,8.303182938E0,3.000000000E0
1.574170637E1,5.235844643E1,4.910067245E0,3.197898865E-1,0.000000000E0,0.000000000E0,7.676667444E0,3.000000000E0
1.674391043E1,5.235844220E1,4.910079734E0,3.764305115E-1,0.000000000E0,0.000000000E0,7.371087563E0,3.000000000E0
1.774599957E1,5.235844568E1,4.910087194E0,2.934226990E-1,0.000000000E0,0.000000000E0,6.707934643E0,3.000000000E0
1.874787199E1,5.235844568E1,4.910087194E0,2.934227670E-1,0.000000000E0,NaN,6.707934643E0,3.000000000E0
1.974967408E1,5.235845226E1,4.910093984E0,-6.448739022E-2,0.000000000E0,NaN,6.022057960E0,3.000000000E0
2.075136542E1,5.235853537E1,4.910054869E0,-1.930254679E-1,5.000000000E0,3.417187318E2,5.580573074E0,3.000000000E0
2.175288463E1,5.235861399E1,4.910024033E0,-5.279864063E-1,5.000000000E0,3.420702946E2,5.042986213E0,3.102557350E0
2.275434351E1,5.235870485E1,4.909955753E0,-4.637754848E-1,7.050000191E0,3.396093464E2,4.888924262E0,3.180234096E0
2.375570452E1,5.235879044E1,4.909888338E0,2.567462223E-1,8.439999580E0,3.399609039E2,4.807375351E0,3.273175717E0
2.475694036E1,5.235886395E1,4.909813650E0,4.101280160E-1,8.770000458E0,3.385546502E2,4.854333533E0,3.203120820E0
2.575811493E1,5.235895047E1,4.909743444E0,-1.083145663E-2,8.770000458E0,3.396093395E2,4.771893825E0,3.324690415E0
2.675921226E1,5.235905013E1,4.909666926E0,-1.041516308E-1,1.047999954E1,3.385546430E2,4.950167528E0,3.149874094E0
2.776021409E1,5.235915901E1,4.909624689E0,2.068851925E-1,1.144999981E1,3.406640184E2,5.855186876E0,3.000000000E0
2.876113451E1,5.235923352E1,4.909527406E0,-2.596392762E-2,1.144999981E1,3.382030756E2,7.148224423E0,4.000000000E0
2.976202261E1,5.235926779E1,4.909471709E0,-4.452775251E-1,1.022999954E1,3.353905755E2,8.700603539E0,4.000000000E0
3.076284647E1,5.235932398E1,4.909464912E0,-2.746259784E-1,8.340000153E0,3.410155935E2,7.419851059E0,4.000000000E0
3.176361465E1,5.235942893E1,4.909427938E0,-3.472568607E-1,9.039999962E0,3.445312220E2,7.502434687E0,4.000000000E0
3.276433825E1,5.235955281E1,4.909374993E0,8.522232994E-3,1.214999962E1,3.448827757E2,6.997289697E0,4.000000000E0
3.376501691E1,5.235964095E1,4.909294639E0,-1.332634054E-1,1.163000011E1,3.410155810E2,6.512881379E0,4.000000000E0
3.476567173E1,5.235973189E1,4.909202742E0,-5.086594447E-2,1.163000011E1,3.364452585E2,5.818665753E0,4.000000000E0
