"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.117708373E-3,-1.548978882E0,9.036857758E0,4.070934448E0
1.306770835E-2,-1.682501221E0,9.009464722E0,4.265679474E0
2.301870834E-2,-1.773511963E0,8.765921173E0,4.418062592E0
3.296870837E-2,-1.727108459E0,8.612340546E0,4.552632751E0
4.291870835E-2,-1.588197327E0,8.517886963E0,4.720284119E0
5.286970834E-2,-1.380728760E0,8.348589020E0,5.122647400E0
6.281970837E-2,-1.061592407E0,8.216114502E0,5.706283722E0
7.277070836E-2,-7.830216980E-1,8.193062439E0,6.031108246E0
8.272070833E-2,-4.782554626E-1,8.361761627E0,6.025869141E0
9.267070837E-2,-4.547543335E-1,8.587791595E0,5.870043182E0
1.026217084E-1,-6.831793213E-1,8.667725372E0,5.704936523E0
1.125717083E-1,-1.023721161E0,8.646768951E0,5.583838348E0
1.225217084E-1,-1.395697632E0,8.477021942E0,5.529052277E0
1.324727084E-1,-1.529219971E0,8.268505554E0,5.575306091E0
1.424227083E-1,-1.435963898E0,8.096812592E0,5.618865509E0
1.523737084E-1,-1.298699341E0,7.933352509E0,5.558990021E0
1.623237084E-1,-1.064586182E0,7.733368378E0,5.481002197E0
1.722737083E-1,-7.818241882E-1,7.607779541E0,5.533243561E0
1.822247084E-1,-4.432283020E-1,7.671696625E0,5.703439636E0
1.921747084E-1,-2.499801636E-1,7.885003052E0,5.953868866E0
2.021247083E-1,-4.201762390E-1,8.023764496E0,6.126010895E0
2.120757084E-1,-6.141728210E-1,8.045918427E0,6.257886658E0
2.220257084E-1,-7.309300232E-1,7.895780640E0,6.515800323E0
2.319767083E-1,-8.202941895E-1,7.672744446E0,6.820267181E0
2.419267084E-1,-6.285429382E-1,7.550448761E0,6.961273956E0
2.518767084E-1,-1.814227295E-1,7.564968567E0,6.941964111E0
2.618277083E-1,1.484912109E-1,7.462731171E0,6.859635315E0
2.717777084E-1,2.067201233E-1,7.336094513E0,6.783593445E0
2.817277084E-1,9.131011963E-2,7.292235718E0,6.704408112E0
2.916787083E-1,-7.843688965E-2,7.314838715E0,6.665039978E0
3.016287084E-1,-2.270777893E-1,7.416776733E0,6.842421112E0
3.115787084E-1,-4.694238281E-1,7.474406891E0,7.081174622E0
3.215297083E-1,-6.700067139E-1,7.385491791E0,7.286697235E0
3.314797084E-1,-5.748046875E-1,7.260202332E0,7.498955841E0
3.414307084E-1,-1.335223389E-1,7.144942017E0,7.656278687E0
3.513807083E-1,3.647914124E-1,7.011120300E0,7.685467987E0
3.613307084E-1,8.740324402E-1,6.841073914E0,7.635172577E0
3.712817084E-1,1.384920044E0,6.705904999E0,7.738457794E0
3.812317083E-1,1.410067749E0,6.375242615E0,7.644453278E0
3.911827084E-1,1.221160583E0,6.038742371E0,7.476801910E0
4.011327084E-1,1.174008636E0,5.947432251E0,7.488028564E0
4.110817500E-1,1.058299255E0,5.890700226E0,7.476053467E0
4.210327500E-1,1.075064392E0,5.962550812E0,7.415429535E0
4.309827500E-1,1.194965057E0,6.082601166E0,7.339687042E0
4.409327500E-1,1.351240082E0,6.178701324E0,7.279512177E0
4.508837500E-1,1.493893433E0,6.227050781E0,7.119195557E0
4.608337500E-1,1.424886932E0,6.299200745E0,6.922354889E0
4.707837500E-1,1.358425140E0,6.409970398E0,6.884184265E0
4.807347500E-1,1.491049347E0,6.526128845E0,6.794520721E0
4.906847500E-1,1.496737518E0,6.460415497E0,6.613696747E0
5.006357500E-1,1.506317596E0,6.298152924E0,6.714886322E0
5.105857500E-1,1.609902191E0,6.179449768E0,6.824159088E0
5.205357500E-1,1.777104492E0,6.104455719E0,6.925498352E0
5.304867500E-1,2.045496368E0,6.040838013E0,6.925348663E0
5.404367500E-1,2.221380615E0,5.993087311E0,6.931934967E0
5.503867500E-1,2.221979370E0,5.996230774E0,7.019652557E0
5.603377500E-1,2.151326294E0,6.102659454E0,7.206464081E0
5.702877500E-1,1.991159363E0,6.149811401E0,7.566166077E0
5.802387500E-1,2.029030609E0,6.176156616E0,7.751630402E0
5.901887500E-1,2.069446564E0,6.144572296E0,7.667505341E0
6.001387500E-1,2.156715088E0,6.039341125E0,7.496560822E0
6.100897500E-1,2.196981354E0,5.939947815E0,7.317533112E0
6.200397500E-1,2.242636414E0,5.947282562E0,7.124883728E0
6.299897500E-1,2.262545013E0,5.992488556E0,7.090754700E0
6.399407500E-1,2.251917114E0,6.045178986E0,7.113507385E0
6.498907500E-1,2.325114899E0,6.120921478E0,7.145989838E0
6.598417500E-1,2.347119141E0,6.169420624E0,7.256160736E0
6.697917500E-1,2.360441437E0,6.146967316E0,7.421566772E0
6.797417500E-1,2.326761475E0,6.013295288E0,7.511080627E0
6.896927500E-1,2.391876068E0,5.931714935E0,7.368127899E0
6.996427500E-1,2.554288330E0,5.921536102E0,7.222331085E0
7.095927500E-1,2.598446503E0,5.877976685E0,7.113357697E0
7.195437500E-1,2.663710785E0,5.880371704E0,7.018005981E0
7.294937500E-1,2.672991486E0,5.918093262E0,6.951693878E0
7.394447500E-1,2.636018372E0,5.998625793E0,7.046596527E0
7.493947500E-1,2.443518677E0,6.131699066E0,7.303612061E0
7.593447500E-1,1.967059479E0,6.192472687E0,7.518714752E0
7.692957500E-1,2.106569366E0,6.367309113E0,7.527097321E0
7.792457500E-1,2.114802246E0,6.311325531E0,7.557184753E0
7.891967500E-1,2.190544739E0,6.204298096E0,7.572303314E0
7.991467500E-1,2.286345520E0,6.162235565E0,7.485483856E0
8.090967500E-1,2.377805328E0,6.213578796E0,7.349416809E0
8.190477500E-1,2.390678558E0,6.190975800E0,7.322921906E0
8.289977500E-1,2.496508484E0,6.041287079E0,7.370971985E0
8.389477500E-1,2.759661255E0,6.028563538E0,7.479047241E0
8.488987500E-1,2.686912537E0,6.044879608E0,7.471862183E0
8.588487500E-1,2.583178253E0,5.972579956E0,7.417824554E0
8.687987500E-1,2.660567322E0,6.016139374E0,7.366631012E0
8.787497500E-1,2.683619385E0,6.002218323E0,7.297923889E0
8.886997500E-1,2.682870941E0,6.039191437E0,7.313042450E0
8.986507500E-1,2.654729462E0,6.142626343E0,7.472460938E0
9.086007500E-1,2.478246460E0,6.178252258E0,7.697443085E0
9.185507500E-1,2.408491516E0,6.081104279E0,7.872429199E0
9.285017500E-1,2.362387390E0,5.993237000E0,7.944728851E0
9.384517500E-1,2.243384857E0,5.998476105E0,7.927215271E0
9.484027500E-1,2.118394775E0,6.178701324E0,7.824079742E0
9.583527500E-1,1.861079865E0,6.471941528E0,7.635771332E0
9.683027500E-1,1.544637909E0,6.708449707E0,7.395071869E0
9.782537500E-1,1.415157166E0,6.875951385E0,7.153474274E0
9.882037500E-1,1.324595490E0,6.913223877E0,7.053182831E0
9.981537500E-1,1.075363770E0,6.867868195E0,6.949448547E0
1.008104750E0,9.319619751E-1,6.882388000E0,6.829697571E0
1.018054750E0,1.171314240E0,6.868167572E0,6.842421112E0
1.028005750E0,1.402134247E0,6.799310760E0,6.876550140E0
1.037955750E0,1.524130554E0,6.776258698E0,6.902146912E0
1.047905750E0,1.495390320E0,6.752607880E0,6.982230377E0
1.057856750E0,1.363514557E0,6.717880096E0,7.092850342E0
1.067806750E0,1.006656647E0,6.441255341E0,7.271578674E0
1.077756750E0,1.465302887E0,6.287525024E0,7.576195221E0
1.087707750E0,2.051633606E0,6.377338257E0,7.857759705E0
1.097657750E0,1.918410645E0,6.438411255E0,7.975864105E0
1.107608750E0,1.567240906E0,6.563101959E0,7.725434875E0
1.117558750E0,1.425485687E0,6.673871613E0,7.421716461E0
1.127508750E0,1.566492462E0,6.816674652E0,7.269782410E0
1.137459750E0,1.583556976E0,6.911577301E0,7.193740540E0
1.147409750E0,1.315614166E0,6.935078430E0,7.159312134E0
1.157359750E0,9.433383179E-1,6.986870728E0,7.113956451E0
1.167310750E0,7.852670288E-1,6.856491852E0,7.251969452E0
1.177260750E0,8.613088989E-1,6.559808807E0,7.456593933E0
1.187211750E0,9.909393311E-1,6.414461060E0,7.509434052E0
1.197161750E0,1.146914978E0,6.371350708E0,7.411088562E0
1.207111750E0,1.246457977E0,6.452631683E0,7.196884003E0
1.217062750E0,1.335373077E0,6.675518188E0,7.002138977E0
1.227012750E0,1.290466461E0,6.896608429E0,6.899602203E0
1.236962750E0,1.146166534E0,6.967411194E0,6.913972321E0
1.246913750E0,1.044378204E0,6.866820374E0,6.990313568E0
1.256863750E0,1.015338593E0,6.694678345E0,7.069349213E0
1.266814750E0,1.063538361E0,6.515950012E0,7.156468048E0
1.276764750E0,1.131946106E0,6.405030670E0,7.268884277E0
1.286714750E0,1.124162292E0,6.471492462E0,7.324119415E0
1.296665750E0,1.165326691E0,6.639592896E0,7.343728638E0
1.306615750E0,1.194665680E0,6.766977997E0,7.384144592E0
1.316566750E0,1.019230499E0,6.911277924E0,7.368277588E0
1.326516750E0,7.286846924E-1,6.958429871E0,7.400310974E0
1.336466750E0,5.206173706E-1,6.904841309E0,7.524552612E0
1.346417750E0,5.486091614E-1,6.777156830E0,7.670798492E0
1.356367750E0,7.021897888E-1,6.622378693E0,7.724087677E0
1.366317750E0,8.768765259E-1,6.503376160E0,7.668852539E0
1.376268750E0,9.686357117E-1,6.466103668E0,7.517816620E0
1.386218750E0,1.003363495E0,6.483018494E0,7.322472839E0
1.396169750E0,1.062191162E0,6.607709198E0,7.156617737E0
1.406119750E0,1.110989685E0,6.781048737E0,7.172185364E0
1.416070708E0,1.071172485E0,6.879094849E0,7.136709137E0
1.426021708E0,9.958790588E-1,6.899153137E0,7.095395050E0
1.435971708E0,9.102571106E-1,6.888076172E0,7.196434937E0
1.445921708E0,8.478369141E-1,6.821015625E0,7.400011597E0
1.455872708E0,8.969348145E-1,6.764582977E0,7.678282928E0
1.465822708E0,9.162446594E-1,6.724466400E0,7.956254883E0
1.475773708E0,9.180409241E-1,6.772366791E0,8.060587921E0
1.485723708E0,1.018631744E0,6.961872711E0,7.900121613E0
1.495673708E0,1.173260193E0,7.097041626E0,7.761958923E0
1.505624708E0,1.074615326E0,7.156767426E0,7.749983826E0
1.515574708E0,8.328680420E-1,7.297025757E0,7.615713043E0
1.525525708E0,7.135661316E-1,7.231611786E0,7.477101288E0
1.535475708E0,6.259982300E-1,7.075336761E0,7.337591400E0
1.545425708E0,7.661068726E-1,7.018754425E0,7.151378632E0
1.555376708E0,8.970845032E-1,6.978188782E0,6.945406952E0
1.565326708E0,9.581575012E-1,6.947801971E0,6.765032043E0
1.575276708E0,9.644444275E-1,6.884034576E0,6.560407562E0
1.585227708E0,8.869056702E-1,6.756050720E0,6.419550476E0
1.595177708E0,8.539741516E-1,6.543193359E0,6.473588104E0
1.605128708E0,7.583230591E-1,6.395151215E0,6.657854919E0
1.615078708E0,6.598278809E-1,6.439608765E0,6.849905548E0
1.625028708E0,7.580236816E-1,6.558012543E0,6.993606720E0
1.634979708E0,9.078620911E-1,6.540349274E0,7.017257538E0
1.644929708E0,9.000782776E-1,6.539900208E0,6.909631348E0
1.654879708E0,7.764353943E-1,6.609655151E0,6.694079590E0
1.664830708E0,6.051914978E-1,6.595584412E0,6.677314453E0
1.674780708E0,5.448669434E-1,6.377338257E0,6.562054138E0
1.684731708E0,5.671705627E-1,6.506070557E0,6.789431305E0
1.694681708E0,7.541317749E-1,6.647376709E0,7.172335052E0
1.704631708E0,8.144563293E-1,6.637646942E0,7.498506775E0
1.714582708E0,8.819659424E-1,6.591393127E0,7.663912811E0
1.724532708E0,1.019978943E0,6.209088135E0,7.684270477E0
1.734482708E0,8.053253174E-1,5.909261627E0,7.598349152E0
1.744433708E0,7.800279236E-1,5.832621002E0,7.460336151E0
1.754383708E0,1.015338593E0,5.729335785E0,7.282955017E0
1.764334708E0,9.259744263E-1,5.301525421E0,6.909481659E0
1.774284708E0,9.645941162E-1,5.163512421E0,7.016509094E0
1.784234708E0,1.459465027E0,5.367538147E0,7.596253510E0
1.794185708E0,2.180964661E0,5.824687500E0,8.292156372E0
1.804135708E0,2.655477905E0,6.335874481E0,8.598868561E0
1.814086708E0,2.668201447E0,6.670129395E0,8.535699921E0
1.824036708E0,2.441572723E0,6.714287567E0,8.582103424E0
1.833986708E0,1.915267181E0,6.534960480E0,8.423882446E0
1.843937708E0,1.610201569E0,6.245013428E0,8.329428864E0
1.853887708E0,1.430575104E0,5.902076569E0,8.492439880E0
1.863838708E0,1.227746887E0,5.723797302E0,8.560697937E0
1.873788708E0,1.072369995E0,5.724096680E0,8.435408478E0
1.883738708E0,1.054107971E0,5.802383881E0,8.217012634E0
1.893689708E0,1.001417542E0,5.858367462E0,8.128247223E0
1.903639708E0,9.128018188E-1,5.789360962E0,8.230484619E0
1.913589708E0,8.605604553E-1,5.692512360E0,8.289761353E0
1.923540708E0,9.967771912E-1,5.528154144E0,8.179889832E0
1.933490708E0,1.230890350E0,5.477709045E0,8.080197144E0
1.943441708E0,1.479523315E0,5.557493134E0,7.898325348E0
1.953391708E0,1.635648651E0,5.702990570E0,7.612120514E0
1.963341708E0,1.744472351E0,5.866750031E0,7.520211639E0
1.973292708E0,1.795665894E0,6.035449219E0,7.588769073E0
1.983242708E0,1.958078156E0,6.056106262E0,7.588320007E0
1.993192708E0,2.173929291E0,5.706433411E0,7.599097595E0
2.003143708E0,2.563718719E0,4.961881714E0,7.597900085E0
2.013093708E0,2.356250153E0,4.588408356E0,7.412735138E0
2.023044708E0,1.480571136E0,4.708009644E0,7.472610626E0
2.032994708E0,7.738906860E-2,4.934189301E0,7.762407990E0
