"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.579296589E-2,5.233705048E1,4.992941551E0,-7.241484642E0,NaN,NaN,1.414000000E3,9.294183731E0
1.027374744E0,5.233816122E1,4.990425976E0,-1.028964615E1,7.170000076E0,9.843750000E1,2.467486631E1,1.600000000E1
1.816374779E0,5.233815359E1,4.990509292E0,-9.810459137E0,7.170000076E0,9.843750000E1,2.801442824E1,1.600000000E1
2.816377163E0,5.233807652E1,4.990504598E0,-1.833469391E0,7.170000076E0,1.462500000E2,2.217236816E1,3.000000000E0
3.432374597E0,5.233812560E1,4.990619933E0,-1.485080719E0,1.025000000E1,1.483593750E2,2.517235278E1,8.000000000E0
4.432374716E0,5.233795804E1,4.990709955E0,-1.594577789E0,1.090999985E1,1.529296875E2,1.887179894E1,4.000000000E0
5.432376504E0,5.233776606E1,4.990882538E0,-1.578830719E0,1.468000031E1,1.476562500E2,1.444862160E1,4.000000000E0
6.432381392E0,5.233752830E1,4.991056463E0,-1.377475739E0,1.535000038E1,1.430859375E2,6.939922106E0,4.000000000E0
7.432381153E0,5.233740966E1,4.991226280E0,-1.080539703E0,1.535000038E1,1.402734375E2,5.122134543E0,3.000000000E0
8.432381272E0,5.233730773E1,4.991386961E0,-7.736549377E-1,1.614999962E1,1.392187500E2,4.461894060E0,3.000000000E0
9.432381868E0,5.233717605E1,4.991560886E0,-3.654518127E-1,1.793000031E1,1.381640625E2,4.021380515E0,3.000000000E0
1.043238115E1,5.233705758E1,4.991743108E0,2.856712341E-1,1.846999931E1,1.364062500E2,3.549736621E0,3.000000000E0
1.143238127E1,5.233692975E1,4.991939245E0,-2.842750549E-1,1.846999931E1,1.350000000E2,3.535533906E0,3.000000000E0
1.243238294E1,5.233679181E1,4.992121628E0,1.113548279E-1,1.914999962E1,1.339354401E2,3.535533906E0,3.000000000E0
1.343238294E1,5.233667315E1,4.992332501E0,-2.688980103E-2,2.020999908E1,1.324508362E2,3.535533906E0,3.000000000E0
1.443238580E1,5.233655361E1,4.992558898E0,-2.685774770E-2,2.020999908E1,1.289929504E2,4.610548250E0,3.545050334E0
1.543238902E1,5.233645018E1,4.992823608E0,2.801416907E-2,2.062000084E1,1.268959732E2,4.610547874E0,3.545050822E0
1.643238604E1,5.233632691E1,4.993061268E0,-5.607919842E-1,2.062000084E1,1.269271927E2,4.610547493E0,3.545051318E0
1.743238389E1,5.233621416E1,4.993348417E0,4.044814035E-1,2.135000038E1,1.259478683E2,4.610547122E0,3.545051801E0
1.843238425E1,5.233609081E1,4.993631581E0,7.228435380E-1,2.215999985E1,1.255514221E2,4.610546734E0,3.545052305E0
