"Time (s)","Distance (cm)"
3.421166679E-3,5.000000000E0
8.662908500E0,0.000000000E0
4.460683350E2,5.000000000E0
4.509734752E2,0.000000000E0
4.521932885E2,5.000000000E0
4.666081488E2,0.000000000E0
4.668251950E2,5.000000000E0
4.672092232E2,0.000000000E0
4.676602834E2,5.000000000E0
4.699479280E2,0.000000000E0
4.736245651E2,5.000000000E0
4.738216182E2,0.000000000E0
4.741724263E2,5.000000000E0
4.821555168E2,0.000000000E0
7.332998351E2,5.000000000E0
7.397732715E2,0.000000000E0
7.399903768E2,5.000000000E0
