"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.574504375E-2,5.233583947E1,4.996479702E0,8.723305702E0,NaN,NaN,1.517630188E3,2.556177616E0
6.360275745E-1,5.233257829E1,5.016383557E0,4.539272308E0,1.872999954E1,8.964843750E1,6.186026324E1,6.400000000E1
1.691028953E0,5.233269161E1,5.016625207E0,1.117702484E0,1.872999954E1,9.105468750E1,1.280205834E1,6.000000000E0
2.692028165E0,5.233264513E1,5.016929302E0,1.598415375E0,1.861000061E1,9.105468750E1,8.617640705E0,3.000000000E0
3.217030525E0,5.233270657E1,5.017087972E0,5.768699646E-1,1.852000046E1,8.929687500E1,3.721600220E0,3.000000000E0
4.217027664E0,5.233270456E1,5.017321575E0,2.288784027E0,1.823999977E1,8.929687500E1,3.553108318E0,3.000000000E0
5.217030287E0,5.233269559E1,5.017575547E0,2.107448578E0,1.819000053E1,8.964843750E1,3.535533906E0,3.000000000E0
6.217037559E0,5.233269228E1,5.017850976E0,2.171047211E0,1.840999985E1,9.000000000E1,3.535533906E0,3.000000000E0
7.217037082E0,5.233268998E1,5.018112408E0,2.109828949E0,1.819000053E1,9.000000000E1,3.535533906E0,3.000000000E0
8.217037201E0,5.233268671E1,5.018371493E0,2.269557953E0,1.770000076E1,9.000000000E1,3.535533906E0,3.000000000E0
9.217034698E0,5.233268591E1,5.018626805E0,1.987453461E0,1.746999931E1,9.035156250E1,3.535533906E0,3.000000000E0
1.021704900E1,5.233268000E1,5.018890919E0,2.904079437E0,1.795000076E1,9.000000000E1,3.535533906E0,3.000000000E0
1.121704650E1,5.233267514E1,5.019140448E0,2.205226898E0,1.746999931E1,9.070312500E1,3.535533906E0,3.000000000E0
1.221705687E1,5.233267686E1,5.019392157E0,2.380947113E0,1.713999939E1,9.070312500E1,3.535533906E0,3.000000000E0
1.321702635E1,5.233267497E1,5.019643568E0,2.380970162E0,1.713999939E1,9.070332401E1,4.610531215E0,3.545072488E0
1.421702623E1,5.233262453E1,5.019899701E0,2.190052195E0,1.713999939E1,9.042018127E1,4.610531136E0,3.545072591E0
1.521702623E1,5.233262287E1,5.020150294E0,3.976124295E0,1.726000023E1,9.065502167E1,4.610531077E0,3.545072668E0
1.621702754E1,5.233262107E1,5.020409721E0,4.104481310E0,1.729000092E1,9.000000000E1,4.610531010E0,3.545072755E0
1.721702635E1,5.233262012E1,5.020663850E0,4.254139430E0,1.726000023E1,9.073278046E1,4.610530940E0,3.545072846E0
1.821702337E1,5.233261822E1,5.020911860E0,4.586353462E0,1.713999939E1,9.070985413E1,4.610530878E0,3.545072926E0
1.921702421E1,5.233261669E1,5.021149565E0,4.723559831E0,1.688999939E1,9.099211121E1,4.610530819E0,3.545073003E0
2.021702409E1,5.233261415E1,5.021388827E0,4.724963008E0,1.664999962E1,9.099211121E1,4.610530764E0,3.545073075E0
2.121702516E1,5.233261093E1,5.021635426E0,5.014635859E0,1.664999962E1,9.107826996E1,4.610530696E0,3.545073163E0
2.221702540E1,5.233260807E1,5.021872933E0,4.742052592E0,1.654999924E1,9.116608429E1,4.610530631E0,3.545073248E0
