"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.400191663E-2,1.351689148E-1,7.358547821E0,6.311475220E0
2.395191666E-2,2.628533936E-1,7.174281006E0,6.637796631E0
3.390191664E-2,1.977388000E-1,7.200626221E0,6.864724731E0
4.385191668E-2,-1.895059204E-1,7.378007355E0,7.065906372E0
5.380191666E-2,-8.131091309E-1,7.782765656E0,7.262297974E0
6.375091663E-2,-1.045875092E0,7.870632935E0,7.414381714E0
7.370091666E-2,-1.046623535E0,7.729925537E0,7.413782959E0
8.365091664E-2,-9.598040771E-1,7.662415924E0,7.276817780E0
9.360091668E-2,-7.059320068E-1,7.684420166E0,7.035519562E0
1.035509167E-1,-4.608915710E-1,7.815397797E0,6.732399902E0
1.135009166E-1,-3.345542908E-1,7.976313171E0,6.514602814E0
1.234509167E-1,-3.373983765E-1,8.009244690E0,6.447392578E0
1.334009166E-1,-4.195774841E-1,7.901019745E0,6.460415497E0
1.433509166E-1,-4.676275635E-1,7.641309814E0,6.481970673E0
1.533009167E-1,-5.495072937E-1,7.299271088E0,6.420298920E0
1.632509166E-1,-5.843847656E-1,7.035070496E0,6.224655762E0
1.732009167E-1,-5.879772949E-1,6.969506836E0,6.096073151E0
1.831509167E-1,-5.504054260E-1,7.099286957E0,6.080056458E0
1.931009166E-1,-4.483177185E-1,7.342980194E0,6.037544861E0
2.030509167E-1,-2.240840149E-1,7.607180786E0,5.882167969E0
2.130009166E-1,-3.592529297E-2,7.800279236E0,5.743406525E0
2.229509166E-1,7.978408813E-2,7.852520599E0,5.653892670E0
2.329009167E-1,1.133143616E-1,7.752528534E0,5.744304657E0
2.428509166E-1,9.370513916E-2,7.596852264E0,5.987548828E0
2.528009167E-1,5.269042969E-2,7.408094788E0,6.274651794E0
2.627509166E-1,-9.624984741E-2,7.235054626E0,6.470594330E0
2.727009166E-1,-2.642005920E-1,7.130871277E0,6.513554993E0
2.826509167E-1,-3.379971313E-1,7.115902405E0,6.534511414E0
2.926009166E-1,-4.228706360E-1,7.104376373E0,6.588848419E0
3.025499167E-1,-4.676275635E-1,7.205266571E0,6.623276825E0
3.124999166E-1,-4.465214539E-1,7.428452454E0,6.578220520E0
3.224499166E-1,-4.007167053E-1,7.613467712E0,6.417155457E0
3.323999167E-1,-3.659889221E-1,7.721093903E0,6.271807709E0
3.423499166E-1,-2.968327332E-1,7.681875458E0,6.198460236E0
3.523002916E-1,-1.678010559E-1,7.507488098E0,6.165528717E0
3.622502916E-1,-1.721420288E-2,7.270979919E0,6.156397705E0
