"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.026916639E-3,-4.119597673E-1,4.052069038E-2,3.912283853E-2
1.897691668E-2,-3.881420493E-1,3.915422037E-2,-4.382716864E-2
2.892691665E-2,-3.632928431E-1,1.058991160E-2,-1.340728104E-1
3.887691663E-2,-3.206124902E-1,-2.909891307E-2,-1.801771969E-1
4.882691667E-2,-2.471429855E-1,-6.592617184E-2,-1.338616908E-1
5.877591664E-2,-1.627351493E-1,-5.952313542E-2,-8.029299974E-2
6.872591667E-2,-7.103116065E-2,-6.190266088E-2,-3.078184277E-2
7.867591665E-2,5.105156451E-3,-7.515269518E-2,7.907764055E-3
8.862591663E-2,5.217022449E-2,-6.595905870E-2,2.539517730E-2
9.857591667E-2,4.167923704E-2,-5.113004521E-2,2.168752439E-2
1.085259166E-1,2.021033317E-3,-6.962903589E-2,1.890575141E-2
1.184759166E-1,-4.530893266E-2,-1.147677451E-1,2.757274359E-2
1.284259167E-1,-7.820488513E-2,-1.713409126E-1,5.683855340E-2
1.383759166E-1,-9.985293448E-2,-2.450899780E-1,8.392263204E-2
1.483259167E-1,-1.286923885E-1,-3.570141196E-1,1.055164114E-1
1.582759166E-1,-1.656069905E-1,-4.818109274E-1,1.053004339E-1
1.682259166E-1,-2.029281706E-1,-5.540198684E-1,8.672793210E-2
1.781759167E-1,-1.912792474E-1,-5.243727565E-1,7.696105540E-2
1.881259166E-1,-1.499025673E-1,-4.243041873E-1,8.637139946E-2
1.980759167E-1,-1.092081368E-1,-2.763448060E-1,1.079675034E-1
2.080259167E-1,-9.271062165E-2,-1.006683707E-1,1.198658049E-1
2.179759166E-1,-1.074887663E-1,7.970406860E-2,1.192434281E-1
2.279259167E-1,-1.323195845E-1,2.329469323E-1,1.210920960E-1
2.378759166E-1,-1.539284587E-1,3.196469247E-1,1.094966903E-1
2.478259166E-1,-1.724773049E-1,3.140853643E-1,8.663968742E-2
2.577759167E-1,-1.967810541E-1,2.252663076E-1,6.832193583E-2
2.677259166E-1,-2.439830005E-1,6.738000363E-2,6.326839328E-2
2.776759167E-1,-3.001876771E-1,-1.297863275E-1,7.263872027E-2
2.876259167E-1,-3.434725106E-1,-3.056099713E-1,7.881210744E-2
2.975749166E-1,-3.493469357E-1,-4.256149530E-1,8.342603594E-2
3.075249167E-1,-3.339933753E-1,-4.644231796E-1,9.607567638E-2
3.174749166E-1,-3.246523440E-1,-4.198123217E-1,1.285659671E-1
3.274249167E-1,-3.198321164E-1,-3.291268945E-1,1.780412346E-1
3.373749166E-1,-3.193570077E-1,-2.229027003E-1,2.199708521E-1
3.473252917E-1,-3.260324597E-1,-1.326683760E-1,2.440281063E-1
3.572752916E-1,-3.390060365E-1,-8.826922625E-2,2.457596958E-1
3.672252917E-1,-3.432640135E-1,-1.058013439E-1,2.272873372E-1
3.771752917E-1,-3.435931802E-1,-1.776345223E-1,1.926449388E-1
3.871252916E-1,-3.377812505E-1,-2.946247458E-1,1.569721103E-1
