"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.026916639E-3,2.149315144E-1,-7.863335609E-3,-2.308474892E-1
1.897691668E-2,3.862129427E-1,-2.869778359E-1,1.926534766E-1
2.892691665E-2,4.769460883E-1,-3.591862714E-1,4.359450102E-1
3.887691663E-2,3.084659149E-1,-2.584288055E-1,6.253573751E-1
4.882691667E-2,-2.043123861E-1,3.463188887E-2,8.021111029E-1
5.877591664E-2,-7.237283000E-1,4.036274493E-1,9.795062703E-1
6.872591667E-2,-8.263642571E-1,3.525490969E-1,1.072978106E0
7.867591665E-2,-8.015014576E-1,2.311977375E-1,1.015725678E0
8.862591663E-2,-6.605144171E-1,1.954712498E-1,8.392198724E-1
9.857591667E-2,-3.851104137E-1,2.554017019E-1,5.641218245E-1
1.085259166E-1,-1.897978427E-1,4.138565683E-1,2.804172599E-1
1.184759166E-1,-1.169842751E-1,5.417135400E-1,1.135529280E-1
1.284259167E-1,-1.783797836E-1,5.187293047E-1,8.289246798E-2
1.383759166E-1,-2.682854569E-1,3.669817793E-1,9.721288383E-2
1.483259167E-1,-3.476282995E-1,6.380598664E-2,9.759178340E-2
1.582759166E-1,-4.569608900E-1,-2.574224997E-1,-3.632524252E-2
1.682259166E-1,-5.080821462E-1,-4.405403370E-1,-2.502163911E-1
1.781759167E-1,-5.446830119E-1,-4.186290658E-1,-3.410733515E-1
1.881259166E-1,-5.272710635E-1,-2.189840734E-1,-3.585056555E-1
1.980759167E-1,-4.041016585E-1,4.654968381E-2,-4.554437202E-1
2.080259167E-1,-1.945630310E-1,3.037909198E-1,-6.269659442E-1
2.179759166E-1,-4.591459396E-2,4.566728050E-1,-7.619892633E-1
2.279259167E-1,4.562543088E-2,4.544619727E-1,-8.036886817E-1
2.378759166E-1,5.797483256E-2,3.310640877E-1,-6.568007773E-1
2.478259166E-1,4.704284163E-2,1.753123891E-1,-3.941894585E-1
2.577759167E-1,-1.126949404E-2,-5.929076672E-3,-1.404629838E-1
2.677259166E-1,-1.874648584E-1,-1.466230255E-1,-1.788429379E-2
2.776759167E-1,-3.225710801E-1,-1.939176446E-1,-2.672469914E-2
2.876259167E-1,-4.089622661E-1,-1.788476157E-1,-3.831680417E-3
2.975749166E-1,-5.244444463E-1,-1.469300044E-1,1.163362026E-2
3.075249167E-1,-5.755658488E-1,3.833493054E-2,9.799933434E-3
3.174749166E-1,-5.781910294E-1,2.864083171E-1,-1.069239396E-1
3.274249167E-1,-5.739118177E-1,4.623334944E-1,-3.057883286E-1
3.373749166E-1,-5.639802853E-1,5.437594807E-1,-4.374705487E-1
3.473252917E-1,-5.004161907E-1,4.714066190E-1,-5.261745644E-1
3.572752916E-1,-3.801143333E-1,2.818515819E-1,-5.600428069E-1
3.672252917E-1,-2.495067036E-1,8.855900466E-2,-6.064889950E-1
3.771752917E-1,-1.084514516E-1,2.959392786E-2,-6.576544708E-1
3.871252916E-1,-2.491038121E-2,5.028313100E-2,-7.874059403E-1
3.970752917E-1,-7.138920408E-2,2.619669557E-2,-1.076987541E0
4.070252916E-1,-1.653538865E-1,-6.912052095E-2,-1.501239874E0
4.169752917E-1,-2.420057674E-1,-2.248616946E-1,-1.944434847E0
4.269252917E-1,-3.219934483E-1,-4.489310914E-1,-2.381232381E0
4.368752916E-1,-3.423293334E-1,-6.283470565E-1,-2.656958420E0
4.468252917E-1,-3.285079409E-1,-6.370646703E-1,-2.542258853E0
4.567752916E-1,-2.183766573E-1,-4.791214353E-1,-2.020625237E0
4.667252916E-1,1.230444208E-2,-2.935191160E-1,-1.308627913E0
4.766752917E-1,4.527337550E-1,-6.552506804E-2,-4.739337856E-1
4.866252916E-1,1.331722807E0,1.463090301E-1,5.965352798E-1
4.965752917E-1,2.122822433E0,-9.985874891E-3,2.179915085E0
5.065252917E-1,2.544337246E0,-5.869739127E-1,2.688067946E0
5.164752916E-1,2.352584387E0,-1.033605879E0,2.361861141E0
5.264252917E-1,1.298652563E0,-1.066209953E0,1.973020715E0
5.363752916E-1,6.568110099E-1,-9.036175972E-1,1.092441732E0
5.463252916E-1,5.106053660E-1,-8.292111933E-1,3.511802638E-1
5.562752917E-1,-6.459693220E-2,-9.053828716E-1,-4.057382941E-1
5.662252916E-1,-6.139007793E-1,-9.343067086E-1,-2.993177998E-1
5.761742917E-1,-3.164442579E-1,-4.418945521E-1,7.194700652E-1
5.861242916E-1,8.433768041E-1,2.305849493E-2,1.617885979E0
5.960742916E-1,1.864167194E0,8.762169600E-2,1.877010604E0
6.060242917E-1,2.509096370E0,-2.460900110E-1,1.648097373E0
6.159742916E-1,2.592297571E0,-6.735162127E-1,1.338559810E0
6.259242917E-1,1.988314692E0,-5.035452551E-1,9.658781648E-1
6.358742916E-1,9.039125893E-1,-2.175526750E-1,6.731104159E-1
6.458242916E-1,1.934258938E-2,-1.053943080E-1,2.741396892E-1
6.557742917E-1,-2.468236904E-1,-4.994235528E-1,-1.173723292E-1
6.657242916E-1,3.429081347E-1,-6.628269178E-1,-4.391609788E-1
6.756742917E-1,1.419347280E0,-9.562115479E-1,-5.638668859E-1
6.856242917E-1,1.557588907E0,-9.778053153E-1,-3.123009574E-1
6.955742916E-1,1.217883731E0,-6.682741839E-1,-2.048636323E-1
7.055242917E-1,6.719947672E-1,-3.800023592E-1,-3.188860917E-1
7.154742916E-1,2.524006916E-1,-2.039081973E-1,-3.873265815E-1
7.254242916E-1,3.532938860E-2,-1.054720759E-2,-5.185620743E-1
7.353742917E-1,1.376308849E-1,1.479275393E-1,-5.148099160E-1
7.453242916E-1,3.440261954E-1,4.422132254E-2,-4.105552304E-1
7.552742917E-1,1.166724175E-1,-4.098266673E-1,-5.580518299E-1
7.652242917E-1,-7.437707280E-1,-9.206230545E-1,-8.559791619E-1
7.751742916E-1,-1.319998555E0,-6.257883149E-1,-4.715779424E-1
7.851242917E-1,-1.665150047E0,-3.090709555E-1,-4.083812356E-2
7.950742916E-1,-1.856393906E0,-1.539466631E-1,2.036164212E-1
8.050242916E-1,-1.871285887E0,-5.116021335E-2,1.523152900E-1
8.149742917E-1,-1.914437900E0,-2.108804172E-1,-3.673583400E-1
8.249242916E-1,-2.407513715E0,-7.691234511E-1,-1.447191136E0
8.348742917E-1,-3.453444502E0,-1.627295319E0,-2.751701440E0
8.448242916E-1,-4.039974026E0,-2.267557831E0,-3.561978180E0
8.547742916E-1,-3.865818216E0,-2.568611085E0,-3.649112803E0
8.647242917E-1,-3.490805286E0,-2.599125364E0,-3.288771706E0
8.746742916E-1,-2.955960470E0,-2.433253305E0,-2.730470785E0
8.846242917E-1,-2.350357767E0,-2.255599983E0,-2.255364048E0
8.945742917E-1,-1.829902803E0,-2.136413263E0,-1.895977802E0
9.045232916E-1,-1.441005659E0,-2.089252253E0,-1.718965627E0
9.144732917E-1,-1.172042876E0,-2.101463578E0,-1.686339918E0
9.244232916E-1,-1.076026478E0,-2.134697397E0,-1.772524953E0
9.343732917E-1,-1.021900484E0,-2.155375491E0,-1.921487449E0
9.443232917E-1,3.714226812E0,1.508341902E-1,5.562298375E-1
9.542732916E-1,1.419991176E1,4.605619050E0,5.640211939E0
9.642232917E-1,1.405826764E1,6.230111799E0,3.343110466E0
9.741732916E-1,5.932312521E0,4.053204813E0,-5.102116656E-1
9.841232916E-1,-9.671933497E-1,8.629850033E-1,-1.672834019E0
9.940732917E-1,-4.398839578E0,-5.263830176E-1,-1.240697300E0
1.004023292E0,-4.807257943E0,-8.001025844E-1,-5.084960926E-1
1.013973292E0,-3.466964141E0,-2.387918088E-1,6.845493239E-1
1.023923292E0,-2.075539655E0,5.166091043E-1,2.051510814E0
1.033873292E0,-9.009771408E-1,1.151375819E0,1.614667672E0
1.043823292E0,-4.434708884E-1,1.309169658E0,1.060433489E0
1.053773292E0,-1.545556507E-1,1.485307966E0,1.868619264E0
1.063723292E0,4.218674000E-1,1.800227306E0,3.317984980E0
1.073673292E0,9.384838133E-1,1.883437863E0,5.237011921E0
1.083623292E0,1.317154177E0,1.441073633E0,6.806226262E0
1.093573292E0,1.524787489E0,7.651528993E-1,7.937377147E0
1.103523292E0,1.266655722E0,-8.758573562E-2,7.846803192E0
1.113473292E0,7.174364036E-1,-9.352886023E-1,6.693460370E0
1.123423292E0,7.356138987E-2,-1.381566666E0,5.164491245E0
1.133373292E0,-3.350843774E-1,-1.486478578E0,3.540072756E0
1.143323292E0,-7.506690538E-1,-1.545844482E0,1.997366182E0
1.153273292E0,-1.085604583E0,-1.587408245E0,4.123807311E-1
1.163223292E0,-1.293675705E0,-1.870040138E0,-1.498188797E0
1.173173292E0,-1.745337447E0,-2.117126222E0,-3.498371583E0
1.183123292E0,-1.537041353E0,-2.178008601E0,-3.642702500E0
1.193073292E0,-1.057743770E0,-1.826482474E0,-3.331032457E0
1.203023292E0,-6.395961493E-1,-1.338799546E0,-3.324116371E0
1.212973292E0,4.127121951E-2,-4.805294448E-1,-2.512627503E0
1.222923292E0,7.892703250E-1,6.025286758E-1,-1.212566346E0
1.232873292E0,1.195774458E0,1.230591265E0,-6.607517409E-1
1.242823292E0,1.612170911E0,1.431697477E0,-1.172793585E-1
1.252773292E0,2.236501807E0,1.640926933E0,1.243305743E0
1.262723292E0,2.382293943E0,1.697619489E0,2.572528719E0
1.272672292E0,1.958721934E0,1.230562322E0,2.771415328E0
1.282622292E0,1.536025837E0,4.658701828E-1,2.355296472E0
1.292572292E0,1.075221390E0,-9.978331983E-2,1.717213801E0
1.302522292E0,6.917190336E-1,-3.864050603E-1,9.783268869E-1
1.312472292E0,4.706861323E-1,-4.790194014E-1,2.790127587E-1
1.322422292E0,2.475834995E-1,-4.163322794E-1,-2.842927945E-1
1.332372292E0,-7.675932348E-4,-2.131538147E-1,-5.905594254E-1
1.342322292E0,-4.591416821E-1,1.215796933E-1,-6.717404133E-1
1.352272583E0,-1.100115180E0,5.448154879E-1,-6.232798594E-1
1.362222583E0,-1.464612623E0,1.002611543E0,-5.990718019E-1
1.372172583E0,-1.432681856E0,1.404994705E0,-6.221887690E-1
1.382122583E0,-1.126416540E0,1.609779400E0,-7.319702429E-1
1.392072583E0,-8.598873677E-1,1.468613580E0,-8.669929773E-1
1.402022583E0,-7.250262357E-1,1.109627576E0,-9.234215319E-1
1.411972583E0,-5.769564263E-1,6.938206691E-1,-7.556947356E-1
1.421922583E0,-3.274712661E-1,3.419831783E-1,-5.393413246E-1
1.431872583E0,5.675552364E-2,6.278213918E-2,-4.040496182E-1
1.441822583E0,4.050516483E-1,-1.694406152E-1,-2.695847082E-1
1.451772583E0,5.509188116E-1,-2.420598176E-1,-3.745024681E-2
1.461722583E0,8.489076123E-1,-4.251802862E-1,1.655071932E-1
1.471672583E0,1.003777770E0,-6.335136563E-1,4.180589622E-1
1.481622583E0,8.370702897E-1,-6.359308952E-1,8.167116004E-1
