"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.047916683E-4,-1.954934692E0,3.718866577E0,7.799381104E0
1.097379166E-2,-1.841171265E0,3.915108490E0,7.304510193E0
2.104379167E-2,-1.781744843E0,3.994742889E0,6.722520447E0
3.111279166E-2,-1.866019592E0,4.014950867E0,6.066285095E0
4.118279167E-2,-1.935175781E0,4.042194214E0,5.594316559E0
5.125179166E-2,-1.960772552E0,4.049229584E0,5.489534454E0
6.132179167E-2,-1.994302826E0,4.001029816E0,5.803581390E0
7.139179167E-2,-1.946252747E0,3.909719696E0,6.218368835E0
8.146079167E-2,-1.862127686E0,3.788471832E0,6.594386902E0
9.153079167E-2,-1.792223053E0,3.727398834E0,6.943460999E0
1.015997917E-1,-1.681453400E0,3.727847900E0,7.287595367E0
1.116697917E-1,-1.559157715E0,3.748654633E0,7.542066193E0
1.217397917E-1,-1.514999542E0,3.812272339E0,7.734116821E0
1.318087917E-1,-1.557810516E0,3.883973236E0,7.884853363E0
1.418787917E-1,-1.582958221E0,3.983366547E0,7.959398346E0
1.519477917E-1,-1.610950012E0,4.186045074E0,7.907007294E0
1.620177917E-1,-1.640438690E0,4.377047882E0,7.792944489E0
1.720877917E-1,-1.703008575E0,4.440366211E0,7.674989777E0
1.821567917E-1,-1.720073090E0,4.463268585E0,7.681276703E0
1.922267917E-1,-1.758842468E0,4.497547302E0,7.842790833E0
2.022957917E-1,-1.928589478E0,4.552333374E0,8.159083099E0
2.123657917E-1,-2.141147461E0,4.543651428E0,8.667126617E0
2.224357917E-1,-2.559527435E0,4.347559204E0,9.235195312E0
2.325047917E-1,-3.171005859E0,4.265080719E0,9.754764862E0
2.425747917E-1,-2.844534760E0,4.897665253E0,9.764045563E0
2.526437917E-1,-2.546654205E0,5.227579193E0,9.804311829E0
2.627137917E-1,-2.380499725E0,5.096451874E0,9.768386536E0
2.727837917E-1,-2.275867310E0,4.865931244E0,9.676178284E0
2.828527917E-1,-2.136207733E0,4.775070190E0,9.694889374E0
2.929227917E-1,-2.060764618E0,4.763693848E0,9.767488403E0
3.029917917E-1,-2.055525513E0,4.661007385E0,9.877958679E0
3.130617917E-1,-2.032024384E0,4.449048157E0,9.986183624E0
3.231307917E-1,-1.906585236E0,4.160298615E0,1.011192215E1
3.332007917E-1,-1.635498962E0,3.839216309E0,1.025038422E1
3.432707917E-1,-1.220412140E0,3.519630890E0,1.035516632E1
3.533397917E-1,-7.683522034E-1,3.201542358E0,1.041593994E1
3.634097917E-1,-3.438349915E-1,2.913541260E0,1.039154068E1
3.734787917E-1,-6.301895142E-2,2.689008179E0,1.018856277E1
3.835487917E-1,1.432521057E-1,2.553390198E0,9.898765411E0
3.936187917E-1,2.772235107E-1,2.431244202E0,9.645641785E0
4.036877917E-1,2.778222656E-1,2.321222992E0,9.441915436E0
4.137577917E-1,1.993853760E-1,2.229463806E0,9.289981384E0
4.238267917E-1,5.239105225E-3,2.147135010E0,9.216633911E0
4.338967917E-1,-2.095642090E-1,2.100432129E0,9.255253601E0
4.439667917E-1,-4.890330505E-1,2.083666992E0,9.330547028E0
4.540357917E-1,-8.316705322E-1,2.084265747E0,9.420659637E0
4.641057917E-1,-1.230441284E0,2.074535980E0,9.451794891E0
4.741747917E-1,-1.717678070E0,1.927242279E0,9.335486755E0
4.842447917E-1,-2.146386566E0,1.773362274E0,9.167536011E0
4.943147917E-1,-2.268382874E0,1.725162506E0,8.935069427E0
5.043837917E-1,-2.408641205E0,1.709744568E0,8.682394867E0
5.144537917E-1,-2.677631836E0,1.737436981E0,8.547375641E0
5.245227917E-1,-3.015628967E0,1.690734100E0,8.676257629E0
5.345927917E-1,-3.329526215E0,1.533860321E0,8.920250244E0
5.446627917E-1,-3.633993073E0,1.411115570E0,8.917106781E0
5.547317917E-1,-4.107009430E0,1.290616150E0,8.926387482E0
5.648017917E-1,-4.447102203E0,1.350940704E0,8.737480316E0
5.748707917E-1,-4.714595947E0,2.075583801E0,7.864495697E0
5.849407917E-1,-4.420756989E0,3.156336365E0,7.233557739E0
5.950107917E-1,-4.291875000E0,3.764671326E0,6.866221619E0
6.050797917E-1,-4.750670929E0,3.940256195E0,6.591842194E0
6.151497917E-1,-5.073848877E0,3.775897980E0,6.523584137E0
6.252187917E-1,-5.444029083E0,3.640729065E0,6.781048737E0
6.352887917E-1,-5.569917297E0,3.803440704E0,7.183711395E0
6.453577917E-1,-5.229076080E0,3.824397125E0,7.324418793E0
6.554277917E-1,-4.905898132E0,3.646566925E0,7.059918823E0
6.654977917E-1,-4.704417114E0,3.392844543E0,6.556515656E0
6.755667917E-1,-4.653073883E0,3.277584229E0,6.195466461E0
6.856367917E-1,-4.576732635E0,3.404969330E0,5.283562775E0
6.957057917E-1,-3.491489410E0,4.605023804E0,-1.459465027E-1
7.057757917E-1,-4.194577332E0,4.588108978E0,1.256786499E0
7.158457917E-1,-4.320615234E0,3.802991638E0,5.836961975E0
7.259147917E-1,-4.243974609E0,3.495680695E0,8.009693756E0
7.359847917E-1,-3.954476624E0,3.498674469E0,8.421637115E0
7.460537917E-1,-4.282294922E0,3.396287384E0,8.587342529E0
7.561237917E-1,-4.421355743E0,3.071462860E0,9.015452271E0
7.661937917E-1,-4.264931030E0,2.879561920E0,9.007069702E0
7.762627917E-1,-3.531306610E0,2.623893585E0,8.633147278E0
7.863327917E-1,-2.766097870E0,2.185904388E0,8.092471619E0
7.964017917E-1,-2.956202545E0,1.894909515E0,7.300917664E0
8.064719583E-1,-4.209097137E0,2.118394775E0,6.703210602E0
8.165409583E-1,-5.890550537E0,2.967878265E0,6.590045929E0
8.266109583E-1,-6.997648315E0,3.889960785E0,6.904691620E0
8.366809583E-1,-7.477999420E0,4.450694733E0,7.044351196E0
8.467499583E-1,-7.887847137E0,4.591701508E0,6.851402435E0
8.568199583E-1,-8.321345673E0,4.603676605E0,6.660549316E0
8.668889583E-1,-8.203540649E0,4.878804474E0,6.118676147E0
8.769589583E-1,-7.886799316E0,5.422324219E0,6.343807983E0
8.870289583E-1,-7.865094452E0,5.375321960E0,6.181695099E0
8.970979583E-1,-7.584727478E0,4.944517822E0,4.640799408E0
9.071679583E-1,-7.337441711E0,4.093537445E0,2.335144043E0
9.172369583E-1,-5.349725189E0,3.719615021E0,3.187022552E0
9.273069583E-1,-4.759652252E0,3.112776947E0,4.726870422E0
9.373769583E-1,-5.766757965E0,2.597398682E0,5.545518036E0
9.474459583E-1,-7.310198364E0,2.730921021E0,5.478457489E0
9.575159583E-1,-8.488547974E0,3.386108551E0,5.140610046E0
9.675849583E-1,-9.212891693E0,3.750301208E0,5.265001373E0
9.776549583E-1,-9.334139557E0,3.338657227E0,6.027665405E0
9.877239583E-1,-9.185049591E0,2.503244476E0,6.493496704E0
