"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.474779168E-2,4.340974689E-1,2.380384505E-1,1.719428450E-1
2.481779167E-2,2.935457528E-1,1.534041166E-1,9.000673890E-2
3.488679168E-2,1.047907546E-1,-2.371925116E-2,1.060219482E-2
4.495679167E-2,-8.721379936E-2,-2.239148021E-1,-6.167189777E-2
5.502579168E-2,-2.414827347E-1,-4.055549204E-1,-1.034571603E-1
6.509579167E-2,-3.280540407E-1,-5.262597203E-1,-1.134646162E-1
7.516579167E-2,-3.539663255E-1,-5.710495710E-1,-9.651546180E-2
8.523479167E-2,-3.329231143E-1,-5.438174009E-1,-5.830543116E-2
9.530479167E-2,-2.710794508E-1,-4.766114950E-1,-1.513479277E-2
1.053737917E-1,-1.931434125E-1,-3.893842399E-1,2.367232926E-2
1.154437917E-1,-1.240889728E-1,-2.845270634E-1,4.170592129E-2
1.255137917E-1,-6.142613664E-2,-1.656866521E-1,4.179856554E-2
1.355827917E-1,5.819742568E-3,-7.039395720E-2,2.357615344E-2
1.456527917E-1,5.755514279E-2,-1.250455435E-2,-4.955392331E-3
1.557217917E-1,9.337706119E-2,1.218401361E-2,-3.399849311E-2
1.657917917E-1,9.539083391E-2,7.916535251E-3,-5.750102550E-2
1.758617917E-1,7.181040943E-2,-1.940296963E-2,-7.018139958E-2
1.859307917E-1,2.790424600E-2,-5.093573779E-2,-8.436209708E-2
1.960007917E-1,-2.960645407E-2,-3.704016283E-2,-9.944624454E-2
2.060697917E-1,-8.712276071E-2,1.311667450E-2,-1.067642570E-1
2.161397917E-1,-1.242088750E-1,5.702340975E-2,-7.700156420E-2
2.262097917E-1,-1.208664551E-1,3.612890467E-2,5.284456909E-2
2.362787917E-1,-1.412585527E-1,4.600816593E-2,1.552268714E-1
2.463487917E-1,-1.445963532E-1,4.730909690E-2,2.236134708E-1
2.564177917E-1,-1.624174267E-1,1.047620028E-1,2.664522827E-1
2.664877917E-1,-1.899973303E-1,1.795367151E-1,2.957240343E-1
2.765577917E-1,-2.325282842E-1,2.129753679E-1,3.015526235E-1
2.866267917E-1,-2.952366769E-1,2.184595168E-1,3.023463488E-1
2.966967917E-1,-3.777073026E-1,2.084966302E-1,3.262447417E-1
3.067657917E-1,-4.743175507E-1,1.969581842E-1,3.729724288E-1
3.168357917E-1,-5.490279794E-1,2.022096813E-1,4.332224429E-1
3.269047917E-1,-5.718545914E-1,2.646199465E-1,4.922932386E-1
3.369747917E-1,-5.436829329E-1,3.860688806E-1,5.379036069E-1
3.470447917E-1,-4.437979460E-1,5.911480784E-1,5.624302626E-1
3.571137917E-1,-2.968508303E-1,8.476605415E-1,5.581513643E-1
3.671837917E-1,-1.451399177E-1,1.132811785E0,5.315134525E-1
3.772527917E-1,-3.432551771E-2,1.398429632E0,4.828090668E-1
3.873227917E-1,2.406917699E-2,1.599495769E0,4.190319180E-1
3.973927917E-1,3.245253861E-2,1.728729129E0,3.537535667E-1
4.074617917E-1,-7.054221351E-5,1.800840855E0,2.836886942E-1
4.175317917E-1,-5.437665805E-2,1.883149028E0,2.361198217E-1
4.276007917E-1,-1.046129167E-1,2.018590927E0,2.165754586E-1
4.376707917E-1,-1.280601919E-1,2.230265379E0,2.196527421E-1
4.477407917E-1,-1.136450768E-1,2.445723772E0,2.585347295E-1
4.578097917E-1,-8.054731041E-2,2.569501638E0,3.429071307E-1
4.678797917E-1,-3.922469541E-2,2.542485714E0,4.563531578E-1
4.779487917E-1,-8.712062612E-3,2.462821007E0,5.552645326E-1
4.880187917E-1,2.252137288E-3,2.398941278E0,6.176617146E-1
4.980887917E-1,-2.224902622E-3,2.441057682E0,6.441066265E-1
5.081577917E-1,-1.157307066E-2,2.585871458E0,6.459451914E-1
5.182277917E-1,-1.138478518E-2,2.693334579E0,6.362646222E-1
5.282967917E-1,1.180929504E-2,2.660984516E0,6.152001619E-1
5.383667917E-1,2.201372758E-2,2.516489506E0,5.801337957E-1
5.484367917E-1,8.897652850E-3,2.176272154E0,5.431554317E-1
5.585057917E-1,-4.202464968E-2,1.788766384E0,4.936096966E-1
5.685757917E-1,-1.805747449E-1,1.721847892E0,4.471734762E-1
5.786447917E-1,-3.679126799E-1,1.892184734E0,4.007396698E-1
5.887147917E-1,-5.325121284E-1,2.002561331E0,3.678268194E-1
5.987847917E-1,-6.446362734E-1,2.060106277E0,3.894948363E-1
6.088537917E-1,-7.137230635E-1,2.271226645E0,4.756591618E-1
6.189237917E-1,-7.294562459E-1,2.600018740E0,6.358328462E-1
6.289927917E-1,-7.027323842E-1,2.887442589E0,7.687409520E-1
6.390627917E-1,-6.404058933E-1,3.011714697E0,8.346986771E-1
6.491317917E-1,-5.782287121E-1,3.006729126E0,8.331809044E-1
6.592017917E-1,-5.541630387E-1,2.948003292E0,7.751737833E-1
6.692717917E-1,-5.350770950E-1,2.813987970E0,6.742277741E-1
6.793407917E-1,-5.250071287E-1,2.367557287E0,5.618681908E-1
6.894107917E-1,-6.403647065E-1,-3.019528650E-2,3.123783767E-1
6.994797917E-1,-7.573850751E-1,-1.045431137E0,4.010026157E-2
7.095497917E-1,-7.800504565E-1,-5.251433253E-1,-1.657694876E-1
7.196197917E-1,-6.891269088E-1,6.499291956E-2,-3.469986320E-1
7.296887917E-1,-5.052123666E-1,1.772704422E-1,-5.487784147E-1
7.397587917E-1,-2.419996411E-1,1.651578546E-1,-6.988912225E-1
7.498277917E-1,9.021358192E-2,3.765022755E-1,-7.290889025E-1
7.598977917E-1,4.673552811E-1,5.842064619E-1,-6.502526999E-1
7.699677917E-1,8.509406447E-1,8.103113770E-1,-5.736520290E-1
7.800367917E-1,1.206580877E0,1.012350559E0,-6.124127507E-1
7.901067917E-1,1.492499471E0,8.946941495E-1,-7.724727988E-1
8.001757917E-1,1.680994630E0,4.006628394E-1,-1.010481119E0
8.102459583E-1,1.777937889E0,-2.372246981E-1,-1.208736420E0
8.203149583E-1,1.792571187E0,-5.266852975E-1,-1.275590181E0
8.303849583E-1,1.739865184E0,-2.219809741E-1,-1.220469594E0
8.404549583E-1,1.595840812E0,3.557913005E-1,-1.097534895E0
8.505239583E-1,1.401261568E0,9.072018266E-1,-9.712132812E-1
8.605939583E-1,1.206442118E0,1.123744011E0,-8.900960684E-1
8.706629583E-1,1.063256025E0,1.446502090E0,-8.298259377E-1
8.807329583E-1,9.581770301E-1,1.798269391E0,-7.273789048E-1
8.908029583E-1,8.484039903E-1,1.876110673E0,-6.072918773E-1
9.008719583E-1,5.908384919E-1,1.543807387E0,-5.140846968E-1
9.109419583E-1,3.811977804E-1,5.416679382E-1,-6.113784313E-1
9.210109583E-1,2.681985199E-1,5.343808979E-2,-7.766944170E-1
9.310809583E-1,2.342713177E-1,3.354991972E-2,-9.070073366E-1
9.411509583E-1,2.682870626E-1,1.193455160E-1,-9.687668681E-1
9.512199583E-1,3.490083516E-1,2.094020993E-1,-9.580281973E-1
9.612899583E-1,4.418136775E-1,3.123766780E-1,-8.804220557E-1
9.713589583E-1,4.930714667E-1,5.501424074E-1,-6.962535977E-1
9.814289583E-1,4.265907109E-1,8.262096643E-1,-4.416284561E-1
9.914979583E-1,2.482493073E-1,9.149800539E-1,-2.263895273E-1
1.001567958E0,-3.236078843E-2,6.938301325E-1,-1.308142692E-1
1.011637958E0,-3.815877140E-1,3.263981044E-1,-1.885711700E-1
1.021706958E0,-7.673915625E-1,-1.374140233E-1,-3.866506815E-1
1.031776958E0,-1.123874664E0,-4.905099273E-1,-6.661718488E-1
1.041845958E0,-1.390668035E0,-6.441959143E-1,-9.584702849E-1
1.051915958E0,-1.534077168E0,-5.333655477E-1,-1.208324909E0
1.061985958E0,-1.513144732E0,-1.765424460E-1,-1.397862554E0
1.072054958E0,-1.410301447E0,1.413375586E-1,-1.550154924E0
1.082124958E0,-1.289297223E0,2.970163524E-1,-1.688538074E0
1.092193958E0,-1.177668691E0,3.253258765E-1,-1.816399932E0
1.102263958E0,-1.111210346E0,1.754247844E-1,-1.926492095E0
1.112333958E0,-1.111384273E0,-1.024362147E-1,-2.019495487E0
1.122402958E0,-1.189021230E0,-3.484055102E-1,-2.102017164E0
1.132472958E0,-1.369732857E0,-5.359904766E-1,-2.155605555E0
1.142541958E0,-1.654440761E0,-7.250362635E-1,-2.150169611E0
1.152611958E0,-1.998212814E0,-9.326909184E-1,-2.061485052E0
1.162680958E0,-2.347227573E0,-1.055299401E0,-1.859321356E0
1.172750958E0,-2.642663479E0,-1.085551858E0,-1.565424204E0
1.182820958E0,-2.844691992E0,-1.041380405E0,-1.220818520E0
1.192889958E0,-2.966816187E0,-1.087354660E0,-8.817169666E-1
1.202959958E0,-3.026120424E0,-1.308114409E0,-5.765546560E-1
1.213028958E0,-3.061172962E0,-1.627117634E0,-3.307076693E-1
1.223098958E0,-3.080364943E0,-1.826561570E0,-1.443319321E-1
1.233168958E0,-3.107663870E0,-1.753875494E0,-2.232025005E-2
1.243237958E0,-3.145492315E0,-1.453237414E0,1.475574635E-2
1.253307958E0,-3.191091061E0,-1.119928718E0,-7.818834484E-2
1.263376958E0,-3.206476212E0,-7.953189015E-1,-3.149851561E-1
1.273446958E0,-3.161994219E0,-4.731182158E-1,-6.381138563E-1
1.283515958E0,-3.051211834E0,-1.333119124E-1,-9.817953110E-1
1.293585958E0,-2.890378237E0,2.077736259E-1,-1.294417262E0
1.303655958E0,-2.692546129E0,4.535067081E-1,-1.512763977E0
1.313724958E0,-2.495063543E0,5.617140532E-1,-1.638352156E0
1.323794958E0,-2.311757565E0,6.095913053E-1,-1.694515347E0
1.333863958E0,-2.150166035E0,6.398367286E-1,-1.705868840E0
1.343933958E0,-2.017835379E0,6.415883303E-1,-1.719491720E0
1.354003958E0,-1.886014819E0,5.966451764E-1,-1.791008830E0
1.364072958E0,-1.741837621E0,5.355562568E-1,-1.920986891E0
1.374142958E0,-1.566255689E0,6.523664594E-1,-2.072877169E0
1.384211958E0,-1.380574584E0,9.378767610E-1,-2.170775890E0
1.394281958E0,-1.226375103E0,1.068700790E0,-2.218797445E0
1.404350958E0,-1.127623677E0,9.256069660E-1,-2.180135489E0
1.414420958E0,-1.098492265E0,5.810216069E-1,-2.002828121E0
1.424490958E0,-1.128557801E0,1.840817183E-1,-1.657827377E0
1.434559958E0,-1.215210319E0,-1.106087565E-1,-1.202810526E0
1.444629958E0,-1.339414358E0,-3.068312705E-1,-7.180697322E-1
1.454698958E0,-1.476786137E0,-4.052459002E-1,-3.157943785E-1
1.464768958E0,-1.607225418E0,-4.264409244E-1,-4.916747287E-2
1.474838958E0,-1.729744077E0,-3.505295217E-1,5.572389066E-2
