"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.461187501E-2,-2.087203096E-1,7.450989962E-1,2.757973748E-1
2.468087501E-2,-3.357338203E-1,8.608732814E-1,5.260938728E-1
3.475087500E-2,-3.972747418E-1,9.617690340E-1,5.607766324E-1
4.481987501E-2,-4.380888918E-1,9.860384873E-1,5.471806866E-1
5.488987500E-2,-4.848221782E-1,9.517565542E-1,6.257491386E-1
6.495887501E-2,-5.442870457E-1,8.968354118E-1,7.711015642E-1
7.502887500E-2,-6.073510207E-1,8.418987742E-1,9.659378064E-1
8.509787501E-2,-7.021688850E-1,7.741470864E-1,1.183057203E0
9.516687501E-2,-7.541482933E-1,6.627848178E-1,1.421247041E0
1.052368750E-1,-7.830284223E-1,5.344591919E-1,1.523204355E0
1.153058750E-1,-7.914634694E-1,3.934357524E-1,1.559278167E0
1.253758750E-1,-8.487661828E-1,1.924803990E-1,1.637344928E0
1.354448750E-1,-7.544988339E-1,1.805503249E-2,1.823259489E0
1.455148750E-1,-4.890581936E-1,-4.820415348E-2,1.999968193E0
1.555838750E-1,-3.593488240E-1,-2.097343630E-1,2.024016622E0
1.656538750E-1,-5.973971593E-1,-4.700933343E-1,1.785778837E0
1.757228750E-1,-8.307282534E-1,-5.997728831E-1,1.459399538E0
1.857928750E-1,-9.775088614E-1,-6.607321528E-1,1.179383397E0
1.958618750E-1,-1.166111533E0,-7.120686597E-1,9.717236263E-1
2.059318750E-1,-1.213960030E0,-7.830918646E-1,8.269734639E-1
2.160008750E-1,-1.110962934E0,-9.811344275E-1,8.172659165E-1
2.260708750E-1,-9.604912712E-1,-1.242804637E0,8.145580709E-1
2.361398750E-1,-7.724421845E-1,-1.485335448E0,7.379665625E-1
2.462098750E-1,-7.150618494E-1,-1.604110816E0,5.725646192E-1
2.562788750E-1,-7.620565063E-1,-1.564540954E0,3.734400290E-1
2.663488750E-1,-8.776904583E-1,-1.453473970E0,1.138131291E-1
2.764178750E-1,-1.038602032E0,-1.327219135E0,-2.555116296E-1
