"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.098160386E0,5.238716694E1,4.860996567E0,-2.336648941E1,9.700000286E-1,1.638281250E2,1.912369304E1,2.400000000E1
1.650160193E0,5.238716694E1,4.860996567E0,-2.336648941E1,0.000000000E0,1.638281250E2,1.913887099E1,2.400000000E1
2.650178552E0,5.238716694E1,4.860996567E0,-2.336648941E1,0.000000000E0,1.638281250E2,7.550950886E0,1.600000000E1
3.650195003E0,5.238716694E1,4.860996567E0,-2.336648941E1,0.000000000E0,1.638281250E2,4.680140978E0,1.200000000E1
4.650211453E0,5.238716694E1,4.860996567E0,-2.336648941E1,0.000000000E0,1.638281250E2,3.740441163E0,8.000000000E0
5.650228500E0,5.238716694E1,4.860996567E0,-2.336648941E1,0.000000000E0,1.638281250E2,3.670490454E0,6.000000000E0
6.650105476E0,5.238709113E1,4.861122128E0,-2.764621735E0,8.500000238E-1,1.251562500E2,3.535533906E0,6.000000000E0
7.650097489E0,5.238707989E1,4.861144839E0,-1.520175934E0,8.100000024E-1,1.663546143E2,3.535533906E0,6.000000000E0
8.650090218E0,5.238706743E1,4.861160936E0,-1.332553864E0,8.100000024E-1,1.663546143E2,3.535533906E0,6.000000000E0
9.650078416E0,5.238705703E1,4.861170581E0,-1.115879059E0,8.100000024E-1,1.663546143E2,3.535533906E0,6.000000000E0
1.065006220E1,5.238704627E1,4.861178688E0,-1.626926422E0,9.300000072E-1,1.662349243E2,3.535533906E0,6.000000000E0
1.165004754E1,5.238703224E1,4.861188596E0,-4.550933838E-3,1.490000010E0,1.662349243E2,3.535533906E0,6.000000000E0
1.265002704E1,5.238701829E1,4.861199828E0,8.920555115E-1,1.179999948E0,1.662349243E2,3.535533906E0,4.000000000E0
1.365000534E1,5.238700835E1,4.861205866E0,8.920556884E-1,1.179999948E0,1.662349243E2,4.287152020E0,4.066716250E0
1.464998615E1,5.238699675E1,4.861213372E0,8.579980712E-1,1.179999948E0,1.662349243E2,4.287151841E0,4.066716208E0
1.564996803E1,5.238698545E1,4.861217786E0,2.925073365E-1,1.110000014E0,1.662349243E2,4.287151663E0,4.066716160E0
1.664994049E1,5.238697561E1,4.861223148E0,6.971703889E-1,8.999999762E-1,1.662349243E2,4.287151488E0,4.066716109E0
1.764992344E1,5.238695464E1,4.861233266E0,1.886562618E0,1.610000014E0,1.662349243E2,4.287151241E0,4.066716071E0
1.864990067E1,5.238693203E1,4.861242988E0,3.023830685E0,1.610000014E0,1.662349243E2,4.287150894E0,4.066715981E0
