"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.834958076E-3,5.188121343E1,5.269141858E0,1.383932114E1,NaN,NaN,1.414000000E3,3.429733658E1
2.636111021E0,5.188215784E1,5.266813110E0,1.383932114E1,NaN,NaN,1.420200270E3,3.429733658E1
2.648205996E0,5.188258261E1,5.265528618E0,1.383932114E1,NaN,NaN,1.420200346E3,3.429733658E1
1.735790896E1,5.188534115E1,5.274425844E0,1.383932114E1,NaN,NaN,1.414000000E3,3.429733658E1
1.736254799E1,5.188631045E1,5.278107552E0,1.383932114E1,NaN,NaN,1.414000000E3,3.429733658E1
4.481666601E1,5.188742874E1,5.280221254E0,1.383932114E1,NaN,NaN,1.718300732E3,3.429733658E1
4.482135594E1,5.188742889E1,5.280221543E0,1.383932114E1,NaN,NaN,1.718300741E3,3.429733658E1
8.719750595E1,5.189521407E1,5.272794896E0,1.383932114E1,NaN,NaN,9.274000000E3,3.429733658E1
8.720154297E1,5.189845470E1,5.268328335E0,1.383932114E1,NaN,NaN,9.274000000E3,3.429733658E1
1.078288042E2,5.192563065E1,5.251440797E0,1.383932114E1,NaN,NaN,1.869000000E3,3.429733658E1
1.314142862E2,5.192621524E1,5.249729342E0,1.383932114E1,NaN,NaN,2.066733718E3,3.429733658E1
1.314169743E2,5.192669670E1,5.248214974E0,1.383932114E1,NaN,NaN,2.066733720E3,3.429733658E1
1.550776013E2,5.192637446E1,5.249898007E0,1.383932114E1,NaN,NaN,1.869000000E3,3.429733658E1
1.550828953E2,5.192622854E1,5.250570806E0,1.383932114E1,NaN,NaN,1.869000000E3,3.429733658E1
1.563093833E2,5.192622962E1,5.250574186E0,1.383932114E1,NaN,NaN,1.869534682E3,3.429733658E1
1.563236162E2,5.192622963E1,5.250574225E0,1.383932114E1,NaN,NaN,1.869534755E3,3.429733658E1
1.614950052E2,5.192623397E1,5.250587784E0,1.383932114E1,NaN,NaN,1.878946477E3,3.429733658E1
1.615116613E2,5.192623399E1,5.250587826E0,1.383932114E1,NaN,NaN,1.878946578E3,3.429733658E1
1.893192663E2,5.194259335E1,5.243377931E0,1.383932114E1,NaN,NaN,1.414000000E3,3.429733658E1
1.893233512E2,5.194623435E1,5.241758841E0,1.383932114E1,NaN,NaN,1.414000000E3,3.429733658E1
2.153310833E2,5.194870568E1,5.223009696E0,1.383932114E1,NaN,NaN,1.502000000E3,3.429733658E1
2.153412353E2,5.194867651E1,5.215941785E0,1.383932114E1,NaN,NaN,1.502000000E3,3.429733658E1
2.163948743E2,5.194982682E1,5.218144423E0,1.383932114E1,NaN,NaN,1.502472268E3,3.429733658E1
2.163988043E2,5.195055636E1,5.219806195E0,1.383932114E1,NaN,NaN,1.502472275E3,3.429733658E1
2.254985462E2,5.195209024E1,5.216401524E0,1.383932114E1,NaN,NaN,1.536683248E3,3.429733658E1
2.255027783E2,5.195262726E1,5.215440358E0,1.383932114E1,NaN,NaN,1.536683256E3,3.429733658E1
2.466136483E2,5.195314049E1,5.209246279E0,1.383932114E1,NaN,NaN,1.533000000E3,3.429733658E1
2.466205803E2,5.195282772E1,5.208168471E0,1.383932114E1,NaN,NaN,1.533000000E3,3.429733658E1
2.639267943E2,5.195350763E1,5.205682712E0,1.383932114E1,NaN,NaN,1.650778676E3,3.429733658E1
2.639496972E2,5.195350841E1,5.205679848E0,1.383932114E1,NaN,NaN,1.650778903E3,3.429733658E1
2.640999583E2,5.195675934E1,5.210334150E0,1.383932114E1,NaN,NaN,1.414000000E3,3.429733658E1
2.646197493E2,5.195795907E1,5.212016424E0,1.383932114E1,NaN,NaN,1.414000000E3,3.429733658E1
2.810379102E2,5.196213162E1,5.201011512E0,1.383932114E1,NaN,NaN,1.536063491E3,3.429733658E1
2.810412732E2,5.196495324E1,5.193921786E0,1.383932114E1,NaN,NaN,1.536063497E3,3.429733658E1
3.231189062E2,5.196952026E1,5.181818521E0,1.383932114E1,NaN,NaN,2.830673682E3,3.429733658E1
3.231266253E2,5.196952066E1,5.181817420E0,1.383932114E1,NaN,NaN,2.830673697E3,3.429733658E1
3.240257393E2,5.197324077E1,5.176659306E0,1.383932114E1,NaN,NaN,1.817000000E3,3.429733658E1
3.343374423E2,5.197327159E1,5.176574816E0,1.383932114E1,NaN,NaN,1.818043020E3,3.429733658E1
3.352300722E2,5.197814632E1,5.192789765E0,1.383932114E1,NaN,NaN,1.818058068E3,3.429733658E1
3.369759023E2,5.198025357E1,5.198384557E0,1.383932114E1,NaN,NaN,1.818160302E3,3.429733658E1
3.487225252E2,5.198454683E1,5.197777776E0,1.383932114E1,NaN,NaN,1.653000000E3,3.429733658E1
3.487320783E2,5.198631868E1,5.197527182E0,1.383932114E1,NaN,NaN,1.653000000E3,3.429733658E1
3.551226113E2,5.198485226E1,5.200603343E0,1.383932114E1,NaN,NaN,1.653048013E3,3.429733658E1
3.551513423E2,5.198398826E1,5.202415317E0,1.383932114E1,NaN,NaN,1.653048016E3,3.429733658E1
3.613486233E2,5.198604099E1,5.199843940E0,1.383932114E1,NaN,NaN,1.653000000E3,3.429733658E1
3.613511733E2,5.198706575E1,5.198560264E0,1.383932114E1,NaN,NaN,1.653000000E3,3.429733658E1
3.694359252E2,5.199509043E1,5.205860015E0,1.383932114E1,NaN,NaN,1.660392706E3,3.429733658E1
3.694450853E2,5.199923454E1,5.209635685E0,1.383932114E1,NaN,NaN,1.660392720E3,3.429733658E1
3.892566793E2,5.199794577E1,5.202646695E0,1.383932114E1,NaN,NaN,1.739088573E3,3.429733658E1
3.892634862E2,5.199704758E1,5.198277387E0,1.383932114E1,NaN,NaN,1.739088586E3,3.429733658E1
4.177182332E2,5.201031586E1,5.192555989E0,1.383932114E1,NaN,NaN,1.414000000E3,3.429733658E1
4.177236212E2,5.201436674E1,5.190809232E0,1.383932114E1,NaN,NaN,1.414000000E3,3.429733658E1
4.552750313E2,5.201907992E1,5.185956756E0,1.383932114E1,NaN,NaN,1.414000000E3,3.429733658E1
