"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-6.129166577E-4,-3.960763550E-1,-2.305206299E-1,9.828262024E0
9.337083320E-3,-4.004173279E-1,-1.972897339E-1,9.831555176E0
1.928708330E-2,-4.028123474E-1,-2.074685669E-1,9.853858795E0
2.923708328E-2,-4.086502075E-1,-1.860630798E-1,9.876611481E0
3.918808326E-2,-4.058061218E-1,-2.429447937E-1,9.880054321E0
4.913808336E-2,-4.167333984E-1,-1.740879822E-1,9.874216461E0
5.908808333E-2,-4.171824646E-1,-1.648072815E-1,9.865384827E0
6.903808331E-2,-4.216731262E-1,-1.442999268E-1,9.890831909E0
7.898808329E-2,-4.209246826E-1,-2.436932373E-1,9.893226929E0
8.893908327E-2,-4.156855774E-1,-2.537223816E-1,9.909992065E0
9.888908325E-2,-4.201762390E-1,-1.736389160E-1,9.869725800E0
1.088390833E-1,-4.188290405E-1,-1.562750244E-1,9.898615723E0
1.187890833E-1,-4.219725037E-1,-1.833686829E-1,9.888885956E0
1.287400833E-1,-4.194277954E-1,-2.559677124E-1,9.897567902E0
1.386900833E-1,-4.041595459E-1,-2.104623413E-1,9.912985840E0
1.486400833E-1,-4.013154602E-1,-1.956431580E-1,9.919422455E0
1.585900832E-1,-3.971241760E-1,-1.833686829E-1,9.898615723E0
1.685410833E-1,-4.032614136E-1,-1.957928467E-1,9.897268524E0
1.784910833E-1,-3.941304016E-1,-2.272274780E-1,9.912536774E0
1.884410833E-1,-4.008663940E-1,-1.802252197E-1,9.907297668E0
1.983910833E-1,-3.935316467E-1,-2.290237427E-1,9.893526306E0
2.083410833E-1,-4.034111023E-1,-1.799258423E-1,9.876910858E0
2.182920834E-1,-4.001179504E-1,-1.944456482E-1,9.902657318E0
2.282420833E-1,-4.114942932E-1,-2.342628479E-1,9.904902649E0
2.381920833E-1,-4.242178345E-1,-1.877096558E-1,9.897418213E0
2.481420833E-1,-4.293072510E-1,-2.189945984E-1,9.888137512E0
2.580930833E-1,-4.143383789E-1,-1.790277100E-1,9.914782104E0
2.680430833E-1,-4.209246826E-1,-2.475851440E-1,9.860894165E0
2.779930833E-1,-4.086502075E-1,-1.826202393E-1,9.861043854E0
2.879430833E-1,-4.043092346E-1,-2.160008240E-1,9.876312103E0
2.978940833E-1,-4.004173279E-1,-1.927990723E-1,9.886191559E0
3.078440833E-1,-3.954776001E-1,-2.282752991E-1,9.878707123E0
3.177940833E-1,-3.851490784E-1,-1.865121460E-1,9.871671753E0
3.277440832E-1,-3.890409851E-1,-1.856140137E-1,9.857451324E0
3.376950833E-1,-3.945794678E-1,-1.799258423E-1,9.883048096E0
3.476450833E-1,-3.942800903E-1,-2.326162720E-1,9.881102142E0
3.575950833E-1,-3.978726196E-1,-2.285746765E-1,9.856403503E0
3.675450833E-1,-4.028123474E-1,-1.893562317E-1,9.833052063E0
3.774950833E-1,-4.225712585E-1,-1.709445190E-1,9.834548950E0
3.874460832E-1,-4.104464722E-1,-1.806742859E-1,9.854756927E0
3.973960833E-1,-4.182302856E-1,-2.267784119E-1,9.814490662E0
4.073460833E-1,-4.149371338E-1,-1.805245972E-1,9.821825409E0
4.172960833E-1,-4.126918030E-1,-1.847158813E-1,9.818831635E0
4.272470833E-1,-4.044589233E-1,-1.886077881E-1,9.815089417E0
4.371970833E-1,-4.183799744E-1,-1.874102783E-1,9.810449066E0
4.471470834E-1,-3.999682617E-1,-1.954934692E-1,9.812095642E0
4.570970833E-1,-4.090992737E-1,-1.775308228E-1,9.831255798E0
4.670480833E-1,-4.049079895E-1,-1.924996948E-1,9.817634125E0
4.769980833E-1,-4.207749939E-1,-1.672023010E-1,9.817035370E0
4.869480833E-1,-4.087998962E-1,-1.886077881E-1,9.782756653E0
4.968980832E-1,-4.197271729E-1,-2.004331970E-1,9.797126770E0
5.068480833E-1,-4.239184570E-1,-1.908531189E-1,9.795779572E0
5.167990833E-1,-4.420307922E-1,-1.719923401E-1,9.778565369E0
5.267490833E-1,-4.276606750E-1,-1.558259583E-1,9.763297119E0
5.366990833E-1,-4.227209473E-1,-1.875599670E-1,9.773625641E0
5.466490833E-1,-4.105961609E-1,-2.044747925E-1,9.791887665E0
5.566000832E-1,-4.114942932E-1,-1.968406677E-1,9.778715057E0
5.665500833E-1,-4.002676392E-1,-1.811233521E-1,9.773475952E0
5.765000833E-1,-3.959266663E-1,-1.675016785E-1,9.784702606E0
5.864500833E-1,-4.032614136E-1,-2.068698120E-1,9.785900116E0
5.964010833E-1,-3.921844482E-1,-2.046244812E-1,9.799970856E0
6.063510833E-1,-3.899391174E-1,-1.845661926E-1,9.782457275E0
6.163010834E-1,-3.941304016E-1,-1.630110168E-1,9.791887665E0
6.262507916E-1,-4.065545654E-1,-1.972897339E-1,9.784702606E0
6.362017916E-1,-4.114942932E-1,-1.877096558E-1,9.795480194E0
6.461517917E-1,-4.013154602E-1,-1.746867371E-1,9.800419922E0
6.561017917E-1,-4.005670166E-1,-1.592687988E-1,9.793683929E0
6.660517916E-1,-4.065545654E-1,-2.097138977E-1,9.783804474E0
6.760027916E-1,-3.962260437E-1,-1.800755310E-1,9.814790039E0
6.859527916E-1,-4.123924255E-1,-1.799258423E-1,9.791139221E0
6.959027917E-1,-4.085005188E-1,-1.752854919E-1,9.782756653E0
7.058527917E-1,-4.089495850E-1,-1.829196167E-1,9.830657043E0
7.158027916E-1,-4.155358887E-1,-1.809736633E-1,9.835596771E0
7.257537916E-1,-4.249662781E-1,-1.535806274E-1,9.802814941E0
7.357037916E-1,-4.076023865E-1,-1.875599670E-1,9.818831635E0
7.456537916E-1,-4.129911804E-1,-1.842668152E-1,9.796378326E0
7.556037917E-1,-4.138893127E-1,-1.555265808E-1,9.874515839E0
7.655547917E-1,-4.113446045E-1,-2.186952209E-1,9.860744476E0
7.755047916E-1,-4.037104797E-1,-1.502874756E-1,9.852810974E0
7.854547916E-1,-3.999682617E-1,-2.118095398E-1,9.828411713E0
7.954047916E-1,-4.007167053E-1,-1.086740112E-1,9.902507629E0
8.053557916E-1,-4.173321533E-1,-2.240840149E-1,9.886790314E0
8.153057917E-1,-4.195774841E-1,-1.143621826E-1,9.887838135E0
8.252557917E-1,-4.138893127E-1,-2.133064270E-1,9.848020935E0
8.352057916E-1,-4.111949158E-1,-1.444496155E-1,9.858499146E0
8.451557916E-1,-4.258644104E-1,-1.416055298E-1,9.884095917E0
8.551067916E-1,-4.239184570E-1,-2.130070496E-1,9.906399536E0
8.650567917E-1,-4.239184570E-1,-1.797761536E-1,9.901010742E0
8.750067917E-1,-4.177812195E-1,-1.814227295E-1,9.899962921E0
8.849567916E-1,-4.221221924E-1,-1.257385254E-1,9.921069031E0
8.949077916E-1,-4.156855774E-1,-1.592687988E-1,9.944869537E0
9.048577916E-1,-3.929328918E-1,-1.892065430E-1,9.903256073E0
9.148077916E-1,-4.037104797E-1,-1.734892273E-1,9.918374634E0
9.247577917E-1,-3.999682617E-1,-1.721420288E-1,9.944570160E0
9.347087917E-1,-4.098477173E-1,-1.264869690E-1,9.966125336E0
9.446587916E-1,-4.162843323E-1,-2.089654541E-1,9.938432922E0
9.546087916E-1,-4.076023865E-1,-1.502874756E-1,9.943372650E0
9.645587916E-1,-4.105961609E-1,-1.874102783E-1,9.930649109E0
9.745097916E-1,-4.354444885E-1,-1.309776306E-1,9.968969421E0
9.844597917E-1,-4.296066284E-1,-1.619631958E-1,9.933792572E0
9.944097917E-1,-4.311035156E-1,-1.667532349E-1,9.940378876E0
1.004359792E0,-4.379891968E-1,-1.751358032E-1,9.916728058E0
1.014309792E0,-4.339476013E-1,-1.582209778E-1,9.935588837E0
1.024260792E0,-4.293072510E-1,-1.440005493E-1,9.936936035E0
1.034210792E0,-4.358935547E-1,-1.675016785E-1,9.936936035E0
1.044160792E0,-4.213737488E-1,-1.579216003E-1,9.938582611E0
1.054110792E0,-4.002676392E-1,-1.728904724E-1,9.936786346E0
1.064061792E0,-4.049079895E-1,-1.184037781E-1,9.929152222E0
1.074011792E0,-3.992198181E-1,-1.230441284E-1,9.935888214E0
1.083961792E0,-3.888912964E-1,-1.468446350E-1,9.929601288E0
1.093911792E0,-3.983216858E-1,-1.513352966E-1,9.906249847E0
1.103862792E0,-3.861968994E-1,-1.640588379E-1,9.897717590E0
1.113812792E0,-4.049079895E-1,-1.196012878E-1,9.900561676E0
1.123762792E0,-4.013154602E-1,-1.749861145E-1,9.866582336E0
1.133712792E0,-4.128414917E-1,-1.504371643E-1,9.887089691E0
1.143663792E0,-4.170327759E-1,-1.538800049E-1,9.859846344E0
1.153613792E0,-4.276606750E-1,-1.034349060E-1,9.871522064E0
1.163563792E0,-4.272116089E-1,-1.486408997E-1,9.848919067E0
1.173513792E0,-4.245172119E-1,-1.233435059E-1,9.837692413E0
