"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.116083331E-3,4.633425735E-3,-1.217648387E-4,1.243740786E-3
1.306608331E-2,2.626467496E-3,-1.654406078E-4,1.594478730E-3
2.301608329E-2,1.192915719E-3,-2.697094809E-3,8.007013239E-4
3.296608326E-2,1.385728363E-3,-3.907973878E-4,2.582622226E-3
4.291708325E-2,4.705165979E-3,-1.289178152E-3,-1.595900860E-3
5.286708334E-2,5.388000514E-3,-2.998136915E-4,-1.230781432E-3
6.281708332E-2,-1.781010069E-4,-9.247879498E-4,1.258436125E-3
7.276708330E-2,2.118875738E-3,-2.323480090E-3,3.031599335E-4
8.271708328E-2,5.450175144E-3,-2.134839306E-3,-1.045857556E-3
9.266808326E-2,6.544201635E-3,8.114156080E-4,8.641616441E-4
1.026180834E-1,3.853479866E-3,1.921916148E-3,1.980766421E-3
1.125680833E-1,3.028699663E-3,1.966923475E-3,2.906481037E-3
1.225180833E-1,4.168688320E-3,-2.612803597E-3,2.661482664E-3
1.324690833E-1,4.044584930E-3,1.839469187E-3,3.532602685E-3
1.424190833E-1,2.007363364E-3,-6.087544840E-3,-1.776054036E-3
1.523690833E-1,1.790315844E-3,-5.372504238E-4,1.241840422E-3
1.623190833E-1,1.760769635E-3,-2.029294148E-3,-8.552870713E-4
1.722700833E-1,1.811635680E-3,3.955627792E-3,-1.146636903E-3
1.822200833E-1,2.775690518E-4,-1.923941309E-3,1.207379624E-3
1.921700833E-1,1.728193369E-3,1.180771971E-3,3.669205587E-3
2.021200833E-1,1.748367213E-4,8.873375133E-3,8.767307736E-4
2.120700832E-1,9.998832829E-4,-4.655749537E-3,2.062636195E-3
2.220210833E-1,1.801175997E-3,-2.714674221E-3,1.850724220E-3
2.319710833E-1,-1.223376021E-3,-2.160964068E-4,4.778644070E-4
2.419210833E-1,4.453124944E-3,-3.934983164E-3,1.894182060E-3
2.518710833E-1,1.383298542E-3,-4.809955135E-5,5.626017228E-4
2.618220833E-1,3.180264030E-3,1.510164700E-3,-1.402142458E-3
2.717720832E-1,1.753875520E-3,1.018545125E-3,1.077074558E-6
2.817220833E-1,3.075744025E-3,-1.163915265E-3,1.534084324E-3
2.916720833E-1,1.706878655E-3,-2.489370527E-3,1.872838475E-3
3.016230833E-1,4.708941095E-3,-6.802678108E-3,8.739926852E-4
3.115730833E-1,1.791181974E-3,3.141033230E-3,2.635140903E-3
3.215230833E-1,3.720316105E-3,-1.232413342E-3,-2.495064400E-3
3.314730834E-1,1.986065879E-3,-2.585032955E-3,1.585097052E-4
3.414240833E-1,9.988537058E-4,1.140678301E-3,-4.137395881E-4
3.513740833E-1,3.613012843E-3,5.960619310E-4,7.854821160E-4
3.613240833E-1,1.193094999E-3,-1.656064531E-3,-1.267936546E-3
3.712740833E-1,4.309525713E-3,-6.498755887E-3,9.635263123E-4
3.812240832E-1,-1.742721070E-3,2.112345770E-3,3.566432511E-3
3.911750834E-1,3.409367055E-4,1.650820021E-3,1.581578515E-3
4.011250833E-1,5.588508211E-3,-6.149241701E-3,1.062451862E-3
4.110750833E-1,2.942923456E-3,4.428301938E-3,-9.660776705E-4
4.210250833E-1,1.579917036E-3,3.175432561E-3,1.773224212E-4
4.309760833E-1,1.875793561E-3,-1.926651457E-3,-2.471855842E-4
4.409260832E-1,3.812994808E-3,-1.193582313E-3,-5.523110740E-4
4.508760833E-1,3.409791738E-3,7.563842228E-4,2.834430663E-3
4.608260833E-1,3.779917024E-3,2.241242677E-3,1.454767305E-3
4.707770833E-1,1.690134406E-3,-2.229672158E-3,2.092061797E-3
4.807270833E-1,2.653029747E-3,-4.337930586E-4,-7.679765113E-4
4.906770833E-1,2.337710932E-3,7.217526436E-4,6.387052126E-4
5.006270834E-1,4.329873249E-3,-2.288524061E-3,1.907616854E-3
5.105770833E-1,3.095497377E-3,-4.099302460E-4,1.901444048E-4
5.205280833E-1,5.857518874E-3,-8.002440445E-4,-6.177229807E-5
5.304780833E-1,1.456645317E-3,-7.506506518E-5,1.562756021E-3
5.404280833E-1,2.094068564E-3,1.845930237E-4,-3.790757619E-4
5.503780833E-1,4.992919043E-3,-2.112117130E-3,1.891002757E-3
5.603290834E-1,3.809890710E-3,1.163720153E-4,3.592025023E-3
5.702790833E-1,3.208016045E-3,-3.625369165E-3,1.950985054E-3
5.802290833E-1,3.698474728E-3,-3.667834681E-4,-1.095662359E-3
5.901790833E-1,5.620477721E-3,3.303052625E-3,-6.821472198E-5
6.001300833E-1,5.485441536E-3,9.499855805E-4,1.473561861E-4
6.100800833E-1,3.151447512E-3,3.630989697E-3,6.810538471E-4
6.200300833E-1,2.766623162E-3,2.745226258E-3,-9.843613952E-4
6.299797916E-1,5.432181060E-3,-7.496399339E-4,-1.066653058E-3
6.399307917E-1,6.572937593E-3,1.962150913E-3,2.051662188E-3
6.498807917E-1,4.927637056E-3,-2.217036672E-5,6.467755884E-5
6.598307916E-1,2.947200090E-3,-1.230078051E-3,-2.214308828E-3
6.697807916E-1,6.221024320E-3,4.770653322E-5,6.765522994E-4
6.797317916E-1,5.006381311E-3,3.765968140E-3,1.538183074E-3
6.896817916E-1,5.740348250E-3,5.328711122E-3,1.031117048E-3
6.996317917E-1,4.121772014E-3,-1.501020277E-3,-8.070059121E-4
7.095817917E-1,6.614224054E-3,-2.543944865E-4,-4.272391088E-4
7.195317916E-1,2.972069196E-3,5.451165140E-3,1.715132268E-3
7.294827916E-1,1.765124500E-3,8.729246911E-4,1.204604283E-3
7.394327916E-1,5.514631979E-3,-7.310166955E-3,2.209276427E-3
7.493827917E-1,6.624105386E-3,-5.183080211E-4,1.919790637E-3
7.593327917E-1,6.557861343E-3,3.396048211E-3,2.388404682E-4
7.692837917E-1,4.516015761E-3,2.471931279E-3,1.552980393E-6
7.792337916E-1,3.820616752E-3,-4.068198614E-3,2.622074448E-3
7.891837916E-1,4.287469201E-3,2.262934344E-3,2.659759484E-4
7.991337916E-1,7.048268802E-3,1.349633210E-3,4.171761684E-4
8.090847917E-1,2.211169340E-3,1.778423321E-4,1.820662059E-3
8.190347917E-1,3.752333112E-3,-1.691009384E-3,1.912114909E-3
8.289847916E-1,2.847656608E-3,1.471219771E-2,1.360041555E-3
8.389347916E-1,5.940301344E-3,-8.577998728E-3,1.552021131E-3
8.488847916E-1,3.372766078E-4,-9.927156381E-3,1.663784496E-4
8.588357916E-1,7.597023621E-3,1.076186169E-2,1.481026411E-3
8.687857917E-1,3.051007167E-3,3.139095847E-3,-8.566961624E-4
8.787357917E-1,1.202909276E-3,-5.724855233E-3,8.061486296E-4
8.886857916E-1,4.120136611E-3,-5.689967889E-3,-1.222914085E-3
8.986367916E-1,6.860724650E-3,2.764676930E-3,-1.381472684E-4
9.085867916E-1,4.541377537E-3,-1.032191794E-3,1.849103719E-3
