"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.110666667E-3,9.476202339E-2,-1.243006951E-1,-1.399867281E0
1.906066667E-2,-3.918181202E-1,-1.279493576E-1,-1.018283835E0
2.901066667E-2,-4.016198078E-1,-3.032249093E-2,-7.330800444E-1
3.896066667E-2,-3.577285606E-1,1.358015835E-2,-5.777505147E-1
4.891066667E-2,-3.919458818E-1,5.815172911E-2,-4.503151274E-1
5.886066667E-2,-4.537684929E-1,7.068114281E-3,-3.248888433E-1
6.881066667E-2,-7.827100414E-1,-8.968342423E-2,-8.329943419E-2
7.876066667E-2,-9.617699111E-1,-1.018625897E-1,9.811803281E-2
8.871066667E-2,-4.077599689E-1,-2.528271729E-1,-1.449998385E-1
9.866066667E-2,3.460893854E-1,-2.758979470E-1,-4.535878140E-1
1.086106667E-1,6.878810674E-1,-1.458459306E-1,-6.035531080E-1
1.185606667E-1,5.740819716E-1,-9.154751658E-2,-5.430741870E-1
1.285106667E-1,2.513963592E-1,-4.130239248E-2,-4.179683304E-1
1.384606667E-1,-2.425746650E-2,6.231962442E-2,-5.129627806E-1
1.484106667E-1,-1.744513866E-1,1.147252947E-1,-6.281020582E-1
1.583606667E-1,-2.144141820E-1,5.471824408E-2,-5.141632140E-1
1.683106667E-1,-2.483955681E-1,5.577074289E-3,-2.599011344E-1
1.782606667E-1,-3.056330851E-1,4.066387653E-2,-1.716742516E-3
1.882106667E-1,-3.839895755E-1,6.644717395E-2,2.531201184E-1
1.981606667E-1,-3.659427291E-1,1.976943612E-2,3.019537246E-1
2.081106667E-1,-1.950232069E-1,-8.341345489E-2,2.443557268E-1
2.180606667E-1,-4.137475178E-2,-1.452220327E-1,-2.110377073E-2
2.280106667E-1,3.075196892E-3,-1.541840601E-1,-3.318417674E-1
2.379606667E-1,-7.156991959E-3,-1.536548871E-1,-3.933667552E-1
2.479106667E-1,4.372971788E-2,-1.282452267E-1,-2.705003822E-1
2.578606667E-1,1.043454637E-1,-1.782932997E-2,-1.960173798E-1
2.678106667E-1,1.209951179E-1,6.897375584E-2,-2.023803198E-1
2.777606667E-1,1.014247794E-1,8.085588276E-2,-6.334814966E-2
2.877106667E-1,-6.732264832E-3,5.006678402E-2,1.539285368E-1
2.976606667E-1,-1.598511084E-1,4.176490724E-2,2.345791823E-1
3.076106667E-1,-3.055480081E-1,9.444305778E-2,7.529693484E-2
3.175606667E-1,-6.197026060E-1,1.653721225E-1,-3.924130744E-1
3.275106667E-1,-1.122942417E0,2.316427106E-1,-1.050914222E0
3.374606667E-1,-1.019493259E0,3.231335092E-1,-1.459958532E0
3.474106667E-1,-8.035716643E-1,3.940005934E-1,-1.829743466E0
3.573606667E-1,-5.890936015E-1,3.814781964E-1,-2.251334732E0
3.673106667E-1,-2.364625704E-1,2.881484485E-1,-2.338791536E0
3.772606667E-1,-3.465988241E-2,5.457557201E-2,-1.841979350E0
3.872106667E-1,-1.547646521E-1,-2.232121950E-1,-1.088895396E0
3.971596667E-1,-4.423697846E-1,-4.771468306E-1,-3.315716261E-1
4.071096667E-1,-5.677813044E-1,-7.002929521E-1,4.009973717E-1
4.170606667E-1,-4.761854021E-1,-8.770925805E-1,8.196088958E-1
4.270096667E-1,7.120942960E-2,-7.956011054E-1,1.375980236E0
4.369596667E-1,6.057548039E-1,-5.924583086E-1,2.053504130E0
