"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.550708156E-3,2.078128510E0,2.479443970E0,9.322613525E0
1.558170817E-2,1.940564575E0,2.617157593E0,9.201964417E0
2.561170817E-2,1.801653442E0,2.750081177E0,9.043444061E0
3.564270819E-2,1.634301453E0,2.857557678E0,8.884923706E0
4.567370820E-2,1.466500397E0,2.951262817E0,8.833430786E0
5.570470821E-2,1.335822144E0,3.084336090E0,8.848998413E0
6.573570822E-2,1.283580780E0,3.258424072E0,8.914861450E0
7.576570823E-2,1.279090118E0,3.404669952E0,8.902886353E0
8.579670824E-2,1.242715759E0,3.520079956E0,8.886420593E0
9.582770825E-2,1.131946106E0,3.680097198E0,8.842262421E0
1.058587083E-1,9.500743103E-1,3.825444946E0,8.789122925E0
1.158887083E-1,7.273374939E-1,3.947141876E0,8.743318176E0
1.259197083E-1,5.279521179E-1,4.038751373E0,8.769962769E0
1.359507083E-1,4.137396240E-1,4.145479431E0,8.846753082E0
1.459817083E-1,3.629951477E-1,4.224964142E0,8.885073395E0
1.560127083E-1,3.872447205E-1,4.343068542E0,8.900491333E0
1.660427083E-1,3.826043701E-1,4.405937805E0,8.899593201E0
1.760737083E-1,3.393443298E-1,4.432133331E0,8.884474640E0
1.861047081E-1,3.393443298E-1,4.463717651E0,8.883277130E0
1.961357081E-1,4.052073669E-1,4.526586914E0,8.897048492E0
2.061657081E-1,4.375401306E-1,4.580175476E0,8.913663940E0
2.161967081E-1,4.483177185E-1,4.617597656E0,8.893605652E0
2.262277082E-1,4.017645264E-1,4.646786957E0,8.848399658E0
2.362587082E-1,3.414399719E-1,4.658163300E0,8.762777710E0
2.462897082E-1,2.703378296E-1,4.683011627E0,8.725355530E0
2.563197082E-1,1.502874756E-1,4.697681122E0,8.675808563E0
2.663507082E-1,-5.987548828E-4,4.722828827E0,8.580756226E0
2.763817082E-1,-7.559280396E-2,4.750371552E0,8.491392059E0
2.864127082E-1,-7.259902954E-2,4.814737701E0,8.414751434E0
2.964427082E-1,-1.407073975E-2,4.845872955E0,8.311615906E0
3.064737082E-1,-2.993774414E-2,4.806504822E0,8.165669403E0
3.165047083E-1,-7.035369873E-3,4.783303070E0,8.078400879E0
3.265357083E-1,-5.688171387E-3,4.747826843E0,7.930209045E0
3.365667083E-1,2.020797729E-2,4.771777039E0,7.851921844E0
3.465967083E-1,5.358856201E-2,4.803211670E0,7.825426941E0
3.566277083E-1,1.230441284E-1,4.815635834E0,7.911048889E0
3.666587083E-1,1.802252197E-1,4.828808441E0,8.030949554E0
3.766897083E-1,2.644999695E-1,4.832700348E0,8.173453217E0
3.867197083E-1,2.794688416E-1,4.808001709E0,8.228089600E0
3.967507083E-1,3.454815674E-1,4.764292603E0,8.205486603E0
4.067817081E-1,3.327580261E-1,4.711602173E0,8.187074890E0
4.168127081E-1,2.830613708E-1,4.666396179E0,8.187374268E0
4.268437081E-1,1.487905884E-1,4.616699524E0,8.143814850E0
4.368737082E-1,4.400848389E-2,4.621938629E0,8.109536133E0
4.469047082E-1,-3.622467041E-2,4.656367035E0,8.051157532E0
4.569357082E-1,-8.951385498E-2,4.703518982E0,8.007897491E0
4.669667082E-1,-1.239422607E-1,4.734953613E0,8.004155273E0
4.769967082E-1,-1.788780212E-1,4.711751862E0,8.106093292E0
4.870277082E-1,-1.853146362E-1,4.665048981E0,8.268804932E0
4.970587082E-1,-9.220825195E-2,4.646637268E0,8.408464508E0
5.070897082E-1,3.487747192E-2,4.643942871E0,8.483907623E0
5.171207082E-1,9.939331055E-2,4.603826294E0,8.420888672E0
5.271507083E-1,1.070274353E-1,4.579277344E0,8.316405945E0
5.371817083E-1,7.304809570E-2,4.549788666E0,8.208630066E0
5.472127083E-1,8.128097534E-2,4.539160767E0,8.136929169E0
5.572437083E-1,1.297801208E-1,4.521946564E0,8.165370026E0
5.672737083E-1,2.179467773E-1,4.522245941E0,8.231532440E0
5.773047083E-1,2.763253784E-1,4.473297729E0,8.272996216E0
5.873357083E-1,3.673361206E-1,4.453987885E0,8.278235321E0
5.973667083E-1,3.644920349E-1,4.423451385E0,8.260721741E0
6.073977083E-1,3.420387268E-1,4.385729828E0,8.199798431E0
6.174277081E-1,2.508782959E-1,4.359534302E0,8.161029053E0
6.274587081E-1,1.692979431E-1,4.313130798E0,8.133186951E0
6.374897081E-1,1.508862305E-1,4.228107605E0,8.210126953E0
6.475207082E-1,2.369572449E-1,4.119134216E0,8.356372833E0
6.575507082E-1,3.279679871E-1,4.012855225E0,8.458610229E0
6.675817082E-1,4.334985352E-1,3.888164520E0,8.612939301E0
6.776127082E-1,5.141807556E-1,3.774700470E0,8.759185181E0
6.876437082E-1,5.408253479E-1,3.617527313E0,8.865164795E0
6.976747082E-1,6.267466736E-1,3.539539490E0,9.062304840E0
7.077053331E-1,7.777825928E-1,3.444187775E0,9.261241150E0
7.177363331E-1,9.720785522E-1,3.344944153E0,9.427994385E0
7.277673332E-1,1.073866882E0,3.223396912E0,9.543703766E0
7.377983332E-1,1.073118439E0,3.132835236E0,9.596992950E0
7.478283332E-1,1.043031006E0,3.067121887E0,9.636810150E0
7.578593332E-1,1.000519409E0,3.005599823E0,9.611961823E0
7.678903332E-1,9.195378113E-1,2.941383362E0,9.632020111E0
7.779213332E-1,8.581654358E-1,2.897973633E0,9.681866455E0
7.879523332E-1,8.339158630E-1,2.814746704E0,9.677525482E0
7.979823332E-1,8.565188599E-1,2.698887634E0,9.669741669E0
8.080133332E-1,9.623487854E-1,2.618504791E0,9.693542175E0
8.180443333E-1,1.171613617E0,2.575843506E0,9.692644043E0
8.280753333E-1,1.308878174E0,2.529889069E0,9.684560852E0
8.381053333E-1,1.437161407E0,2.543510742E0,9.689201202E0
8.481363333E-1,1.467847595E0,2.565964050E0,9.668544159E0
8.581673333E-1,1.456920319E0,2.584226074E0,9.663005676E0
8.681983333E-1,1.364263000E0,2.601739655E0,9.754166107E0
8.782293333E-1,1.267414398E0,2.606679382E0,9.812844086E0
8.882593333E-1,1.156644745E0,2.640658722E0,9.817484436E0
8.982903333E-1,1.080303497E0,2.683469696E0,9.819430389E0
9.083213331E-1,9.708810425E-1,2.714305573E0,9.801018677E0
9.183523331E-1,8.411009216E-1,2.741249542E0,9.756561127E0
