"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.296708154E-3,5.577774644E-1,-2.652494609E-1,-1.026210070E0
1.432770817E-2,5.592359900E-1,-2.377052903E-1,-1.071197271E0
2.435770817E-2,5.523986220E-1,-2.256134748E-1,-1.105440736E0
3.438870818E-2,5.379329324E-1,-2.055249959E-1,-1.128135920E0
4.441970820E-2,5.219404101E-1,-1.679954678E-1,-1.123723030E0
5.445070821E-2,5.082308054E-1,-1.068384051E-1,-1.105172634E0
6.448170822E-2,5.083711743E-1,-4.493588954E-2,-1.084952593E0
7.451170823E-2,5.038815737E-1,3.319012932E-3,-1.054755330E0
8.454270824E-2,4.934912324E-1,3.310753778E-2,-1.029641509E0
9.457370825E-2,4.662538767E-1,4.737341404E-2,-1.013768673E0
1.046047083E-1,4.221830666E-1,5.093486235E-2,-9.967672825E-1
1.146347083E-1,3.689765632E-1,5.257099494E-2,-9.682823420E-1
1.246657083E-1,3.106570542E-1,6.552940607E-2,-9.375358820E-1
1.346967083E-1,2.669004202E-1,8.150489628E-2,-8.973076344E-1
1.447277083E-1,2.368938029E-1,7.563022524E-2,-8.557522297E-1
1.547587083E-1,2.255751938E-1,4.676907137E-2,-8.217258453E-1
1.647887083E-1,2.279499322E-1,6.138820201E-3,-7.935626507E-1
1.748197083E-1,2.400004417E-1,-3.211929649E-2,-7.650160193E-1
1.848507081E-1,2.605664432E-1,-6.348866969E-2,-7.384528518E-1
1.948817081E-1,2.860545814E-1,-8.509200811E-2,-7.154139280E-1
2.049117081E-1,3.172439337E-1,-9.274673462E-2,-6.993097663E-1
2.149427081E-1,3.487222791E-1,-6.967016309E-2,-6.856616139E-1
2.249737082E-1,3.704571426E-1,-3.532497212E-2,-6.711436510E-1
2.350047082E-1,3.821953237E-1,1.284084190E-2,-6.469070315E-1
2.450357082E-1,3.924285471E-1,7.431964576E-2,-6.203243732E-1
2.550657082E-1,4.005976021E-1,1.414912790E-1,-5.860772133E-1
2.650967082E-1,4.024519622E-1,1.946631521E-1,-5.403797626E-1
2.751277082E-1,4.018011689E-1,2.195913047E-1,-4.785808623E-1
2.851587082E-1,3.964383900E-1,2.092174888E-1,-4.255325496E-1
2.951887082E-1,3.831571937E-1,1.695369184E-1,-3.749338090E-1
3.052197082E-1,3.557963967E-1,1.192492545E-1,-3.263092935E-1
3.152507083E-1,3.158935308E-1,6.611581892E-2,-2.827707231E-1
3.252817083E-1,2.594363987E-1,1.120250300E-2,-2.477283180E-1
3.353127083E-1,1.918693334E-1,-2.866522595E-2,-2.176509202E-1
3.453427083E-1,1.191357300E-1,-3.562459722E-2,-1.962548196E-1
3.553737083E-1,5.322639644E-2,2.889721072E-4,-1.850865334E-1
3.654047083E-1,5.780998617E-4,8.151245862E-2,-1.815804839E-1
3.754357083E-1,-3.676342964E-2,1.703830361E-1,-1.796142012E-1
3.854657083E-1,-6.487895548E-2,2.298237234E-1,-1.714433581E-1
3.954967083E-1,-8.670457453E-2,2.509673238E-1,-1.702911705E-1
4.055277081E-1,-1.048593447E-1,2.456031889E-1,-1.850504130E-1
4.155587081E-1,-1.196233705E-1,2.128822654E-1,-1.991292238E-1
4.255897081E-1,-1.334707439E-1,1.621557027E-1,-2.020967752E-1
4.356197082E-1,-1.487666368E-1,8.709660172E-2,-1.904549003E-1
4.456507082E-1,-1.637343913E-1,7.625747472E-3,-1.675826013E-1
4.556817082E-1,-1.823901385E-1,-7.572530955E-2,-1.377577037E-1
4.657127082E-1,-2.034096718E-1,-1.218648404E-1,-1.109774858E-1
4.757427082E-1,-2.194357216E-1,-1.101900637E-1,-7.807523012E-2
4.857737082E-1,-2.259237170E-1,-5.590524897E-2,-3.167151287E-2
4.958047082E-1,-2.217187732E-1,1.741052722E-3,1.245439425E-2
5.058357082E-1,-2.075715363E-1,4.146583006E-2,4.258406535E-2
5.158667082E-1,-2.065432966E-1,2.974072844E-2,6.469735503E-2
5.258967082E-1,-2.212551236E-1,-2.706103586E-2,8.394002914E-2
5.359277083E-1,-2.550389767E-1,-1.136101559E-1,9.393655509E-2
5.459587083E-1,-3.022224605E-1,-1.871544123E-1,9.819415212E-2
5.559897083E-1,-3.523627818E-1,-2.287313938E-1,9.818655252E-2
5.660197083E-1,-4.014728069E-1,-2.387091964E-1,9.686189890E-2
5.760507083E-1,-4.565983415E-1,-2.356055826E-1,9.500018507E-2
5.860817083E-1,-5.185005665E-1,-2.437761575E-1,9.275114536E-2
5.961127083E-1,-5.860547423E-1,-2.697505057E-1,8.730238676E-2
6.061437083E-1,-6.597827673E-1,-3.230153024E-1,8.481766284E-2
6.161737083E-1,-7.360723019E-1,-3.910888135E-1,9.549718350E-2
6.262047081E-1,-8.136124015E-1,-4.549226761E-1,1.165910140E-1
6.362357081E-1,-8.745472431E-1,-4.841559231E-1,1.343584508E-1
6.462667082E-1,-9.162626863E-1,-4.753887951E-1,1.530748755E-1
6.562967082E-1,-9.348263741E-1,-4.352401197E-1,1.765682399E-1
6.663277082E-1,-9.253417850E-1,-3.668016791E-1,1.999915391E-1
6.763587082E-1,-8.870152831E-1,-2.836841047E-1,2.355246097E-1
6.863897082E-1,-8.259794116E-1,-2.019817829E-1,2.849283814E-1
6.964207082E-1,-7.396468520E-1,-1.203208268E-1,3.345024884E-1
7.064513331E-1,-6.359462738E-1,-3.962811455E-2,3.816447258E-1
7.164823331E-1,-5.230818987E-1,4.798173532E-2,4.135975540E-1
7.265133332E-1,-4.192385972E-1,1.407830417E-1,4.388850629E-1
7.365443332E-1,-3.342801034E-1,2.285467535E-1,4.624123275E-1
7.465743332E-1,-2.767806053E-1,2.769611776E-1,4.847109616E-1
7.566053332E-1,-2.483633906E-1,3.014118075E-1,4.954914153E-1
7.666363332E-1,-2.378225923E-1,3.079203069E-1,5.004411340E-1
