"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.296708154E-3,6.579213962E-1,-8.101551175E-1,1.779296029E-1
1.432770817E-2,5.815564674E-1,-6.795739281E-1,1.279324007E-1
2.435770817E-2,4.521745420E-1,-6.211087883E-1,1.622251511E-2
3.438870818E-2,3.256083432E-1,-5.629681689E-1,-1.329797173E-1
4.441970820E-2,1.756246305E-1,-5.282909641E-1,-2.347698015E-1
5.445070821E-2,4.246554986E-2,-4.866310143E-1,-2.290950787E-1
6.448170822E-2,-2.818518743E-2,-3.958459747E-1,-1.751118296E-1
7.451170823E-2,-1.727764517E-2,-2.778573489E-1,-1.203076315E-1
8.454270824E-2,3.988385797E-3,-2.148322579E-1,-1.072730184E-1
9.457370825E-2,-1.101820081E-2,-1.372215798E-1,-1.169250172E-1
1.046047083E-1,-1.090143192E-1,-3.157262564E-2,-1.569129556E-1
1.146347083E-1,-2.605448397E-1,6.186383396E-2,-1.964559209E-1
1.246657083E-1,-4.566442267E-1,1.219770116E-1,-2.111160600E-1
1.346967083E-1,-5.767269596E-1,1.864434412E-1,-1.427527535E-1
1.447277083E-1,-6.320512676E-1,2.437829921E-1,-6.263771296E-2
1.547587083E-1,-6.082013521E-1,3.185194713E-1,-3.602937341E-2
1.647887083E-1,-5.496370288E-1,3.876478860E-1,-9.462549090E-3
1.748197083E-1,-5.368174470E-1,4.065294224E-1,-1.044254243E-2
1.848507081E-1,-5.498695287E-1,3.960295773E-1,-1.325680733E-2
1.948817081E-1,-4.946530288E-1,4.074532825E-1,2.286261320E-3
2.049117081E-1,-4.161967702E-1,4.506592360E-1,2.654226601E-2
2.149427081E-1,-3.654631113E-1,4.585500535E-1,5.484278977E-2
2.249737082E-1,-3.588811930E-1,4.455937931E-1,3.528502285E-2
2.350047082E-1,-3.786536258E-1,4.359493956E-1,-1.597517788E-2
2.450357082E-1,-4.318142447E-1,4.107601753E-1,-6.478422582E-2
