"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.702780294E1,5.230302311E1,4.745505860E0,5.450808048E0,NaN,NaN,9.462000000E3,7.048238373E1
6.127413297E1,5.230302311E1,4.745505841E0,5.450808048E0,NaN,NaN,9.466570553E3,7.048238373E1
6.128968799E1,5.230302311E1,4.745505841E0,5.450808048E0,NaN,NaN,9.466570561E3,7.048238373E1
6.177051401E1,5.229777038E1,4.733669194E0,5.450808048E0,NaN,NaN,1.414000000E3,7.048238373E1
6.781683695E1,5.229771134E1,4.733536141E0,5.450808048E0,NaN,NaN,1.414000000E3,7.048238373E1
7.064726996E1,5.229708207E1,4.733311465E0,5.450808048E0,NaN,NaN,1.414000000E3,7.048238373E1
7.065268695E1,5.229676872E1,4.733199976E0,5.450808048E0,NaN,NaN,1.414000000E3,7.048238373E1
7.426098800E1,5.229721068E1,4.733301807E0,5.450808048E0,NaN,NaN,1.414000000E3,7.048238373E1
7.427623999E1,5.229743194E1,4.733353456E0,5.450808048E0,NaN,NaN,1.414000000E3,7.048238373E1
7.630884695E1,5.229800464E1,4.728851255E0,5.450808048E0,NaN,NaN,1.415430645E3,7.048238373E1
7.632120204E1,5.229838639E1,4.725851990E0,5.450808048E0,NaN,NaN,1.415430699E3,7.048238373E1
7.645742297E1,5.229864078E1,4.723853212E0,5.450808048E0,NaN,NaN,1.415437344E3,7.048238373E1
7.648083794E1,5.229881024E1,4.722521826E0,5.450808048E0,NaN,NaN,1.415437541E3,7.048238373E1
7.648607194E1,5.229892315E1,4.721634808E0,5.450808048E0,NaN,NaN,1.415437551E3,7.048238373E1
1.062293930E2,5.229837626E1,4.721391697E0,5.450808048E0,NaN,NaN,1.464052241E3,7.048238373E1
1.153956699E2,5.229837452E1,4.721390920E0,5.450808048E0,NaN,NaN,1.464900796E3,7.048238373E1
1.154021610E2,5.229837452E1,4.721390920E0,5.450808048E0,NaN,NaN,1.464900796E3,7.048238373E1
1.162327989E2,5.229934593E1,4.714986624E0,5.450808048E0,NaN,NaN,1.414000000E3,7.048238373E1
1.259769360E2,5.229980022E1,4.711991572E0,5.450808048E0,NaN,NaN,1.414000000E3,7.048238373E1
1.397777730E2,5.229980637E1,4.711951016E0,5.450808048E0,NaN,NaN,1.449831305E3,7.048238373E1
1.397829140E2,5.229980637E1,4.711951002E0,5.450808048E0,NaN,NaN,1.449831312E3,7.048238373E1
1.403156230E2,5.229896879E1,4.707297862E0,5.450808048E0,NaN,NaN,1.414000000E3,7.048238373E1
