"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-4.338333333E-4,7.648158073E-3,9.133826849E-2,-9.273976386E-2
9.505166667E-3,1.535812122E-1,4.416414773E-2,3.350279152E-2
1.944416667E-2,6.318091929E-2,-3.462123140E-2,2.715622365E-1
2.938316667E-2,-5.604848564E-2,1.721501966E-1,1.701750255E-1
3.932216667E-2,-5.163851559E-2,1.354631394E-1,-2.288378012E-1
4.926216667E-2,-9.632059872E-2,-2.992699075E-2,-1.567240906E-1
5.920116667E-2,3.791334629E-2,1.948533270E-1,-2.386774957E-2
6.914016667E-2,1.264290816E-1,1.103124102E-1,3.209302783E-2
7.907916667E-2,-1.420581043E-1,-3.322221197E-2,2.757839262E-2
8.901816667E-2,-6.530170441E-2,1.288375314E-1,-1.166385037E-1
9.895716667E-2,-1.648505509E-2,7.911231615E-2,-8.543951511E-3
1.088961667E-1,-5.325059295E-2,1.068025002E-1,6.805574298E-3
1.188361667E-1,-7.168686390E-2,7.334348973E-2,-1.044996840E-1
1.287751667E-1,-1.152930593E-1,5.197743483E-2,-1.030279398E-1
1.387141667E-1,6.102738976E-3,1.798046953E-1,-8.406366527E-2
1.486531667E-1,5.004748821E-2,1.830917441E-1,-4.625206053E-2
1.585921667E-1,-6.865332842E-2,4.913360038E-2,-2.114470124E-2
1.685311667E-1,-5.620636046E-2,6.044719522E-2,-4.781911433E-2
1.784715417E-1,-4.967151225E-2,8.627151908E-2,-5.022465885E-2
1.884105417E-1,1.613831520E-4,2.235955166E-2,-4.381201744E-2
1.983495417E-1,-1.512265384E-2,1.848101677E-1,-5.067314029E-2
2.082885417E-1,-1.894497871E-3,1.305118908E-1,-5.834644139E-2
2.182275417E-1,-7.510456145E-2,1.773381935E-2,7.596702576E-3
2.281665417E-1,4.732736349E-2,1.073678803E-1,-3.571830153E-2
2.381055417E-1,1.486011386E-2,4.447221834E-2,-2.966935694E-2
2.480455417E-1,-1.400817454E-2,-3.733716714E-3,1.390058577E-2
2.579845417E-1,1.696043372E-2,1.494100461E-1,1.664117575E-3
2.679235417E-1,-5.677646399E-3,6.253602622E-2,-1.943497539E-2
2.778625417E-1,-1.279078424E-1,-1.427551678E-2,-4.186138630E-2
2.878015417E-1,3.805952668E-3,1.411695742E-1,-9.087859511E-2
2.977405417E-1,1.077530748E-1,1.275833859E-1,2.016003013E-2
3.076795417E-1,4.784484208E-2,5.185554779E-2,1.025847208E-1
3.176195417E-1,3.022776604E-2,3.050412007E-2,6.993445337E-2
3.275585417E-1,8.520562649E-3,7.978390541E-2,5.416041970E-2
3.374975417E-1,-9.612237811E-3,1.726092213E-1,-3.182054758E-2
3.474365417E-1,-4.657716572E-2,1.240500871E-1,-8.373622119E-2
3.573755417E-1,-8.431334138E-2,5.912314806E-2,-3.468568325E-2
