"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
-4.338333333E-4,-3.208938986E-2,-3.665763885E-2,1.074268762E-2
9.505166667E-3,2.812867612E-2,1.827937923E-2,1.939075999E-3
1.944416667E-2,4.043514282E-2,2.736874856E-2,4.803571850E-3
2.938316667E-2,-6.645281799E-3,6.794497371E-3,1.689537428E-3
3.932216667E-2,-2.713324688E-2,-4.625136964E-3,5.177464336E-4
4.926216667E-2,4.421882331E-4,-1.022922620E-2,6.112515461E-3
5.920116667E-2,1.053290628E-2,-9.173816070E-3,2.919385210E-3
6.914016667E-2,-1.929623075E-3,-5.132469349E-3,1.804053783E-3
7.907916667E-2,-5.953392945E-3,1.451663906E-3,3.812609240E-3
8.901816667E-2,1.677362248E-3,2.537434688E-3,4.661891609E-3
9.895716667E-2,5.650267005E-3,2.357404912E-3,5.660310853E-3
1.088961667E-1,-1.082737930E-3,7.806232665E-3,4.480264150E-3
1.188361667E-1,-2.059585415E-3,7.613685913E-3,5.988678429E-3
1.287751667E-1,4.395650700E-3,3.142277710E-4,5.978292320E-3
1.387141667E-1,3.589246422E-3,2.733177040E-3,5.970036611E-3
1.486531667E-1,-1.006837934E-3,8.188396692E-3,5.541267339E-3
1.585921667E-1,8.192919195E-4,7.868018001E-3,4.047234543E-3
1.685311667E-1,5.888884887E-3,2.529178746E-3,3.950827755E-3
1.784715417E-1,2.894161269E-3,-8.619612083E-3,8.213473484E-4
1.884105417E-1,8.999854326E-4,-8.011613041E-3,6.132223178E-3
1.983495417E-1,-5.151248537E-3,-4.044834059E-3,2.124697901E-3
2.082885417E-1,-4.832604900E-4,-1.446654322E-3,5.309039727E-3
2.182275417E-1,-1.388202421E-3,-1.039274409E-2,2.315380611E-3
2.281665417E-1,-4.283058457E-3,-1.163590886E-2,2.894617617E-3
2.381055417E-1,1.246463507E-3,-1.240769215E-2,-3.747038543E-3
2.480455417E-1,2.975121140E-3,-1.472038217E-2,3.554016352E-3
2.579845417E-1,1.436613500E-3,-1.285190880E-2,-2.133696340E-3
2.679235417E-1,-5.042858422E-3,-9.820431471E-3,-8.218232542E-4
2.778625417E-1,-8.771419525E-4,-5.869365763E-3,6.632630713E-3
2.878015417E-1,3.769274801E-3,-1.002283208E-2,5.523158237E-3
2.977405417E-1,1.014767215E-3,-8.211616427E-3,4.065077752E-3
3.076795417E-1,-3.229511902E-3,-8.219338953E-3,4.797180183E-3
3.176195417E-1,-2.559727058E-3,2.070848830E-3,7.675791159E-3
3.275585417E-1,-4.750043154E-4,8.500251919E-3,8.372740820E-3
3.374975417E-1,-1.227483153E-6,8.710641414E-3,6.719450001E-3
3.474365417E-1,-1.848396845E-3,6.246685516E-3,1.183405053E-2
3.573755417E-1,-3.269192763E-3,-5.238196813E-3,9.050248191E-3
3.673145417E-1,1.376958564E-3,-1.127638109E-2,7.923198864E-3
3.772545417E-1,2.776049078E-4,-4.820574541E-4,7.491766475E-3
3.871935417E-1,1.067232341E-3,8.747659624E-3,7.800693158E-3
3.971325417E-1,-1.086998731E-3,1.038710214E-2,1.203751657E-2
4.070715417E-1,-3.203678876E-3,6.685840432E-3,8.589255624E-3
4.170105417E-1,-3.708081320E-3,3.004286904E-3,5.704785697E-3
4.269495417E-1,2.521317452E-3,-4.140708130E-3,6.982037798E-3
4.368895417E-1,-2.707391977E-4,-1.236854494E-2,5.921566859E-3
4.468285417E-1,-2.543747425E-3,-1.116506197E-2,8.301367983E-3
4.567675417E-1,-6.383759901E-3,-1.591530396E-3,7.625990082E-3
4.667065417E-1,-9.013758972E-4,2.807745477E-3,5.679751746E-3
4.766455417E-1,2.249144018E-3,-1.461834414E-3,4.659228493E-3
4.865845417E-1,-5.817972124E-4,-8.648375049E-3,5.665104371E-3
4.965235417E-1,-4.595447332E-3,-6.451266352E-3,4.501026124E-4
5.064635417E-1,-3.701157868E-3,-4.421100020E-4,3.833382390E-3
5.164025417E-1,2.453673631E-3,5.094374064E-4,1.796330325E-3
5.263415417E-1,-3.636842594E-4,-3.001407720E-3,3.791837022E-3
5.362805417E-1,-1.860646531E-3,2.707610605E-3,3.358442336E-5
