"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.329833333E-3,5.633535004E0,7.948471069E-2,7.956404572E0
8.609166667E-3,5.773793335E0,2.694396973E-3,8.111482086E0
1.854816667E-2,5.638624420E0,-2.844085693E-2,8.342900848E0
2.848716667E-2,5.552254028E0,1.683998108E-1,8.164172516E0
3.842616667E-2,5.545667725E0,9.789642334E-2,7.807763672E0
4.836616667E-2,5.510490875E0,-3.981719971E-2,7.914042664E0
5.830516667E-2,5.673202515E0,2.100132751E-1,8.039781189E0
6.824416667E-2,5.708379364E0,5.403762817E-2,8.085735626E0
7.818316667E-2,5.445675659E0,-2.559677124E-2,8.065228271E0
8.812216667E-2,5.564528503E0,1.130149841E-1,7.924520874E0
9.806116667E-2,5.578449554E0,6.855743408E-2,8.065677338E0
1.080001667E-1,5.552254028E0,9.205856323E-2,8.037236481E0
1.179401667E-1,5.524711304E0,5.478607178E-2,7.946225739E0
1.278791667E-1,5.498665466E0,4.311035156E-2,7.947123871E0
1.378181667E-1,5.628744965E0,1.847158813E-1,7.972121887E0
1.477571667E-1,5.643115082E0,1.522334290E-1,8.010292511E0
1.576961667E-1,5.528303833E0,2.844085693E-2,8.029003601E0
1.676351667E-1,5.547463989E0,5.508544922E-2,7.999365234E0
1.775755417E-1,5.561235352E0,6.795867920E-2,8.006849670E0
1.875145417E-1,5.602250061E0,1.197509766E-2,8.005951538E0
1.974535417E-1,5.592370605E0,1.969903564E-1,8.002359009E0
2.073925417E-1,5.595065002E0,8.577163696E-2,7.998766479E0
2.173315417E-1,5.535937958E0,1.691482544E-2,8.062384186E0
2.272705417E-1,5.663772125E0,9.864486694E-2,8.005203094E0
2.372095417E-1,5.612129517E0,1.856140137E-2,8.029153290E0
2.471495417E-1,5.595813446E0,-4.790039062E-3,8.061036987E0
2.570885417E-1,5.632337494E0,1.525328064E-1,8.052055664E0
2.670275417E-1,5.586981812E0,2.694396973E-2,8.026458893E0
2.769665417E-1,5.482199707E0,-6.885681152E-3,7.998916168E0
2.869055417E-1,5.643414459E0,1.407073975E-1,7.960296478E0
2.968445417E-1,5.713319092E0,1.092727661E-1,8.083041229E0
3.067835417E-1,5.656287689E0,3.772155762E-2,8.148006134E0
3.167235417E-1,5.642815704E0,2.290237427E-2,8.111182709E0
3.266625417E-1,5.617069244E0,8.008346558E-2,8.094866638E0
3.366015417E-1,5.601052551E0,1.697470093E-1,7.999664612E0
3.465405417E-1,5.554499359E0,9.819580078E-2,7.965834961E0
3.564795417E-1,5.535339203E0,5.044509888E-2,8.017776947E0
3.664185417E-1,5.665418701E0,7.798782349E-2,8.066126404E0
3.763585417E-1,5.708379364E0,1.234931946E-1,8.125702515E0
3.862975417E-1,5.673202515E0,1.155596924E-1,8.118367767E0
3.962365417E-1,5.607938232E0,1.020877075E-1,8.106841736E0
4.061755417E-1,5.593717804E0,1.308279419E-1,8.051007843E0
4.161145417E-1,5.610333252E0,7.559280396E-2,8.007149048E0
4.260535417E-1,5.575006714E0,5.852828979E-2,8.014932861E0
4.359935417E-1,5.621559906E0,1.284329224E-1,8.055199127E0
4.459325417E-1,5.642216949E0,1.359173584E-1,8.092471619E0
4.558715417E-1,5.591771851E0,1.086740112E-1,8.076155548E0
4.658105417E-1,5.546865234E0,8.337661743E-2,7.994874573E0
4.757495417E-1,5.580844574E0,1.053808594E-1,8.001610565E0
4.856885417E-1,5.663921814E0,1.326242065E-1,8.088579712E0
4.956275417E-1,5.679339752E0,1.490899658E-1,8.122708740E0
5.055675417E-1,5.550457764E0,-5.239105225E-3,8.093669128E0
5.155065417E-1,5.515430603E0,7.140151978E-2,7.979157257E0
5.254455417E-1,5.603447571E0,1.457968140E-1,7.964936829E0
5.353845417E-1,5.609884186E0,1.324745178E-1,8.014483795E0
5.453235417E-1,5.573809204E0,1.496887207E-3,8.084538116E0
5.552625417E-1,5.608836365E0,3.128494263E-2,8.110883331E0
5.652015417E-1,5.651946716E0,1.046324158E-1,8.065527649E0
5.751415417E-1,5.605543213E0,8.442443848E-2,7.986192627E0
5.850805417E-1,5.501359863E0,5.014572144E-2,7.951764221E0
5.950195417E-1,5.585185547E0,-6.391708374E-2,8.067473602E0
6.049585417E-1,5.680686951E0,-8.681945801E-3,8.168663177E0
6.148975417E-1,5.736670532E0,5.822891235E-2,8.138276367E0
6.248365417E-1,5.613476715E0,1.676513672E-2,8.125253448E0
6.347755417E-1,5.573060760E0,1.245410156E-1,8.045768738E0
6.447155417E-1,5.577551422E0,8.277786255E-2,8.002359009E0
6.546545417E-1,5.533992004E0,1.047821045E-3,7.962242432E0
6.645935417E-1,5.583538971E0,1.601669312E-2,7.969726868E0
6.745325417E-1,5.667514343E0,6.975494385E-2,8.089178467E0
6.844715417E-1,5.669160919E0,1.049317932E-1,8.160579987E0
6.944105417E-1,5.572911072E0,6.301895142E-2,8.048014069E0
7.043495417E-1,5.488935699E0,1.706451416E-2,7.961044922E0
7.142895417E-1,5.560636597E0,6.346801758E-2,7.966134338E0
7.242285417E-1,5.710025940E0,1.507365417E-1,8.092022552E0
7.341675417E-1,5.687123566E0,-4.969665527E-2,8.186925201E0
7.441065417E-1,5.577252045E0,8.292755127E-2,8.138725433E0
7.540455417E-1,5.565426636E0,4.116439819E-2,8.012986908E0
7.639845417E-1,5.543871460E0,7.244934082E-2,7.951315155E0
7.739235417E-1,5.535339203E0,1.305285645E-1,7.901917877E0
7.838635417E-1,5.582341461E0,5.912704468E-2,7.959847412E0
7.938025417E-1,5.636379089E0,6.511459351E-2,8.078251190E0
8.037415417E-1,5.705834656E0,1.417552185E-1,8.071515198E0
8.136805417E-1,5.606591034E0,4.700225830E-2,8.034841461E0
8.236195417E-1,5.506000214E0,5.119354248E-2,7.936795349E0
8.335585417E-1,5.546865234E0,8.891510010E-2,7.938890991E0
8.434975417E-1,5.587281189E0,1.148112488E-1,7.999664612E0
8.534375417E-1,5.566624146E0,9.580078125E-2,7.937843170E0
8.633765417E-1,5.548212433E0,4.206253052E-2,7.936795349E0
8.733155417E-1,5.622008972E0,7.738906860E-2,8.024363251E0
8.832545417E-1,5.661377106E0,1.396595764E-1,8.022117920E0
8.931935417E-1,5.537734222E0,2.484832764E-2,7.980654144E0
9.031325417E-1,5.503754883E0,4.819976807E-2,7.926616516E0
9.130715417E-1,5.614823914E0,1.386117554E-1,7.982450409E0
9.230115417E-1,5.603297882E0,3.353027344E-2,8.015381927E0
9.329505417E-1,5.513185272E0,-2.993774414E-4,7.862699432E0
9.428895417E-1,5.620212708E0,2.085163879E-1,8.144263916E0
9.528285417E-1,5.657784576E0,7.978408813E-2,8.175548859E0
9.627675417E-1,5.554948425E0,1.008901978E-1,7.834108887E0
9.727065417E-1,5.464237061E0,-7.394622803E-2,7.897576904E0
9.826455417E-1,5.648653564E0,-4.640350342E-3,8.115972748E0
9.925855417E-1,5.779631195E0,1.176553345E-1,8.156538391E0
1.002524542E0,5.550008698E0,3.382965088E-2,8.058791656E0
1.012463542E0,5.412744141E0,-2.185455322E-2,7.943681030E0
1.022402542E0,5.578449554E0,-9.430389404E-3,7.958350525E0
1.032341542E0,5.632038116E0,-1.032852173E-2,8.068371735E0
1.042280542E0,5.638624420E0,1.781295776E-2,7.956404572E0
1.052219542E0,5.603746948E0,6.631210327E-2,8.027506714E0
1.062159542E0,5.564079437E0,-5.418731689E-2,8.207881622E0
1.072098542E0,5.649252319E0,-2.754272461E-2,8.040829010E0
1.082037542E0,5.639821930E0,1.046324158E-1,8.028704224E0
1.091976542E0,5.600453796E0,1.766326904E-2,8.005502472E0
1.101915542E0,5.580096130E0,-2.829116821E-2,8.087531891E0
1.111854542E0,5.623954926E0,3.038681030E-2,8.149053955E0
1.121793542E0,5.621559906E0,4.490661621E-2,8.034991150E0
1.131732542E0,5.535788269E0,-2.215393066E-2,7.969876556E0
1.141672542E0,5.599106598E0,6.571334839E-2,7.967182159E0
1.151611542E0,5.705385590E0,1.321751404E-1,8.060587921E0
1.161550542E0,5.625900879E0,-4.790039063E-2,8.107889557E0
1.171489292E0,5.542973328E0,1.975891113E-2,8.032745819E0
1.181428292E0,5.610932007E0,6.810836792E-2,8.016878815E0
1.191367292E0,5.627547455E0,8.966354370E-2,8.057145081E0
1.201306292E0,5.584886169E0,6.331832886E-2,8.015681305E0
1.211246292E0,5.516478424E0,-6.990463257E-2,8.004454651E0
1.221185292E0,5.576353912E0,1.333726501E-1,7.990383911E0
1.231124292E0,5.650749207E0,1.552272034E-1,7.976762238E0
1.241063292E0,5.552703094E0,-5.358856201E-2,8.088430023E0
1.251002292E0,5.565127258E0,5.254074097E-2,8.039631500E0
1.260941292E0,5.641169128E0,9.190887451E-2,8.008645935E0
1.270880292E0,5.569617920E0,1.571731567E-2,8.053103485E0
1.280820292E0,5.572462006E0,7.035369873E-2,7.998766479E0
1.290759292E0,5.589227142E0,1.369651794E-1,7.990982666E0
