"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.566416668E-3,-7.328759766E-1,6.201454010E0,7.483537903E0
1.451741665E-2,-6.370751953E-1,6.166726227E0,7.495213623E0
2.446841664E-2,-5.086422729E-1,6.126160583E0,7.559879150E0
3.441941662E-2,-4.665797424E-1,6.043532410E0,7.605983276E0
4.437041667E-2,-5.001100159E-1,5.954467621E0,7.690856781E0
5.432141665E-2,-5.528004456E-1,5.962550812E0,7.788453827E0
6.427341665E-2,-6.182144165E-1,6.036497040E0,7.857011261E0
7.422441663E-2,-6.075865173E-1,6.078110504E0,7.867040405E0
8.417541668E-2,-5.682183838E-1,6.047274628E0,7.895181885E0
9.412641666E-2,-5.412744141E-1,6.048023071E0,7.955207062E0
1.040774166E-1,-5.373825073E-1,6.084397430E0,7.948022003E0
1.140284166E-1,-5.957611084E-1,6.093977509E0,7.916138306E0
1.239794167E-1,-6.364764404E-1,6.039640503E0,7.866291962E0
1.339314167E-1,-6.478527832E-1,5.988446960E0,7.801327057E0
1.438824167E-1,-6.399192810E-1,5.973777466E0,7.760012970E0
1.538334166E-1,-5.968089294E-1,5.928421783E0,7.769742737E0
1.637844166E-1,-5.035528564E-1,5.874683533E0,7.887847137E0
1.737354167E-1,-4.111949158E-1,5.811065826E0,8.017178192E0
1.836864167E-1,-3.974235535E-1,5.771098938E0,8.130642242E0
1.936374166E-1,-4.411326599E-1,5.742658081E0,8.167315979E0
2.035894166E-1,-4.544549561E-1,5.745502167E0,8.128995667E0
2.135404167E-1,-3.920347595E-1,5.757626953E0,8.044720917E0
2.234914167E-1,-3.586541748E-1,5.771997070E0,7.964338074E0
2.334424166E-1,-3.746708679E-1,5.784570923E0,7.959847412E0
2.433934166E-1,-4.701722717E-1,5.807323608E0,8.071365509E0
2.533444167E-1,-5.709127808E-1,5.865103455E0,8.205187225E0
2.632954167E-1,-6.792874146E-1,5.780080261E0,8.260122986E0
2.732474167E-1,-7.634124756E-1,5.656587067E0,8.297994232E0
2.831984166E-1,-7.659571838E-1,5.561235352E0,8.275690613E0
2.931494166E-1,-6.819818115E-1,5.443430328E0,8.141270142E0
3.031004167E-1,-5.839356995E-1,5.280419312E0,7.963739319E0
3.130514167E-1,-5.541476440E-1,5.260211334E0,7.766000519E0
3.230024166E-1,-5.216651917E-1,5.395829315E0,7.679031372E0
3.329534166E-1,-5.150788879E-1,5.425018616E0,7.660320282E0
3.429054167E-1,-4.800517273E-1,5.373825073E0,7.710016937E0
3.528564167E-1,-4.013154602E-1,5.352419586E0,7.911198578E0
3.628074166E-1,-3.604504395E-1,5.281317444E0,8.145611115E0
3.727584166E-1,-4.430786133E-1,5.182971954E0,8.358917542E0
3.827094167E-1,-5.740562439E-1,5.139562225E0,8.517288208E0
3.926604167E-1,-5.770500183E-1,5.166057129E0,8.598718872E0
4.026124167E-1,-4.805007935E-1,5.084476776E0,8.616232452E0
4.125634166E-1,-4.839436340E-1,4.963228912E0,8.612340546E0
4.225144166E-1,-5.400769043E-1,4.997507629E0,8.588240662E0
4.324654167E-1,-4.836442566E-1,5.002447357E0,8.549770660E0
4.424164167E-1,-3.399430847E-1,4.919519806E0,8.583600311E0
