"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.566416668E-3,1.713866368E-3,-2.208952904E-1,1.361689530E-2
1.451741665E-2,-3.762925789E-2,-2.142032236E-1,2.444875659E-3
2.446841664E-2,-6.340865046E-2,-2.119682729E-1,-4.147260915E-3
3.441941662E-2,-7.312759757E-2,-2.140354216E-1,-1.045149751E-2
4.437041667E-2,-7.001392543E-2,-1.984210610E-1,-1.661573723E-2
5.432141665E-2,-5.846592784E-2,-1.738739163E-1,-1.725835726E-2
6.427341665E-2,-5.823882669E-2,-1.501522511E-1,-1.289570890E-2
7.422441663E-2,-6.338351965E-2,-1.409236044E-1,-1.203124598E-2
8.417541668E-2,-6.800597161E-2,-1.325266510E-1,-1.146079786E-2
9.412641666E-2,-6.587917358E-2,-1.282397658E-1,-1.690696180E-2
1.040774166E-1,-6.489419192E-2,-1.354096830E-1,-2.120127343E-2
1.140284166E-1,-6.663136929E-2,-1.618705988E-1,-2.115413547E-2
1.239794167E-1,-8.372849971E-2,-1.982212961E-1,-2.154135145E-2
1.339314167E-1,-1.137654930E-1,-2.160716802E-1,-1.840468124E-2
1.438824167E-1,-1.429631412E-1,-2.179414779E-1,-1.413012110E-2
1.538334166E-1,-1.561905295E-1,-2.008743435E-1,-9.528178722E-3
1.637844166E-1,-1.493930370E-1,-1.714827865E-1,-1.323005743E-2
1.737354167E-1,-1.388559639E-1,-1.336373985E-1,-2.142673545E-2
1.836864167E-1,-1.227464229E-1,-9.450941533E-2,-2.670105733E-2
1.936374166E-1,-1.252812147E-1,-5.703287944E-2,-2.377158217E-2
2.035894166E-1,-1.399916857E-1,-4.850507528E-2,-2.318575606E-2
2.135404167E-1,-1.697860658E-1,-6.776159257E-2,-3.019013628E-2
2.234914167E-1,-2.150723487E-1,-9.751665592E-2,-4.498232529E-2
2.334424166E-1,-2.581892014E-1,-1.233173534E-1,-4.789981991E-2
2.433934166E-1,-2.657123506E-1,-1.427049041E-1,-4.802179337E-2
2.533444167E-1,-2.522407472E-1,-1.565706432E-1,-4.799595848E-2
2.632954167E-1,-2.422397584E-1,-1.419996172E-1,-3.799584508E-2
2.732474167E-1,-2.311325073E-1,-9.905748069E-2,-3.169240803E-2
2.831984166E-1,-2.349528223E-1,-5.487351120E-2,-2.930994704E-2
2.931494166E-1,-2.566400170E-1,-3.866684437E-2,-5.280594900E-2
3.031004167E-1,-3.154961169E-1,-2.164606564E-2,-7.181184739E-2
3.130514167E-1,-3.655459881E-1,-2.149959281E-2,-7.087069005E-2
3.230024166E-1,-3.987433016E-1,-5.617957190E-2,-7.658820599E-2
3.329534166E-1,-4.408215284E-1,-1.145504713E-1,-6.205879524E-2
3.429054167E-1,-4.976241589E-1,-1.927273422E-1,-4.684892297E-2
3.528564167E-1,-5.338551402E-1,-2.876099050E-1,-3.935532272E-2
3.628074166E-1,-5.518020391E-1,-3.446391523E-1,-5.201790482E-2
3.727584166E-1,-5.599587560E-1,-3.375895023E-1,-6.759952754E-2
3.827094167E-1,-5.546137094E-1,-2.663194239E-1,-6.622066349E-2
3.926604167E-1,-5.388459563E-1,-1.741146445E-1,-8.440259099E-2
4.026124167E-1,-5.293983221E-1,-9.045232832E-2,-1.318557113E-1
4.125634166E-1,-5.136641264E-1,-1.796375215E-2,-1.385535598E-1
4.225144166E-1,-4.899138212E-1,5.136879161E-3,-1.132473052E-1
4.324654167E-1,-4.386860430E-1,1.633840054E-2,-1.087446958E-1
4.424164167E-1,-3.472277820E-1,5.055551231E-2,-1.007629484E-1
4.523674166E-1,-2.327509969E-1,1.053607017E-1,-7.515425980E-2
4.623184166E-1,-1.222740933E-1,1.522421837E-1,-5.375930294E-2
