"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.566416668E-3,-4.411775373E-2,3.059865493E-1,-3.230042857E-1
1.451741665E-2,2.370329663E-2,2.764709741E-1,-3.230551565E-1
2.446841664E-2,1.386794369E-1,2.395522392E-1,-2.623002470E-1
3.441941662E-2,1.769913440E-1,1.726168227E-1,-2.224602431E-1
4.437041667E-2,1.329600560E-1,8.281879306E-2,-1.486964482E-1
5.432141665E-2,7.374552235E-2,8.382392943E-2,-5.695129573E-2
6.427341665E-2,-8.895771168E-3,1.582233167E-1,1.553371310E-2
7.422441663E-2,-1.789580550E-2,2.114306402E-1,2.391394258E-2
8.417541668E-2,1.230729260E-2,1.892258388E-1,4.240751624E-2
9.412641666E-2,3.305061903E-2,1.861771005E-1,1.045587409E-1
1.040774166E-1,3.024655022E-2,2.239366651E-1,9.993008494E-2
1.140284166E-1,-3.025915828E-2,2.427869189E-1,6.850890219E-2
1.239794167E-1,-9.228872426E-2,1.982422453E-1,1.612018883E-2
1.339314167E-1,-1.200718791E-1,1.522521400E-1,-5.698579431E-2
1.438824167E-1,-1.309861822E-1,1.431047559E-1,-1.091417885E-1
1.538334166E-1,-1.069685612E-1,1.118993354E-1,-1.169688714E-1
1.637844166E-1,-3.538811658E-2,6.873109639E-2,-1.607224166E-2
1.737354167E-1,5.514896460E-2,1.349069595E-2,1.061439210E-1
1.836864167E-1,6.963025197E-2,-1.686278522E-2,2.145951533E-1
1.936374166E-1,2.723713450E-2,-4.140004098E-2,2.606507474E-1
2.035894166E-1,3.128406554E-3,-3.172114491E-2,2.232958102E-1
2.135404167E-1,6.123200577E-2,-1.185873806E-2,1.316067910E-1
2.234914167E-1,9.781116363E-2,1.526474118E-2,3.793439627E-2
2.334424166E-1,8.432748433E-2,4.642104506E-2,8.055124283E-3
2.433934166E-1,-1.028313272E-2,8.227383256E-2,9.424366772E-2
2.533444167E-1,-1.203985557E-1,1.683612192E-1,2.166937190E-1
2.632954167E-1,-2.370024512E-1,1.184061170E-1,2.666119838E-1
2.732474167E-1,-3.374611975E-1,1.390935659E-2,2.899464673E-1
2.831984166E-1,-3.559777215E-1,-6.420827508E-2,2.697870219E-1
2.931494166E-1,-2.822551860E-1,-1.567544961E-1,1.291965687E-1
3.031004167E-1,-1.768578813E-1,-2.999873060E-1,-5.637943804E-2
3.130514167E-1,-1.417612484E-1,-3.215056443E-1,-2.773919106E-1
3.230024166E-1,-1.068962019E-1,-1.625742298E-1,-4.015633821E-1
3.329534166E-1,-1.017907055E-1,-7.989635468E-2,-4.453666288E-1
3.429054167E-1,-8.035536110E-2,-9.529558182E-2,-4.363461292E-1
