"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.485002041E-2,5.208800649E1,5.111157083E0,4.758473039E-1,NaN,NaN,1.064347066E3,1.948225975E0
1.121928096E0,5.208831718E1,5.110807503E0,4.663465917E-1,NaN,NaN,1.193428333E3,2.984505653E0
1.126142025E0,5.208849997E1,5.110600361E0,4.663031995E-1,NaN,NaN,1.193428343E3,2.130894423E0
4.542096019E0,5.208810880E1,5.111054525E0,4.662623703E-1,NaN,NaN,1.199645634E3,2.971016645E0
4.551058054E0,5.208787381E1,5.111326883E0,4.662615359E-1,NaN,NaN,1.199645678E3,2.155766249E0
7.339967012E0,5.208824871E1,5.110895187E0,4.662607312E-1,NaN,NaN,1.203850856E3,2.966644049E0
7.346672058E0,5.208846214E1,5.110649087E0,4.662607014E-1,NaN,NaN,1.203850881E3,2.149159908E0
8.660180092E0,5.208846643E1,5.110644412E0,4.662607014E-1,NaN,NaN,1.204798512E3,2.859318018E0
8.680190086E0,5.208846649E1,5.110644342E0,4.662607014E-1,NaN,NaN,1.204798734E3,2.147751570E0
9.146356106E0,5.208597688E1,5.111803814E0,4.662607014E-1,NaN,NaN,1.204919253E3,2.672109365E0
9.536717057E0,5.208453407E1,5.112475857E0,4.662607014E-1,NaN,NaN,1.205003979E3,2.662961245E0
2.234014809E1,5.208455269E1,5.112444091E0,4.662607014E-1,NaN,NaN,1.289438118E3,3.019187927E0
2.234700906E1,5.208455270E1,5.112444075E0,4.662607014E-1,NaN,NaN,1.289438144E3,2.165971756E0
2.278519201E1,5.208317601E1,5.114499703E0,4.662607014E-1,NaN,NaN,1.289543535E3,2.682276249E0
2.322621906E1,5.208242424E1,5.115622232E0,4.662607014E-1,NaN,NaN,1.289650435E3,2.714718103E0
3.450109911E1,5.208242944E1,5.115611612E0,4.662607014E-1,NaN,NaN,1.354887031E3,3.002215624E0
3.452328002E1,5.208242945E1,5.115611593E0,4.662607014E-1,NaN,NaN,1.354887297E3,2.206343889E0
3.509652400E1,5.208086549E1,5.118209472E0,4.662607014E-1,NaN,NaN,1.355064539E3,2.735885620E0
4.616889811E1,5.207979577E1,5.119985415E0,2.629281044E0,NaN,NaN,1.416820668E3,2.970220089E0
4.712859309E1,5.207978790E1,5.119998364E0,2.653216839E0,NaN,NaN,1.417291220E3,2.815066099E0
4.715773404E1,5.207978766E1,5.119998754E0,2.654792070E0,NaN,NaN,1.417291657E3,2.173294783E0
4.771901011E1,5.207898454E1,5.120079290E0,2.655991316E0,NaN,NaN,1.414000000E3,2.730680704E0
6.205702400E1,5.207887679E1,5.120250114E0,2.656258106E0,NaN,NaN,1.510306398E3,2.998943329E0
6.252107310E1,5.207887369E1,5.120255029E0,2.656260252E0,NaN,NaN,1.510412992E3,2.712145329E0
6.490524805E1,5.207885812E1,5.120279725E0,2.656260729E0,NaN,NaN,1.513200498E3,2.941641092E0
6.548829508E1,5.207957292E1,5.122716352E0,2.656260729E0,NaN,NaN,1.414000000E3,2.762222767E0
6.621397710E1,5.207988443E1,5.123781529E0,2.656260729E0,NaN,NaN,1.414000000E3,2.812487841E0
6.623869312E1,5.207988428E1,5.123781812E0,2.656260729E0,NaN,NaN,1.414000325E3,2.173908949E0
6.624092209E1,5.207988427E1,5.123781837E0,2.656260729E0,NaN,NaN,1.414000328E3,1.791467547E0
6.670416510E1,5.207739138E1,5.126525482E0,2.656260729E0,NaN,NaN,1.414000000E3,2.657762527E0
6.735022306E1,5.207614414E1,5.127898614E0,2.656260729E0,NaN,NaN,1.414000000E3,2.754605532E0
7.815862310E1,5.207614350E1,5.127899767E0,4.529608727E0,NaN,NaN,1.414715946E3,3.016399145E0
7.816964805E1,5.207614350E1,5.127899767E0,4.548440933E0,NaN,NaN,1.414715956E3,2.183272362E0
7.918052602E1,5.207814246E1,5.122223561E0,4.564160347E0,NaN,NaN,1.414000000E3,2.861275911E0
8.191870010E1,5.207652145E1,5.125744509E0,4.566162586E0,NaN,NaN,1.414000000E3,2.924823761E0
9.341604304E1,5.207651661E1,5.125753362E0,2.561307907E0,NaN,NaN,1.436056638E3,3.030684233E0
9.343809700E1,5.207651661E1,5.125753378E0,2.547968149E0,NaN,NaN,1.436056762E3,2.225526571E0
9.430370402E1,5.207695739E1,5.128553315E0,2.537824392E0,NaN,NaN,1.414000000E3,2.839269161E0
1.023707941E2,5.207717124E1,5.129912115E0,-2.397044420E0,NaN,NaN,1.414000000E3,2.982563734E0
