"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.310333355E-3,-4.953349457E0,8.372389526E0,3.861220551E0
1.325933333E-2,-4.900808716E0,8.518785095E0,3.968547363E0
2.320933330E-2,-4.627926178E0,8.447832642E0,3.965403900E0
3.315833333E-2,-4.238885193E0,8.344846802E0,3.844455414E0
4.310833331E-2,-4.030368805E0,8.321495361E0,3.700754242E0
5.305833335E-2,-3.910019073E0,8.258326721E0,3.603755951E0
6.300733332E-2,-3.800297241E0,8.162825317E0,3.581901398E0
7.295733335E-2,-3.740122375E0,8.066575470E0,3.623814240E0
8.290633332E-2,-3.632346497E0,7.995024261E0,3.626059570E0
9.285633336E-2,-3.418591003E0,7.988288269E0,3.688180389E0
1.028063333E-1,-3.213667145E0,7.988138580E0,3.754492493E0
1.127553333E-1,-3.124452667E0,7.975714417E0,3.817960510E0
1.227053333E-1,-3.228636017E0,7.995922394E0,3.835623779E0
1.326543333E-1,-3.397035828E0,8.127498779E0,3.874093781E0
1.426043333E-1,-3.519032135E0,8.220455475E0,3.862418060E0
1.525543333E-1,-3.565285950E0,8.211923218E0,3.793710938E0
1.625033334E-1,-3.591631165E0,8.143814850E0,3.728446655E0
1.724533333E-1,-3.557202759E0,8.115074615E0,3.789369965E0
1.824023333E-1,-3.572770386E0,8.107141113E0,4.015699310E0
1.923523333E-1,-3.796405334E0,8.008196869E0,4.258793793E0
2.023023333E-1,-4.036056976E0,7.974816284E0,4.583917694E0
2.122513333E-1,-4.057163086E0,7.951764221E0,5.138514404E0
2.222013333E-1,-3.948189697E0,7.883057098E0,5.572162628E0
2.321503334E-1,-3.710034943E0,7.836503906E0,5.972579956E0
2.421003333E-1,-3.562441864E0,7.683222656E0,6.242169342E0
2.520503333E-1,-3.423231354E0,7.509733429E0,6.464756470E0
2.619993333E-1,-3.213816833E0,7.340734863E0,6.747069397E0
2.719493333E-1,-2.952909393E0,7.217990112E0,7.157964935E0
2.818983333E-1,-2.690654755E0,7.082970886E0,7.586523743E0
2.918483333E-1,-2.469414825E0,6.972500610E0,7.873327332E0
3.017983334E-1,-2.414928131E0,6.905739441E0,7.966284027E0
3.117473333E-1,-2.248773651E0,6.880591736E0,8.001011810E0
3.216973333E-1,-1.927242279E0,6.784192200E0,7.939040680E0
3.316463333E-1,-1.609902191E0,6.752308502E0,7.747888184E0
3.415963333E-1,-1.257235565E0,6.823710022E0,7.771389313E0
3.515463333E-1,-1.109193420E0,6.755751343E0,7.863597565E0
3.614953333E-1,-1.178648987E0,6.636000366E0,8.000413055E0
3.714453334E-1,-1.319206696E0,6.465504913E0,8.081095276E0
3.813953333E-1,-1.353485413E0,6.333030396E0,8.064180450E0
