"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.201533334E-2,-2.977459431E-1,-3.251838088E-1,2.482728213E-1
2.196533332E-2,-3.222454488E-1,-3.880299032E-1,2.829176188E-1
3.191533335E-2,-3.554009497E-1,-4.504711032E-1,2.905193567E-1
4.186433333E-2,-4.036180079E-1,-5.225026608E-1,2.896312177E-1
5.181433330E-2,-4.451308250E-1,-5.766294003E-1,2.900674641E-1
6.176333333E-2,-4.755249619E-1,-6.204629540E-1,2.861012220E-1
7.171333331E-2,-4.991827011E-1,-6.378079653E-1,2.704814076E-1
8.166333335E-2,-5.338770747E-1,-6.485799551E-1,2.390488833E-1
9.161233332E-2,-5.631211996E-1,-6.492176652E-1,1.806339920E-1
1.015623334E-1,-6.004810929E-1,-6.570414901E-1,1.176044196E-1
1.115113333E-1,-6.381049752E-1,-6.762794852E-1,5.293538049E-2
1.214613334E-1,-6.867044568E-1,-7.001387477E-1,1.148407720E-2
1.314113333E-1,-7.478172779E-1,-7.502821684E-1,3.591555869E-3
1.413603333E-1,-8.233170509E-1,-8.264925480E-1,1.367561519E-2
1.513103333E-1,-9.160889983E-1,-9.181657434E-1,2.693646029E-2
1.612593333E-1,-1.024184823E0,-1.016545892E0,4.017343745E-2
1.712093333E-1,-1.140436530E0,-1.109530687E0,3.866204619E-2
1.811593333E-1,-1.253125787E0,-1.151731610E0,4.147168249E-2
1.911083334E-1,-1.355745435E0,-1.113684058E0,6.470165402E-2
2.010583333E-1,-1.427042961E0,-1.200001597E0,1.141405702E-1
2.110083333E-1,-1.492231846E0,-1.281384706E0,1.780615151E-1
2.209573333E-1,-1.532501221E0,-1.335250854E0,2.300075442E-1
2.309073333E-1,-1.544626713E0,-1.407381296E0,2.706549466E-1
2.408563333E-1,-1.540269017E0,-1.477901459E0,3.135376871E-1
2.508063333E-1,-1.516848207E0,-1.557722330E0,3.510856926E-1
2.607563334E-1,-1.463158607E0,-1.603190541E0,3.768736124E-1
2.707053333E-1,-1.371898770E0,-1.620143175E0,3.869103193E-1
2.806553333E-1,-1.258006096E0,-1.563689232E0,3.959107399E-1
2.906043333E-1,-1.119258642E0,-1.473989010E0,4.097840190E-1
3.005543333E-1,-1.018485904E0,-1.375302434E0,4.378614426E-1
3.105043333E-1,-9.175196290E-1,-1.244552612E0,4.439119995E-1
3.204533333E-1,-8.712370396E-1,-1.137402177E0,4.194207788E-1
3.304033334E-1,-8.605546355E-1,-1.050965071E0,3.910737634E-1
3.403523333E-1,-8.429218531E-1,-9.237442017E-1,3.433584273E-1
3.503023333E-1,-8.021347523E-1,-7.867903709E-1,2.957732975E-1
3.602523333E-1,-7.352151275E-1,-6.775179505E-1,2.745921016E-1
3.702013333E-1,-6.594171524E-1,-6.175321341E-1,2.704868317E-1
3.801513333E-1,-5.770725012E-1,-5.655456185E-1,2.764693499E-1
3.901003333E-1,-5.141017437E-1,-5.204768181E-1,2.874700129E-1
4.000503334E-1,-4.729314148E-1,-5.063213110E-1,2.909204066E-1
4.100003333E-1,-4.628569186E-1,-5.003488064E-1,2.755409479E-1
4.199493334E-1,-4.572003782E-1,-5.443215966E-1,2.627820075E-1
4.298993333E-1,-4.172200859E-1,-5.903612375E-1,2.684745789E-1
4.398483333E-1,-3.458353579E-1,-5.547385216E-1,2.909108996E-1
4.497983333E-1,-2.502252460E-1,-4.799895883E-1,3.199590147E-1
4.597483333E-1,-1.493018419E-1,-4.056988358E-1,3.412403464E-1
4.696973333E-1,-6.496556848E-2,-3.267970681E-1,3.574278355E-1
4.796473333E-1,-3.441484645E-2,-1.962654144E-1,3.450883329E-1
4.895973333E-1,-4.629657045E-2,-5.513819307E-2,2.983322442E-1
4.995463333E-1,-7.587178051E-2,-4.552125186E-2,2.775121927E-1
5.094963333E-1,-9.734980762E-2,-9.238166362E-2,2.806288898E-1
5.194453333E-1,-9.298888594E-2,-1.777567565E-1,3.822630942E-1
5.293953333E-1,-1.331395954E-1,-2.577555776E-1,4.514492154E-1
5.393453334E-1,-1.813558489E-1,-3.287378848E-1,4.732623696E-1
5.492943333E-1,-2.220552266E-1,-4.081117809E-1,4.698786139E-1
5.592443334E-1,-2.545806766E-1,-4.390824735E-1,4.513997436E-1
