"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.201533334E-2,-8.904388502E-1,3.352395844E-1,3.172172964E-1
2.196533332E-2,-7.065997589E-1,3.156163287E-1,3.047963485E-1
3.191533335E-2,-3.551133934E-1,1.931405497E-1,1.617676064E-1
4.186433333E-2,-1.370680904E-1,1.719484860E-1,-3.176733792E-2
5.181433330E-2,-5.250273407E-2,1.204731077E-1,-2.071650964E-1
6.176333333E-2,1.472065777E-2,3.892666876E-2,-3.035698950E-1
7.171333331E-2,3.998998493E-2,-5.172973216E-2,-3.329474759E-1
8.166333335E-2,7.361732215E-2,-1.250883150E-1,-3.886176467E-1
9.161233332E-2,2.253610468E-1,-1.279750854E-1,-4.136349589E-1
1.015623334E-1,4.032462108E-1,-1.065280831E-1,-4.125801212E-1
1.115113333E-1,5.007251430E-1,-9.655799568E-2,-4.247551936E-1
1.214613334E-1,4.052673009E-1,-6.481930912E-2,-4.712276942E-1
1.314113333E-1,2.087379974E-1,7.255517542E-2,-5.243321067E-1
1.413603333E-1,3.243304342E-2,2.279455161E-1,-6.059294164E-1
1.513103333E-1,-6.797768265E-2,2.738321257E-1,-7.640954304E-1
1.612593333E-1,-1.491127700E-1,2.652203465E-1,-9.483914816E-1
1.712093333E-1,-1.792402562E-1,2.622628248E-1,-1.046457182E0
1.811593333E-1,-2.234837982E-1,3.253139359E-1,-9.954837871E-1
1.911083334E-1,-4.506408173E-1,3.019683427E-1,-8.689120334E-1
2.010583333E-1,-7.976429531E-1,3.135546005E-1,-7.564572126E-1
2.110083333E-1,-9.323397052E-1,3.751778215E-1,-3.595441210E-1
2.209573333E-1,-9.522468433E-1,3.824845022E-1,-6.073502898E-2
2.309073333E-1,-8.257364854E-1,4.178806221E-1,2.027767611E-1
2.408563333E-1,-7.438535392E-1,3.746632665E-1,3.501312733E-1
2.508063333E-1,-7.376323941E-1,2.765662837E-1,4.171128827E-1
2.607563334E-1,-6.658110443E-1,1.863723975E-1,5.243151498E-1
2.707053333E-1,-5.387875932E-1,1.289375371E-1,7.676107764E-1
2.806553333E-1,-4.098836777E-1,7.752121568E-2,1.077264115E0
2.906043333E-1,-2.803055781E-1,1.797960341E-2,1.289985235E0
3.005543333E-1,-3.229174545E-1,3.020671606E-3,1.323213208E0
3.105043333E-1,-3.259065512E-1,3.404775202E-2,1.268937013E0
3.204533333E-1,-1.361218648E-1,2.955182791E-3,1.164537317E0
3.304033334E-1,8.312401772E-2,-1.264518857E-2,8.997122419E-1
3.403523333E-1,3.426518074E-1,1.093996507E-1,7.803518593E-1
3.503023333E-1,4.789819792E-1,1.300888538E-1,8.123045540E-1
3.602523333E-1,3.815710209E-1,7.040456951E-2,8.686991948E-1
3.702013333E-1,1.712282552E-1,-5.147479355E-2,9.251289189E-1
3.801513333E-1,5.974275649E-2,-1.555914849E-1,8.818805730E-1
3.901003333E-1,-2.146571338E-2,-2.263363624E-1,7.349493992E-1
4.000503334E-1,-3.608769938E-2,-2.711014760E-1,4.829373282E-1
4.100003333E-1,3.095735237E-2,-3.069606954E-1,2.225146222E-1
4.199493334E-1,2.655322954E-2,-2.973695076E-1,5.858851612E-2
4.298993333E-1,-9.111138739E-2,-2.964093947E-1,1.508856457E-1
4.398483333E-1,-2.566397037E-1,-2.668727696E-1,3.704725671E-1
