"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.259899139E-2,5.234614782E1,4.917734071E0,2.806262016E0,NaN,NaN,2.533333333E2,2.596918106E0
1.249228001E1,5.234427752E1,4.919004135E0,2.031520844E0,NaN,NaN,2.066666667E2,2.707175970E0
1.849452698E1,5.234317182E1,4.919404976E0,2.026359081E0,NaN,NaN,2.066666667E2,2.704592705E0
2.641250598E1,5.234059984E1,4.920476309E0,2.026262045E0,NaN,NaN,8.956958141E1,2.655194044E0
2.777515292E1,5.234035039E1,4.920580185E0,2.026260853E0,NaN,NaN,8.956958141E1,2.578050375E0
5.647561896E1,5.233972003E1,4.921018507E0,2.026260614E0,NaN,NaN,3.168242940E2,2.744070530E0
8.086652195E1,5.233917848E1,4.921459760E0,2.026260614E0,NaN,NaN,7.429995443E2,2.708936691E0
8.087146497E1,5.233917839E1,4.921459834E0,2.026260614E0,NaN,NaN,7.429995632E2,1.937928081E0
8.142499602E1,5.233688839E1,4.924354399E0,2.026260614E0,NaN,NaN,7.432353810E2,2.491118431E0
8.223951399E1,5.233508694E1,4.926629830E0,2.026260614E0,NaN,NaN,7.437486824E2,2.575519562E0
9.331357491E1,5.233484844E1,4.926849870E0,2.026260614E0,NaN,NaN,8.323697119E2,2.693501711E0
9.332123101E1,5.233484828E1,4.926850009E0,2.026260614E0,NaN,NaN,8.323697569E2,1.940542936E0
9.372244298E1,5.233162618E1,4.929546316E0,2.026260614E0,NaN,NaN,8.324934516E2,2.422640324E0
9.429902494E1,5.232922886E1,4.931552644E0,2.026260614E0,NaN,NaN,8.327494143E2,2.513199806E0
1.158570870E2,5.232878367E1,4.931955620E0,4.085446358E0,NaN,NaN,1.119560489E3,2.690916300E0
1.158625829E2,5.232878358E1,4.931955707E0,4.090967655E0,NaN,NaN,1.119560508E3,1.927781701E0
1.160337809E2,5.232597318E1,4.936422582E0,4.094505310E0,NaN,NaN,1.119579158E3,2.205851555E0
1.168427479E2,5.232423796E1,4.939175960E0,4.096059799E0,NaN,NaN,1.119994612E3,2.545074701E0
1.183338000E2,5.232349291E1,4.938470224E0,4.096247196E0,NaN,NaN,1.121403868E3,2.604502439E0
1.183380250E2,5.232305286E1,4.938019979E0,4.096253872E0,NaN,NaN,1.121403880E3,1.891956210E0
1.241591610E2,5.232237038E1,4.940259142E0,5.959502220E0,NaN,NaN,1.142355244E3,2.697560549E0
1.241626660E2,5.232202465E1,4.941556247E0,5.977980614E0,NaN,NaN,1.142355251E3,1.931421161E0
1.409137959E2,5.232170387E1,4.941982221E0,3.661826849E0,NaN,NaN,1.296361339E3,2.679892302E0
1.409388700E2,5.232170345E1,4.941982779E0,3.653287411E0,NaN,NaN,1.296361700E3,1.991579533E0
1.415566510E2,5.231930095E1,4.940779869E0,3.647262096E0,NaN,NaN,1.296580465E3,2.490029573E0
1.422671490E2,5.231799423E1,4.940127012E0,3.646385431E0,NaN,NaN,1.296869881E3,2.537362337E0
1.456459090E2,5.231793333E1,4.940195154E0,3.646264553E0,NaN,NaN,1.303322919E3,2.633657217E0
