"Time (s)","Distance (cm)"
5.347208353E-3,5.000000000E0
6.239221500E0,0.000000000E0
7.675881708E0,5.000000000E0
8.306163125E0,0.000000000E0
8.523361875E0,5.000000000E0
9.508931125E0,0.000000000E0
1.378377165E2,5.000000000E0
1.834365994E2,0.000000000E0
2.738284500E2,5.000000000E0
2.833949822E2,0.000000000E0
2.838291866E2,5.000000000E0
2.846474297E2,0.000000000E0
2.847810597E2,5.000000000E0
2.869854137E2,0.000000000E0
2.873194801E2,5.000000000E0
2.969388289E2,0.000000000E0
2.971727638E2,5.000000000E0
3.055420207E2,0.000000000E0
5.320955860E2,5.000000000E0
5.330289024E2,5.000000000E0
