"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.021504402E-2,5.233499694E1,4.864651843E0,1.605204535E1,1.056550881E0,8.853389520E1,4.760736878E0,3.340646855E0
6.235426664E-1,5.233499965E1,4.864931032E0,2.208584213E1,1.350000024E0,4.781250000E1,1.084855741E1,1.200000000E1
1.974590540E0,5.233499060E1,4.864950143E0,2.301101303E1,1.350000024E0,1.065234375E2,8.951003437E0,1.200000000E1
2.974642038E0,5.233498264E1,4.864961291E0,2.223012924E1,8.600000143E-1,1.072265625E2,6.956769208E0,8.000000000E0
3.974691391E0,5.233497564E1,4.864971768E0,1.968478012E1,6.000000238E-1,1.061718750E2,6.056047614E0,8.000000000E0
4.974738002E0,5.233497057E1,4.864980737E0,2.039742661E1,6.800000072E-1,1.219921875E2,5.589151966E0,6.000000000E0
5.974781990E0,5.233496809E1,4.864996243E0,2.239956284E1,8.899999857E-1,1.216406250E2,5.416190817E0,6.000000000E0
6.974826694E0,5.233496248E1,4.865013426E0,1.975472641E1,8.899999857E-1,1.226953125E2,5.012542432E0,6.000000000E0
7.974822640E0,5.233495682E1,4.865035219E0,1.739596176E1,1.169999957E0,1.061718750E2,4.809040628E0,6.000000000E0
8.974813700E0,5.233495267E1,4.865059527E0,1.746798325E1,2.029999971E0,9.984375000E1,4.091751497E0,6.000000000E0
9.974802017E0,5.233494726E1,4.865088779E0,1.570248032E1,2.059999943E0,9.421875000E1,3.729190244E0,4.000000000E0
1.097479069E1,5.233494257E1,4.865113758E0,1.387038803E1,2.029999971E0,9.210937500E1,3.535533906E0,4.000000000E0
1.197477782E1,5.233493716E1,4.865130857E0,1.309890366E1,1.450000048E0,9.351562500E1,3.535533906E0,4.000000000E0
1.297476542E1,5.233493180E1,4.865149716E0,1.356039047E1,1.450000048E0,9.527343750E1,3.535533906E0,4.000000000E0
1.397475433E1,5.233493060E1,4.865170898E0,1.356039071E1,1.450000048E0,9.527345427E1,4.286368353E0,4.066488323E0
1.497474170E1,5.233492500E1,4.865196357E0,1.343380383E1,1.610000014E0,9.738283104E1,4.610574960E0,3.545015595E0
1.597472632E1,5.233492233E1,4.865211025E0,1.205385998E1,1.610000014E0,9.281251867E1,4.610574948E0,3.545015611E0
1.697471499E1,5.233492093E1,4.865223323E0,1.211635994E1,1.429999948E0,9.175782910E1,4.610574941E0,3.545015621E0
1.797470367E1,5.233492031E1,4.865240575E0,1.207369632E1,1.240000010E0,8.894532690E1,4.610574934E0,3.545015630E0
1.897469175E1,5.233492099E1,4.865259164E0,1.147646732E1,1.240000010E0,8.718751438E1,4.610574931E0,3.545015634E0
1.997468948E1,5.233492122E1,4.865283887E0,1.111916757E1,1.480000019E0,8.718751717E1,4.286368086E0,4.066488377E0
2.097468209E1,5.233492122E1,4.865304758E0,1.142464852E1,1.480000019E0,8.718751717E1,4.286368067E0,4.066488398E0
2.197467208E1,5.233491987E1,4.865326172E0,1.115005135E1,1.470000029E0,9.140626707E1,4.286368039E0,4.066488420E0
2.297466290E1,5.233491860E1,4.865352832E0,1.042074227E1,1.470000029E0,9.070314207E1,4.610574903E0,3.545015669E0
2.397465384E1,5.233491810E1,4.865383856E0,9.737026507E0,1.700000048E0,8.824220723E1,4.610574894E0,3.545015681E0
2.497464728E1,5.233491737E1,4.865405084E0,8.865932707E0,1.490000010E0,8.824220480E1,4.610574886E0,3.545015691E0
2.597464037E1,5.233491724E1,4.865427936E0,8.526577237E0,1.490000010E0,8.648439227E1,4.610574880E0,3.545015699E0
2.697463393E1,5.233491612E1,4.865450942E0,8.367031338E0,1.490000010E0,8.929689230E1,4.610574872E0,3.545015709E0
2.797462881E1,5.233491559E1,4.865471017E0,8.394497154E0,1.470000029E0,9.070314207E1,4.610574867E0,3.545015717E0
2.897462320E1,5.233491504E1,4.865492909E0,8.137783295E0,1.500000000E0,9.140626741E1,4.610574860E0,3.545015725E0
2.997461879E1,5.233491278E1,4.865512289E0,7.837734429E0,1.330000043E0,9.562501537E1,4.610574850E0,3.545015738E0
3.097461522E1,5.233491177E1,4.865542719E0,7.706753085E0,1.750000000E0,9.351564528E1,4.610574841E0,3.545015750E0
