"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.154258013E0,5.235012936E1,4.932187004E0,3.197231293E0,2.500000000E-1,2.028515625E2,1.553643158E1,3.200000000E1
2.200122118E0,5.235012823E1,4.932186417E0,-3.612339020E0,2.500000000E-1,NaN,1.560078439E1,3.000000000E0
3.218361139E0,5.235014881E1,4.932164708E0,-3.053195953E0,0.000000000E0,NaN,9.742276984E0,4.000000000E0
4.219908953E0,5.235015283E1,4.932148363E0,-2.354953766E0,0.000000000E0,NaN,6.855582500E0,4.000000000E0
5.217803955E0,5.235015061E1,4.932134114E0,-2.819736481E0,0.000000000E0,NaN,6.558724321E0,4.000000000E0
6.218733072E0,5.235014676E1,4.932125565E0,-2.992832184E0,4.199999869E-1,NaN,6.472534890E0,4.000000000E0
7.188990355E0,5.235014164E1,4.932116009E0,-2.974826813E0,6.700000167E-1,2.098828125E2,5.720169366E0,4.000000000E0
8.188974977E0,5.235013645E1,4.932095474E0,-2.489231110E0,6.700000167E-1,2.376562500E2,5.273499650E0,4.000000000E0
9.188962460E0,5.235012999E1,4.932077117E0,-1.608127594E0,8.700000048E-1,2.390625000E2,5.071833445E0,4.000000000E0
1.018895137E1,5.235012371E1,4.932063958E0,-1.754245758E0,9.599999785E-1,2.327343750E2,5.546058185E0,3.000000000E0
1.118894494E1,5.235012228E1,4.932060186E0,-1.934177399E0,3.199999928E-1,2.119921875E2,4.553399557E0,3.000000000E0
1.218893814E1,5.235012325E1,4.932062197E0,-2.567234039E0,1.800000072E-1,2.109375000E2,4.760884204E0,3.000000000E0
1.318893170E1,5.235012786E1,4.932077872E0,-4.446750641E0,3.199999928E-1,1.560937500E2,5.015883366E0,3.000000000E0
1.418892288E1,5.235012786E1,4.932077872E0,-4.446750573E0,3.199999928E-1,NaN,5.052007180E0,3.097835619E0
1.518891847E1,5.235012970E1,4.932086254E0,-4.388339927E0,2.099999934E-1,NaN,5.578236468E0,3.000000000E0
1.618891466E1,5.235012270E1,4.932088098E0,-4.593112878E0,3.199999928E-1,NaN,5.298747784E0,4.000000000E0
1.718890858E1,5.235010017E1,4.932081482E0,-4.764987752E0,1.269999981E0,1.961718709E2,5.542388527E0,3.000000000E0
1.818890285E1,5.235008713E1,4.932080461E0,-4.713351968E0,1.460000038E0,1.940624959E2,5.636153929E0,3.000000000E0
