"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-3.618499963E-3,-3.748954010E0,9.772877197E0,9.436975708E0
6.410500035E-3,-3.695964203E0,9.062753906E0,9.837393036E0
1.643950003E-2,-3.721411285E0,8.291108551E0,1.022463776E1
2.646850003E-2,-3.459156647E0,7.516619110E0,1.040665924E1
3.649750003E-2,-3.206631775E0,6.653813324E0,1.046952850E1
4.652650002E-2,-3.009042664E0,5.952222290E0,1.043165726E1
5.655550002E-2,-2.795287170E0,5.456602936E0,1.027598099E1
6.658550003E-2,-2.482437744E0,5.168003082E0,1.004740631E1
7.661450002E-2,-2.056872711E0,4.868326263E0,9.580676880E0
8.664350002E-2,-1.873803406E0,4.712350616E0,9.040899353E0
9.667250002E-2,-1.698966980E0,4.609963531E0,8.514593811E0
1.067015000E-1,-1.572929077E0,4.484225006E0,7.971972198E0
1.167305000E-1,-1.433269501E0,4.342020721E0,7.371271362E0
1.267595000E-1,-1.131047974E0,4.338278503E0,6.832990723E0
1.367885000E-1,-1.047371979E0,4.331841888E0,6.426286469E0
1.468175000E-1,-1.119671631E0,4.315376129E0,6.212830353E0
1.568475000E-1,-1.334474945E0,4.223616943E0,6.121969299E0
1.668765000E-1,-1.682201843E0,3.943549347E0,6.043382721E0
1.769055000E-1,-2.046244812E0,3.607797546E0,5.866600342E0
1.869345000E-1,-2.366728363E0,3.247945862E0,5.670807495E0
1.969635000E-1,-2.566712494E0,3.053649902E0,5.546715546E0
2.069925000E-1,-2.608924713E0,3.109184418E0,5.397775269E0
2.170215000E-1,-2.595303040E0,3.137625275E0,5.280269623E0
2.270505000E-1,-2.373614044E0,3.348536682E0,5.244943085E0
2.370795000E-1,-2.105671234E0,3.714525604E0,5.047503662E0
2.471095000E-1,-1.915865936E0,3.988006897E0,4.700824585E0
2.571385000E-1,-1.797462158E0,4.139342194E0,4.394711151E0
2.671675000E-1,-1.663640442E0,4.309687958E0,4.179159393E0
2.771965000E-1,-1.605261841E0,4.508025513E0,4.197122040E0
2.872255000E-1,-1.633553009E0,4.677772522E0,4.363276520E0
2.972545000E-1,-1.714085541E0,4.901557159E0,4.497098236E0
3.072835000E-1,-1.757195892E0,5.173691254E0,4.620292053E0
3.173125000E-1,-1.839075623E0,5.423072662E0,4.771926727E0
3.273415000E-1,-1.858535156E0,5.548960876E0,5.030439148E0
3.373705000E-1,-1.865720215E0,5.624403992E0,5.440137177E0
3.474005000E-1,-1.749412079E0,5.607788544E0,5.906417542E0
3.574295000E-1,-1.807341614E0,5.627996521E0,6.549031219E0
3.674585000E-1,-2.011367340E0,5.581293640E0,7.219037933E0
3.774875000E-1,-2.168839874E0,5.411247253E0,7.920329590E0
3.875165000E-1,-2.183509369E0,5.382057953E0,8.768465881E0
3.975455000E-1,-2.048190765E0,5.520070953E0,9.515262909E0
4.075745000E-1,-1.847907257E0,5.707181854E0,1.015143997E1
4.176035000E-1,-1.644929352E0,5.964945831E0,1.064226929E1
4.276325000E-1,-1.534010010E0,6.194119263E0,1.091140961E1
4.376618750E-1,-1.512305145E0,6.385870514E0,1.092742630E1
4.476908750E-1,-1.301992493E0,6.683451691E0,1.080572937E1
4.577198750E-1,-1.308129730E0,7.169191589E0,1.047641418E1
4.677488750E-1,-1.489103394E0,7.485633545E0,1.011716125E1
4.777778750E-1,-1.441053314E0,7.515720978E0,9.998607788E0
4.878068750E-1,-1.445094910E0,7.533384247E0,1.017598892E1
4.978358750E-1,-1.595831451E0,7.459887085E0,1.069705536E1
5.078648750E-1,-1.296753387E0,7.277715912E0,1.142648849E1
