"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
-2.364499960E-3,1.094607189E-1,-4.570594728E-1,-4.021499455E-1
7.664500037E-3,7.211840153E-2,-5.097357035E-1,-4.231337905E-1
1.769350003E-2,3.478173167E-2,-5.176276565E-1,-3.993236721E-1
2.772250003E-2,1.534118969E-2,-5.220674276E-1,-3.395620584E-1
3.775150003E-2,3.769067675E-2,-5.519437790E-1,-2.534201443E-1
4.778050003E-2,7.419116050E-2,-5.796273351E-1,-1.646125317E-1
5.780950002E-2,1.375970393E-1,-5.949567556E-1,-1.014026627E-1
6.783950003E-2,1.737145633E-1,-6.225071549E-1,-8.917475492E-2
7.786850003E-2,1.783941090E-1,-6.866994500E-1,-1.178936288E-1
8.789750002E-2,1.553721428E-1,-7.719395161E-1,-1.716399640E-1
9.792650002E-2,9.553478658E-2,-8.520483971E-1,-2.397231609E-1
1.079555000E-1,2.303911839E-3,-9.380455613E-1,-2.993068695E-1
1.179845000E-1,-1.312033087E-1,-9.969585538E-1,-3.725030124E-1
1.280135000E-1,-2.720967829E-1,-1.029832125E0,-4.526777565E-1
1.380425000E-1,-4.114828706E-1,-1.049740434E0,-5.435261726E-1
1.480715000E-1,-5.278318524E-1,-1.071930170E0,-6.175178289E-1
1.581015000E-1,-6.122376919E-1,-1.055463076E0,-6.584881544E-1
1.681305000E-1,-6.617128253E-1,-1.019901156E0,-6.418127418E-1
1.781595000E-1,-6.923635602E-1,-9.653839469E-1,-5.683518052E-1
1.881885000E-1,-7.108852863E-1,-8.871865869E-1,-4.417089224E-1
1.982175000E-1,-7.184190154E-1,-8.362447023E-1,-3.010254800E-1
2.082465000E-1,-7.130336165E-1,-7.967526913E-1,-1.541830450E-1
2.182755000E-1,-6.652663946E-1,-7.393018007E-1,-3.875511140E-2
2.283045000E-1,-5.841017962E-1,-6.661532521E-1,2.333835140E-2
2.383335000E-1,-5.128811598E-1,-6.334834695E-1,4.201966524E-2
2.483635000E-1,-4.638746977E-1,-6.612264514E-1,3.360274434E-2
2.583925000E-1,-4.418374896E-1,-7.025314569E-1,1.914528315E-3
2.684215000E-1,-4.252443910E-1,-6.900161505E-1,-4.773345217E-2
2.784505000E-1,-3.964481652E-1,-6.132507920E-1,-1.017916277E-1
2.884795000E-1,-3.689683378E-1,-5.222423673E-1,-1.480368972E-1
2.985085000E-1,-3.652445376E-1,-4.450953901E-1,-1.823809892E-1
3.085375000E-1,-3.872819245E-1,-3.850216866E-1,-1.968435496E-1
3.185665000E-1,-4.154535532E-1,-3.598795831E-1,-2.000622749E-1
3.285955000E-1,-4.505364299E-1,-3.621083796E-1,-1.946728379E-1
3.386245000E-1,-4.848047793E-1,-4.085768759E-1,-1.855236590E-1
3.486545000E-1,-5.190796852E-1,-4.812180698E-1,-2.017004937E-1
3.586835000E-1,-5.336261392E-1,-5.558393598E-1,-2.023971528E-1
3.687125000E-1,-5.336088538E-1,-6.432962418E-1,-1.437631398E-1
3.787415000E-1,-4.965324104E-1,-7.176780105E-1,-6.085494533E-2
3.887705000E-1,-4.053454995E-1,-7.927493453E-1,2.291425318E-2
3.987995000E-1,-2.649681866E-1,-8.659457564E-1,1.059281453E-1
4.088285000E-1,-8.537553251E-2,-8.925291300E-1,1.809488684E-1
4.188575000E-1,1.088100448E-1,-8.520382643E-1,2.413153052E-1
4.288865000E-1,2.852956057E-1,-7.507089972E-1,2.905454338E-1
4.389158750E-1,4.187821150E-1,-6.023138165E-1,3.129816949E-1
4.489448750E-1,4.796161950E-1,-4.134808481E-1,3.158177137E-1
4.589738750E-1,4.406584799E-1,-2.452320755E-1,3.151480556E-1
