"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.364499960E-3,-5.480039746E-1,3.581688559E0,2.533411431E0
7.664500037E-3,-5.029704738E-1,2.878422298E0,2.924004267E0
1.769350003E-2,-5.386542767E-1,2.116309658E0,3.298020832E0
2.772250003E-2,-2.895494413E-1,1.352038227E0,3.464927849E0
3.775150003E-2,-5.606310368E-2,4.969022334E-1,3.512341166E0
4.778050003E-2,1.148808306E-1,-2.019575661E-1,3.460051855E0
5.780950002E-2,2.954679930E-1,-7.008636403E-1,3.292505153E0
6.783950003E-2,5.713890365E-1,-9.977489984E-1,3.054999440E0
7.786850003E-2,9.574625596E-1,-1.306770837E0,2.579386334E0
8.789750002E-2,1.098085757E0,-1.470301672E0,2.028140078E0
9.792650002E-2,1.228537431E0,-1.575538105E0,1.485697390E0
1.079555000E-1,1.308130607E0,-1.697092363E0,9.202400619E-1
1.179845000E-1,1.399775480E0,-1.825239941E0,2.878496557E-1
1.280135000E-1,1.655042696E0,-1.803025199E0,-2.914872086E-1
1.380425000E-1,1.694679801E0,-1.771088877E0,-7.480775678E-1
1.480715000E-1,1.581182130E0,-1.737697182E0,-1.019167934E0
1.581015000E-1,1.327408877E0,-1.770492461E0,-1.173311648E0
1.681305000E-1,9.424515876E-1,-1.986317868E0,-1.317593449E0
1.781595000E-1,5.406785828E-1,-2.255832410E0,-1.560496727E0
1.881885000E-1,1.806070429E-1,-2.550071318E0,-1.821200100E0
1.982175000E-1,-6.274033159E-2,-2.681028484E0,-2.008394616E0
2.082465000E-1,-1.541021991E-1,-2.565314425E0,-2.218655228E0
2.182755000E-1,-1.942643845E-1,-2.481521485E0,-2.394123738E0
2.283045000E-1,-2.655469134E-2,-2.222170574E0,-2.481287597E0
2.383335000E-1,1.892578523E-1,-1.814450659E0,-2.724228882E0
2.483635000E-1,3.264845484E-1,-1.503786922E0,-3.112507975E0
2.583925000E-1,3.901617502E-1,-1.317375932E0,-3.458608763E0
2.684215000E-1,4.697838704E-1,-1.112218185E0,-3.713086020E0
2.784505000E-1,4.802733368E-1,-8.797089171E-1,-3.731242209E0
2.884795000E-1,4.135763405E-1,-6.770023227E-1,-3.597361436E0
2.985085000E-1,3.032792884E-1,-4.205574775E-1,-3.492985128E0
3.085375000E-1,2.371328075E-1,-1.144919908E-1,-3.398053828E0
3.185665000E-1,1.360081364E-1,1.711567730E-1,-3.274968769E0
3.285955000E-1,9.783298105E-2,3.359400809E-1,-3.046264869E0
3.386245000E-1,6.956505552E-2,4.530773520E-1,-2.668386803E0
3.486545000E-1,1.592907259E-1,4.812591773E-1,-2.236778673E0
3.586835000E-1,6.953611180E-2,5.484793532E-1,-1.630940473E0
3.687125000E-1,-1.747069100E-1,5.490868789E-1,-9.992143106E-1
3.787415000E-1,-3.834096779E-1,4.237138045E-1,-3.363558179E-1
3.887705000E-1,-4.595987517E-1,4.325068474E-1,4.759282708E-1
3.987995000E-1,-3.968059413E-1,5.975333995E-1,1.191942632E0
4.088285000E-1,-2.775013997E-1,7.971187502E-1,1.805110901E0
4.188575000E-1,-1.584174442E-1,1.050538246E0,2.283143000E0
4.288865000E-1,-1.281861699E-1,1.259231220E0,2.550390576E0
4.389158750E-1,-1.786052486E-1,1.416988513E0,2.574728442E0
4.489448750E-1,-2.657296389E-2,1.672403664E0,2.469135329E0
4.589738750E-1,-7.600678682E-2,2.115323818E0,2.159179105E0
4.690028750E-1,-2.874739721E-1,2.396295978E0,1.817111142E0
4.790318750E-1,-2.586180360E-1,2.404827066E0,1.709052842E0
4.890608750E-1,-2.713999763E-1,2.416944251E0,1.888614403E0
4.990898750E-1,-4.225456770E-1,2.349829910E0,2.405685437E0
5.091188750E-1,-1.137426701E-1,2.176481016E0,3.131068792E0
