"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.343538761E-1,5.233664905E1,4.888615823E0,1.685995824E0,1.323053360E0,9.277515786E1,4.669047242E0,3.467641112E0
1.634344220E0,5.233664654E1,4.888632973E0,1.499298922E0,1.313035846E0,9.355113553E1,4.641825829E0,3.503996291E0
2.634335518E0,5.233664298E1,4.888653129E0,1.350416425E0,1.307781458E0,9.595231574E1,4.638076617E0,3.508957442E0
3.634326458E0,5.233664418E1,4.888672910E0,1.401796259E0,1.307781458E0,9.066448581E1,4.657688132E0,3.482883618E0
4.634319186E0,5.233664374E1,4.888696830E0,1.406781612E0,1.366874695E0,9.379062990E1,4.661195785E0,3.478187874E0
5.634309530E0,5.233664268E1,4.888715574E0,1.406864059E0,1.366874695E0,9.156068928E1,4.671362589E0,3.464521410E0
6.634302258E0,5.233664075E1,4.888729199E0,1.384436673E0,1.343794703E0,9.505797804E1,4.676113963E0,3.458105730E0
7.634294510E0,5.233663926E1,4.888745481E0,1.400796704E0,1.328190923E0,9.730325905E1,4.682828817E0,3.449007292E0
8.634286880E0,5.233664194E1,4.888766436E0,1.398318641E0,1.304713249E0,8.571244833E1,4.651343662E0,3.491352055E0
9.634279132E0,5.233663925E1,4.888788248E0,1.388313796E0,1.326818824E0,9.282286678E1,4.659365963E0,3.480638714E0
1.063427234E1,5.233663901E1,4.888808843E0,1.359015920E0,1.326818824E0,8.917400898E1,4.666029592E0,3.471700575E0
1.163426518E1,5.233663924E1,4.888828587E0,1.428472564E0,1.326818824E0,8.673830886E1,4.644609342E0,3.500305858E0
1.263425720E1,5.233668496E1,4.888840886E0,2.172453811E0,1.247672802E0,6.638487738E1,4.771289492E0,3.325557640E0
1.363425052E1,5.233668500E1,4.888865345E0,1.975159796E0,1.251379354E0,8.650102431E1,4.768050520E0,3.330199885E0
1.463424492E1,5.233667976E1,4.888884928E0,1.750249724E0,1.098151542E0,8.459214260E1,4.771203949E0,3.325680368E0
1.563423836E1,5.233667727E1,4.888909371E0,2.094174425E0,1.232486220E0,8.701702645E1,4.772354264E0,3.324029454E0
1.663423133E1,5.233668212E1,4.888929671E0,2.083336712E0,1.482594902E0,8.521419810E1,4.776085159E0,3.318666538E0
1.763422978E1,5.233667449E1,4.888949564E0,1.675898287E0,1.145558070E0,9.050475866E1,4.770169319E0,3.327164213E0
1.863421953E1,5.233667578E1,4.888976291E0,1.467488547E0,1.219003488E0,7.986288882E1,4.768984930E0,3.328861632E0
1.963421297E1,5.233666969E1,4.888999297E0,1.795216252E0,9.948727015E-1,8.857315246E1,4.770163931E0,3.327171938E0
2.063420725E1,5.233665141E1,4.889024501E0,2.118093635E0,1.224743291E0,1.073530365E2,4.776688669E0,3.317797823E0
2.163420057E1,5.233665790E1,4.889028354E0,2.259990378E0,1.282957646E0,9.607312102E1,4.739026946E0,3.371373701E0
2.263419533E1,5.233665975E1,4.889046778E0,2.245355733E0,1.022009332E0,8.365666586E1,4.737996372E0,3.372821877E0
2.363418877E1,5.233665592E1,4.889069836E0,2.437623248E0,1.192078730E0,8.576526565E1,4.736273695E0,3.375240513E0
2.463418412E1,5.233664819E1,4.889098156E0,2.635386440E0,1.332924877E0,8.794236209E1,4.738041631E0,3.372758299E0
2.563417757E1,5.233664495E1,4.889124482E0,2.481428586E0,1.424085503E0,8.557663262E1,4.738404572E0,3.372248381E0
2.663417292E1,5.233663780E1,4.889146825E0,2.207676441E0,1.533419856E0,8.718245160E1,4.737881292E0,3.372983530E0
2.763416672E1,5.233663245E1,4.889167909E0,1.793212541E0,1.548230301E0,8.575474592E1,4.739476589E0,3.370741564E0
2.863416159E1,5.233662515E1,4.889189261E0,1.728269154E0,1.547334078E0,9.112956044E1,4.738566020E0,3.372021516E0
2.963415587E1,5.233662209E1,4.889212312E0,2.001408607E0,1.555994524E0,8.669140596E1,4.736060351E0,3.375539865E0
3.063415051E1,5.233662317E1,4.889234464E0,2.634932416E0,1.562079702E0,7.902126993E1,4.735485963E0,3.376345618E0
3.163414478E1,5.233662094E1,4.889257344E0,2.376566515E0,1.595453452E0,7.919784179E1,4.735169853E0,3.376788933E0
3.263414001E1,5.233661112E1,4.889278818E0,2.256614218E0,1.561300030E0,9.445555373E1,4.736570369E0,3.374824169E0
3.363413477E1,5.233660165E1,4.889299020E0,1.919560786E0,1.561571576E0,1.068234303E2,4.736691726E0,3.374653838E0
3.463412929E1,5.233659830E1,4.889321421E0,2.032864496E0,1.550158332E0,1.020409232E2,4.735663060E0,3.376097216E0
3.563412404E1,5.233659962E1,4.889344140E0,1.844288361E0,1.556918217E0,8.963410628E1,4.736089357E0,3.375499168E0
3.663411832E1,5.233659751E1,4.889364382E0,1.817523859E0,1.533518142E0,8.872787089E1,4.739456177E0,3.370770265E0
3.763411343E1,5.233659355E1,4.889385866E0,2.419230008E0,1.576804152E0,9.190036942E1,4.740274429E0,3.369619470E0
3.863410878E1,5.233658669E1,4.889407782E0,2.675834420E0,1.582038754E0,1.026296539E2,4.740630381E0,3.369118672E0
3.963410318E1,5.233657964E1,4.889430235E0,2.976065990E0,1.582851880E0,1.026296539E2,4.736971994E0,3.374260416E0
4.063409805E1,5.233657381E1,4.889452283E0,2.909043422E0,1.590212445E0,1.026296539E2,4.737523572E0,3.373485947E0
4.163409376E1,5.233656731E1,4.889476469E0,3.300245990E0,1.571553575E0,9.825523376E1,4.738024421E0,3.372782475E0
4.263408828E1,5.233656317E1,4.889497829E0,3.357387908E0,1.567176456E0,9.825523376E1,4.739366532E0,3.370896306E0
4.363408315E1,5.233655836E1,4.889520990E0,3.366143803E0,1.584482484E0,9.825523376E1,4.739350852E0,3.370918352E0
4.463407755E1,5.233655853E1,4.889540800E0,3.055052717E0,1.513157225E0,9.910733795E1,4.737402538E0,3.373655914E0
4.563407314E1,5.233655680E1,4.889563160E0,3.336981075E0,1.577325425E0,9.910733795E1,4.735136067E0,3.376836310E0
4.663406944E1,5.233655184E1,4.889584570E0,3.495942075E0,1.587330321E0,9.910733795E1,4.734818252E0,3.377281918E0
4.763406372E1,5.233654830E1,4.889607657E0,3.589945649E0,1.591608023E0,9.910733795E1,4.734111750E0,3.378272188E0
4.863405812E1,5.233654293E1,4.889630257E0,3.633925707E0,1.586938295E0,1.005131073E2,4.732787696E0,3.380126871E0
4.963405335E1,5.233654062E1,4.889651813E0,3.514449187E0,1.581132934E0,1.005131073E2,4.732935641E0,3.379919711E0
5.063404894E1,5.233654221E1,4.889675572E0,3.164056711E0,1.583283707E0,1.005131073E2,4.732870262E0,3.380011259E0
5.163404417E1,5.233653812E1,4.889697425E0,3.403510329E0,1.581157160E0,1.005131073E2,4.732215837E0,3.380927432E0
5.263404167E1,5.233653561E1,4.889717779E0,3.575523809E0,1.561044598E0,1.005131073E2,4.733201781E0,3.379547001E0
5.363403428E1,5.233653464E1,4.889737230E0,3.330692163E0,1.561376102E0,1.005131073E2,4.732039045E0,3.381174871E0
5.463402891E1,5.233653558E1,4.889755534E0,3.560340399E0,1.431924427E0,1.005131073E2,4.731412502E0,3.382051563E0
5.563402390E1,5.233653377E1,4.889771438E0,3.582763189E0,1.314773801E0,1.005131073E2,4.728440068E0,3.386206070E0
5.663401914E1,5.233653169E1,4.889789697E0,3.851390795E0,1.468495734E0,1.005131073E2,4.728984019E0,3.385446378E0
5.763401461E1,5.233653116E1,4.889806692E0,3.893544219E0,1.512598629E0,8.372605314E1,4.731018052E0,3.382603320E0
5.863401222E1,5.233653252E1,4.889823549E0,3.838468148E0,1.574672630E0,7.579278642E1,4.728777658E0,3.385734616E0
5.963400817E1,5.233653719E1,4.889837265E0,3.852172975E0,1.627717945E0,6.295321650E1,4.729134256E0,3.385236509E0
6.063399971E1,5.233654259E1,4.889853891E0,3.777335654E0,1.632346072E0,5.897680205E1,4.731317423E0,3.382184572E0
6.163399482E1,5.233655164E1,4.889867276E0,3.975801470E0,1.631458480E0,5.231465844E1,4.734036584E0,3.378377518E0
6.263399458E1,5.233655877E1,4.889888288E0,4.067701025E0,1.625329833E0,5.634479213E1,4.727638416E0,3.387325204E0
6.363398564E1,5.233656462E1,4.889913581E0,3.896792314E0,1.642495508E0,6.469983313E1,4.738975139E0,3.371446525E0
6.463398159E1,5.233657254E1,4.889937818E0,3.874399750E0,1.636959920E0,7.010221299E1,4.768116150E0,3.330105916E0
6.563397694E1,5.233658183E1,4.889959091E0,4.218308359E0,1.538544653E0,7.113849514E1,4.790566362E0,3.297728152E0
6.663397181E1,5.233659440E1,4.889971395E0,3.951501097E0,1.332076925E0,6.772123386E1,4.833779911E0,3.234054546E0
6.763396978E1,5.233659698E1,4.889975057E0,3.938889263E0,7.748771103E-1,4.030805588E1,4.840819490E0,3.223507981E0
6.863396239E1,5.233660984E1,4.890001895E0,3.559213130E0,9.305760381E-1,4.073095703E1,4.827321619E0,3.243686641E0
6.963395667E1,5.233660942E1,4.890021570E0,3.967577037E0,9.253727008E-1,4.073095703E1,4.845182291E0,3.216946626E0
7.063395154E1,5.233662333E1,4.890028126E0,3.751458555E0,8.396989014E-1,4.073095703E1,4.823797375E0,3.248925348E0
7.163394749E1,5.233664079E1,4.890054100E0,4.145555108E0,1.003613547E0,4.073095703E1,4.808589090E0,3.271392364E0
7.263394296E1,5.233665254E1,4.890072245E0,4.186594613E0,1.222638496E0,4.073095703E1,4.812508003E0,3.265624558E0
7.363393831E1,5.233667147E1,4.890091173E0,4.580134347E0,1.315274722E0,4.073095703E1,4.798803819E0,3.285729591E0
7.463393319E1,5.233668446E1,4.890111160E0,4.825676469E0,1.288047102E0,4.073095703E1,4.789163405E0,3.299765281E0
7.563392818E1,5.233669111E1,4.890124574E0,4.744360741E0,1.066644821E0,4.073095703E1,4.760927911E0,3.340374599E0
7.663392413E1,5.233668515E1,4.890123109E0,5.142156351E0,5.127173572E-1,4.073095703E1,4.751512486E0,3.353754034E0
7.763391900E1,5.233669243E1,4.890133345E0,5.566342323E0,6.832923000E-1,4.073095703E1,4.761483086E0,3.339583185E0
7.863391423E1,5.233670214E1,4.890146992E0,5.464759891E0,9.397335648E-1,4.073095703E1,4.782140275E0,3.309935259E0
