"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.623916673E-3,-1.623074799E0,3.218157806E0,7.573650513E0
1.157429168E-2,-1.251098328E0,3.460952911E0,7.219187622E0
2.152429166E-2,-1.113085327E0,3.639232178E0,7.253166962E0
3.147429164E-2,-1.316063232E0,3.523073730E0,7.309150543E0
4.142329167E-2,-1.738484802E0,3.181035004E0,7.333699493E0
5.137329164E-2,-1.604663086E0,2.837499390E0,7.243137817E0
6.132329168E-2,-1.438508606E0,2.813848572E0,7.295379181E0
7.127329166E-2,-1.760489044E0,3.015179901E0,7.614216156E0
8.122229169E-2,-1.652264099E0,2.770887909E0,7.727231140E0
9.117229166E-2,-1.103654938E0,2.520009613E0,7.792345734E0
1.011222916E-1,-8.125103760E-1,2.564167786E0,8.797206116E0
1.110722917E-1,-9.294172668E-1,2.545905762E0,1.017239639E1
1.210212916E-1,-1.308578796E0,2.192191315E0,1.077145065E1
1.309712917E-1,-1.355281677E0,1.721120911E0,1.056383240E1
1.409212917E-1,-9.999206543E-1,1.527423706E0,1.059676392E1
1.508712916E-1,-6.048921204E-1,1.635648651E0,1.084434906E1
1.608202917E-1,-2.519261169E-1,1.469494171E0,1.160207336E1
1.707702916E-1,5.987548828E-4,1.115929413E0,1.167302582E1
1.807202917E-1,7.708969116E-2,7.972421265E-1,1.111154343E1
1.906702917E-1,-1.899549866E-1,5.155279541E-1,1.089165070E1
2.006192917E-1,-2.544708252E-1,6.358776855E-1,1.099284027E1
2.105692917E-1,-2.505789185E-1,9.642947388E-1,1.102232895E1
2.205192916E-1,-2.803669739E-1,1.149160309E0,1.094538895E1
2.304692917E-1,-2.350112915E-1,1.133742371E0,1.068043991E1
2.404182917E-1,-1.320254517E-1,9.228309631E-1,1.034573593E1
2.503682917E-1,1.440005493E-1,7.167095947E-1,9.922565918E0
2.603182917E-1,3.005749512E-1,6.947053528E-1,9.658515015E0
2.702682916E-1,4.562512207E-1,5.807922363E-1,9.300010529E0
2.802172917E-1,5.692662048E-1,-2.121089172E-1,1.002465363E1
2.901672916E-1,3.276686096E-1,-3.225791931E-1,1.139939484E1
3.001172917E-1,-3.384461975E-1,-4.222718811E-1,1.197240326E1
3.100672917E-1,-7.080276489E-1,-2.140548706E-1,1.147453857E1
3.200162917E-1,-4.550537109E-1,5.406756592E-1,1.027508286E1
3.299662917E-1,-1.712438965E-1,1.403032379E0,8.522677002E0
3.399162916E-1,5.613327026E-1,1.392554169E0,6.944209442E0
3.498662917E-1,7.032376099E-1,1.294208679E0,4.968168640E0
3.598152917E-1,4.102967834E-1,1.296753387E0,3.078947296E0
3.697652917E-1,5.929170227E-1,8.864566040E-1,2.385589142E0
3.797152917E-1,1.120719452E0,8.623567200E-1,3.806135101E0
3.896652916E-1,1.529669037E0,6.415658569E-1,5.521867218E0
3.996142917E-1,2.138153687E0,-4.635859680E-1,1.295915131E1
4.095642917E-1,2.004182281E0,-8.250842285E-1,1.180160843E1
4.195142917E-1,-2.223775635E0,-6.478527832E-1,7.836204529E0
4.294642917E-1,-1.510059814E0,-5.824388123E-1,9.685159607E0
4.394132917E-1,-1.078656921E0,-1.285526733E0,1.009800110E1
4.493632917E-1,-2.995870056E0,-1.921703796E0,1.208092758E1
4.593132916E-1,-2.592758331E0,-1.373543701E0,1.026071274E1
4.692632917E-1,-2.595452728E0,-4.567002869E-1,8.992250519E0
4.792122917E-1,-3.728895721E0,-2.574645996E-2,9.304950256E0
4.891622917E-1,-2.677781525E0,-3.282673645E-1,8.771459656E0
4.991122917E-1,-2.030377808E0,-6.685098267E-1,7.455546112E0
5.090622916E-1,-2.120041351E0,-7.969427490E-1,6.242019653E0
5.190112917E-1,-9.729766846E-1,-1.069825287E0,5.178930359E0
5.289612917E-1,-5.269042969E-2,-1.431024170E0,4.396507416E0
5.389112917E-1,-2.335144043E-1,-1.918710022E0,3.613186340E0
5.488612917E-1,-6.376739502E-1,-2.583777008E0,3.473975830E0
5.588102916E-1,-7.964936829E-1,-3.464994507E0,3.434607697E0
5.687602917E-1,-7.559280396E-1,-4.239184570E0,3.446283417E0
5.787102917E-1,-8.069718933E-1,-4.588857422E0,3.561244354E0
5.886602917E-1,-1.211430817E0,-4.949607239E0,3.804937592E0
5.986092917E-1,-1.786385193E0,-5.526956635E0,3.756438446E0
6.085592917E-1,-2.378404083E0,-6.244414673E0,3.507206726E0
6.185092917E-1,-2.923271027E0,-6.694828033E0,3.507805481E0
6.284592916E-1,-3.558549957E0,-6.985224152E0,3.429218903E0
6.384082917E-1,-4.232448578E0,-7.308102722E0,3.280727692E0
6.483582917E-1,-5.111720123E0,-8.065527649E0,3.330424347E0
6.583082917E-1,-6.016738129E0,-9.017547913E0,3.802692261E0
6.682582917E-1,-6.336473236E0,-9.858648834E0,4.372257843E0
6.782072916E-1,-6.924001465E0,-1.033016830E1,4.905449066E0
6.881572917E-1,-7.895481262E0,-1.074645264E1,5.354515228E0
6.981072917E-1,-9.081914063E0,-1.139101227E1,5.726342010E0
7.080572917E-1,-1.029394363E1,-1.191626999E1,6.042933655E0
7.180062917E-1,-1.172945847E1,-1.247835114E1,6.349496155E0
7.279562916E-1,-1.352332809E1,-1.312605423E1,6.800059204E0
7.379062917E-1,-1.488729172E1,-1.326541443E1,7.147037659E0
7.478562917E-1,-1.602223160E1,-1.297022827E1,7.201524353E0
7.578052917E-1,-1.737242386E1,-1.257205627E1,6.775061188E0
7.677552917E-1,-1.882664978E1,-1.207943069E1,6.138135681E0
7.777052917E-1,-2.041290115E1,-1.127560226E1,5.247787170E0
7.876552917E-1,-2.165307220E1,-9.965376892E0,3.956721954E0
7.976042916E-1,-2.237502090E1,-8.629854126E0,2.428998871E0
8.075542917E-1,-2.247860550E1,-7.408693542E0,9.117539978E-1
8.175042917E-1,-2.231709137E1,-6.512956238E0,-5.260061646E-1
8.274542917E-1,-2.222892471E1,-6.050118713E0,-1.534010010E0
8.374032917E-1,-2.187895248E1,-5.560486908E0,-2.425106964E0
8.473532916E-1,-2.102812180E1,-5.195695496E0,-3.062631226E0
8.573032917E-1,-2.006038422E1,-4.893174591E0,-3.071762238E0
8.672532917E-1,-1.874417130E1,-4.624932404E0,-3.056344299E0
8.772022917E-1,-1.736269409E1,-4.689597931E0,-3.054697723E0
8.871522917E-1,-1.619826553E1,-4.885690155E0,-2.589764557E0
8.971022916E-1,-1.508143799E1,-5.087021484E0,-1.930236053E0
9.070522917E-1,-1.410367126E1,-5.289999390E0,-1.395248566E0
9.170012916E-1,-1.326661194E1,-5.389692078E0,-8.535250854E-1
9.269512917E-1,-1.202973404E1,-5.371280365E0,-7.096742249E-1
9.369012917E-1,-1.090572144E1,-5.163512421E0,-8.803193665E-1
9.468512917E-1,-1.057625656E1,-4.891378326E0,-3.183879089E-1
9.568002917E-1,-9.997110901E0,-4.229903870E0,1.910028076E-1
9.667502916E-1,-9.186546478E0,-3.473377075E0,5.930667114E-1
9.767002917E-1,-8.246351624E0,-3.245101776E0,8.144563293E-1
9.866502917E-1,-7.145989838E0,-3.581751709E0,2.049238586E-1
9.965992917E-1,-6.186335449E0,-3.812721405E0,-6.041436768E-1
1.006549292E0,-5.162913666E0,-3.912264404E0,-1.556762695E0
1.016499458E0,-4.210144958E0,-4.041445770E0,-2.560126190E0
1.026449458E0,-3.762725372E0,-4.502936096E0,-2.093845825E0
1.036398458E0,-3.416645050E0,-4.873565369E0,-6.917115784E-1
1.046348458E0,-2.753823395E0,-5.352419586E0,-6.107299805E-2
1.056298458E0,-4.471651154E0,-4.611460419E0,7.235952759E-1
1.066248458E0,-6.885980530E0,-3.086880798E0,1.194665680E0
1.076197458E0,-7.057374115E0,-2.115251312E0,1.083596649E0
1.086147458E0,-6.710994415E0,-2.345622253E0,6.027964783E-1
1.096097458E0,-8.395591278E0,-1.852996674E0,1.709145813E0
1.106047458E0,-8.603508911E0,-2.558180237E0,1.496737518E0
1.115996458E0,-8.723708954E0,-2.463876343E0,1.491947479E0
1.125946458E0,-8.602610779E0,-2.460882568E0,2.283800812E0
1.135896458E0,-8.269403687E0,-2.473905487E0,3.126847687E0
