"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.086916689E-3,-5.071458817E-1,-1.919419914E-1,2.537234426E-1
1.903629169E-2,-7.949731946E-1,-2.651469409E-1,2.371490002E-1
2.898629167E-2,-1.054292679E0,-3.120704293E-1,2.002133727E-1
3.893629165E-2,-1.266667008E0,-4.011835158E-1,1.993824542E-1
4.888629168E-2,-1.494469404E0,-4.557844400E-1,1.658397317E-1
5.883529165E-2,-1.728889942E0,-4.914705455E-1,1.601107419E-1
6.878529169E-2,-1.911602736E0,-5.758991241E-1,2.113798857E-1
7.873529167E-2,-2.053616762E0,-8.283018470E-1,3.113509417E-1
8.868529164E-2,-2.199324608E0,-9.070433974E-1,4.118220806E-1
9.863429167E-2,-2.283313513E0,-7.077068090E-1,4.857261479E-1
1.085842917E-1,-2.225122929E0,-5.152003169E-1,5.554006100E-1
1.185342917E-1,-2.052337646E0,-3.929939866E-1,6.449773908E-1
1.284842917E-1,-1.900946617E0,-2.171434760E-1,7.354075909E-1
1.384332917E-1,-1.806241870E0,-2.248847485E-1,7.712230682E-1
1.483832917E-1,-1.663541913E0,-3.656172454E-1,7.613279223E-1
1.583332916E-1,-1.450770855E0,-5.253933072E-1,7.065866590E-1
1.682832917E-1,-1.241410971E0,-5.453909039E-1,5.617876053E-1
1.782322917E-1,-1.048949480E0,-5.085535049E-1,4.133563340E-1
1.881822917E-1,-8.513476849E-1,-4.294764996E-1,3.444712758E-1
1.981322917E-1,-6.574919224E-1,-3.077037036E-1,3.164526820E-1
2.080822916E-1,-4.537836313E-1,-2.169573307E-1,3.401991427E-1
2.180312917E-1,-2.695599794E-1,-2.005328238E-1,3.695216179E-1
2.279812917E-1,-1.070718393E-1,-1.942145973E-1,3.651789725E-1
2.379312917E-1,1.392035838E-2,-2.188336551E-1,3.132177889E-1
2.478812917E-1,1.398481429E-1,-3.057997525E-1,2.761323750E-1
2.578302916E-1,1.734244823E-1,-5.140738487E-1,2.528693974E-1
2.677802917E-1,2.607167065E-1,-3.461855054E-1,1.726509631E-1
2.777302917E-1,6.508189440E-1,1.043696702E-1,-4.775624722E-2
2.876802917E-1,9.755101204E-1,3.408271819E-2,-2.572795451E-1
2.976292917E-1,1.004909277E0,3.748384118E-2,-3.168030381E-1
3.075792917E-1,9.044165015E-1,-1.335144937E-1,-2.365009934E-1
3.175292917E-1,7.351406813E-1,-5.166301727E-1,-1.558876485E-1
3.274792916E-1,4.333439469E-2,-1.292742014E0,-2.607171237E-1
3.374282917E-1,-4.574434757E-1,-1.190539122E0,-2.991774380E-1
3.473782917E-1,-1.052684546E0,-7.954280972E-1,-3.896638155E-1
3.573282917E-1,-1.646799564E0,2.329222411E-1,-4.287132025E-1
3.672782917E-1,-2.142590761E0,1.095112920E0,-3.954986930E-1
3.772272916E-1,-2.481360197E0,1.695383787E0,-3.925657570E-1
3.871772917E-1,-2.636932135E0,2.424410343E0,-4.873778820E-1
3.971272917E-1,-1.583807111E0,9.357373118E-1,-8.840514421E-1
4.070772917E-1,-1.432319164E0,2.048773289E0,-1.169423223E0
4.170262917E-1,-1.190686107E0,2.479741812E0,-1.103396773E0
4.269762916E-1,-7.740135193E-1,2.563116074E0,-1.210128307E0
4.369262917E-1,-2.939635515E-1,1.935420632E0,-1.242504120E0
4.468762917E-1,1.778739393E-1,1.663059354E0,-1.153820157E0
4.568252917E-1,5.409519672E-1,1.775660992E0,-1.076383352E0
4.667752917E-1,8.716834784E-1,1.422281027E0,-1.045451760E0
