"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.086916689E-3,-2.583981076E-1,-1.049274078E-1,-1.790280023E0
1.903629169E-2,7.875760943E-3,1.942819262E-1,-1.916427854E0
2.898629167E-2,-5.368540652E-2,3.379485995E-1,-1.893122606E0
3.893629165E-2,-4.727565218E-1,1.509990817E-1,-1.881203057E0
4.888629168E-2,-7.327057495E-1,-4.388744652E-2,-1.953151876E0
5.883529165E-2,-4.767281699E-1,-1.865115613E-1,-2.117191418E0
6.878529169E-2,-6.367519174E-1,2.141001865E-1,-1.898687986E0
7.873529167E-2,-9.689912224E-1,3.616263145E-1,-1.718327111E0
8.868529164E-2,-6.040075828E-1,2.395699270E-1,-1.792597275E0
9.863429167E-2,-2.398641150E-1,3.577579428E-1,-1.368717994E0
1.085842917E-1,-2.151859779E-1,6.340687032E-1,-8.755035996E-2
1.185342917E-1,-5.592311402E-1,6.712328750E-1,9.913170612E-1
1.284842917E-1,-8.970714931E-1,3.718821846E-1,1.006464273E0
1.384332917E-1,-7.239601421E-1,1.882654336E-1,8.564282280E-1
1.483832917E-1,-3.527134402E-1,3.434694674E-1,9.275502509E-1
1.583332916E-1,-2.346597277E-2,5.426982842E-1,1.474425128E0
1.682832917E-1,2.054798192E-1,3.291500017E-1,2.014465195E0
1.782322917E-1,3.657590535E-1,1.274293940E-1,1.626845083E0
1.881822917E-1,1.778374179E-1,-1.156394338E-1,1.155789882E0
1.981322917E-1,-7.259977872E-2,-1.541357475E-1,1.153303061E0
2.080822916E-1,-7.983965496E-2,1.825576741E-1,1.226827120E0
2.180312917E-1,-1.319406853E-1,4.985352511E-1,1.222415396E0
2.279812917E-1,-1.515987776E-1,5.961803903E-1,1.022308474E0
2.379312917E-1,-9.719465696E-2,4.864860034E-1,7.471595550E-1
2.478812917E-1,5.836974802E-2,2.268519406E-1,3.091031152E-1
2.578302916E-1,2.786269704E-1,8.902674537E-2,2.724042356E-2
2.677802917E-1,3.387452826E-1,1.270280192E-1,-3.807198125E-1
2.777302917E-1,5.232448535E-1,-4.942500094E-1,-2.786835605E-1
2.876802917E-1,4.618637803E-1,-1.052041200E0,9.355866641E-1
2.976292917E-1,2.697449630E-2,-1.193161264E0,2.074299753E0
3.075792917E-1,-6.423615899E-1,-1.316297413E0,2.058836206E0
3.175292917E-1,-6.696385586E-1,-8.763241833E-1,1.175633578E0
3.274792916E-1,-4.428734491E-1,-5.822204188E-2,-2.486142540E-1
3.374282917E-1,-1.422483946E-1,5.386417052E-1,-2.123636220E0
3.473782917E-1,4.546112229E-1,2.779143593E-1,-3.664143655E0
3.573282917E-1,1.342495132E-1,5.797735052E-1,-5.849717091E0
3.672782917E-1,1.254942945E-1,4.181698401E-1,-7.333024725E0
3.772272916E-1,6.566372745E-1,4.424191570E-1,-6.820789922E0
3.871772917E-1,1.417562710E0,6.421085516E-1,-5.179226813E0
3.971272917E-1,1.891783302E0,2.472311865E-1,-1.842721946E0
4.070772917E-1,2.962372527E0,-6.437603170E-1,5.080728711E0
4.170262917E-1,3.379514500E-1,-4.096759919E-1,-1.453116705E0
4.269762916E-1,-1.686598072E0,-1.164197813E-1,-7.727118874E-1
4.369262917E-1,1.764580049E-1,-3.584245985E-1,-6.876325607E-3
4.468762917E-1,-8.853835668E-1,-1.223679272E0,1.573165305E0
4.568252917E-1,-1.817245774E0,-1.262880029E0,1.768300340E0
4.667752917E-1,-7.427044152E-1,-4.766909305E-1,-3.297016865E-1
4.767252917E-1,-1.746433361E0,2.174284948E-1,-6.114170283E-1
4.866752917E-1,-1.734507380E0,1.056705158E-1,-3.982959580E-1
4.966242916E-1,-3.099499382E-1,-5.104046968E-1,-1.558714496E0
