"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.473929644E-1,5.229746650E1,5.227314744E0,5.576725960E0,NaN,NaN,3.500000000E1,2.627849817E0
1.516186833E0,5.229727677E1,5.227326220E0,1.014828110E1,4.399999976E-1,1.216406250E2,1.368509383E1,1.200000000E1
2.387187243E0,5.229727991E1,5.227328483E0,1.048177719E1,4.399999976E-1,1.216406250E2,1.458480866E1,1.200000000E1
3.388187051E0,5.229732300E1,5.227391180E0,1.135201645E1,4.399999976E-1,9.140625000E0,9.096529417E0,6.000000000E0
3.910186768E0,5.229731453E1,5.227392269E0,-4.691505432E-1,1.309999943E0,9.492187500E0,5.530481879E0,6.000000000E0
4.910187364E0,5.229732773E1,5.227390509E0,1.003139496E0,1.399999976E0,3.529687500E2,4.379568670E0,6.000000000E0
5.910187244E0,5.229730682E1,5.227339379E0,-2.827793121E0,1.799999952E0,3.571875000E2,4.518779245E0,6.000000000E0
6.910203934E0,5.229732522E1,5.227340972E0,-2.247348785E0,1.799999952E0,1.546875000E1,4.439106105E0,6.000000000E0
7.910201073E0,5.229734282E1,5.227335105E0,-2.248935699E0,1.309999943E0,3.434765625E2,4.481581490E0,6.000000000E0
8.910197854E0,5.229736750E1,5.227348432E0,-1.969028473E0,1.309999943E0,2.074218750E1,4.288887360E0,6.000000000E0
9.910195470E0,5.229741704E1,5.227355473E0,2.091518402E0,1.320000052E0,3.508593750E2,3.756733421E0,6.000000000E0
1.091019249E1,5.229744688E1,5.227367962E0,4.362209320E0,1.320000052E0,3.505078125E2,3.670307056E0,6.000000000E0
1.191018987E1,5.229745463E1,5.227370979E0,3.969264984E0,1.110000014E0,9.492187500E0,3.706430017E0,6.000000000E0
1.291018462E1,5.229747090E1,5.227373829E0,5.513759613E0,1.110000014E0,0.000000000E0,3.535533906E0,4.000000000E0
1.391018546E1,5.229749135E1,5.227378020E0,6.057826996E0,1.419999957E0,4.570312500E0,3.535533906E0,4.000000000E0
1.491018581E1,5.229750407E1,5.227379679E0,6.057827220E0,1.419999957E0,4.570313812E0,4.285461337E0,4.066686304E0
1.591018569E1,5.229751497E1,5.227381440E0,6.195644501E0,8.399999738E-1,4.218750717E0,4.285461561E0,4.066686393E0
1.691018736E1,5.229752992E1,5.227388103E0,5.596523453E0,1.129999995E0,1.265625287E1,4.285461751E0,4.066686448E0
1.791018748E1,5.229754444E1,5.227393488E0,6.802089857E0,1.129999995E0,1.511719092E1,4.285461965E0,4.066686518E0
1.891019022E1,5.229756189E1,5.227396572E0,7.784939003E0,1.250000000E0,1.089844024E1,4.610386865E0,3.545260214E0
1.991018808E1,5.229757882E1,5.227393950E0,7.673061564E0,1.259999990E0,1.054687769E0,4.610386909E0,3.545260157E0
2.091018617E1,5.229759171E1,5.227389005E0,7.469875528E0,1.259999990E0,3.540234360E2,4.610386944E0,3.545260112E0
2.191018367E1,5.229760495E1,5.227385587E0,8.593288592E0,1.149999976E0,3.512109355E2,4.610386980E0,3.545260064E0
2.291018033E1,5.229761954E1,5.227380809E0,8.597438985E0,1.149999976E0,3.512109355E2,4.610387019E0,3.545260014E0
2.391017640E1,5.229763127E1,5.227377205E0,7.972866230E0,1.149999976E0,3.512109355E2,4.610387051E0,3.545259973E0
2.491017413E1,5.229764568E1,5.227375903E0,8.402553769E0,1.350000024E0,3.550781237E2,4.610387086E0,3.545259926E0
2.591017091E1,5.229766190E1,5.227374884E0,8.800747167E0,1.519999981E0,3.575390617E2,4.610387127E0,3.545259874E0
2.691016936E1,5.229767737E1,5.227373229E0,8.913845311E0,1.519999981E0,3.582421870E2,4.610387168E0,3.545259821E0
2.791016674E1,5.229769379E1,5.227368012E0,8.689724231E0,1.580000043E0,3.547265608E2,4.610387211E0,3.545259765E0
2.891016400E1,5.229771008E1,5.227358289E0,8.952480596E0,1.639999986E0,3.480468711E2,4.610387255E0,3.545259707E0
2.991016233E1,5.229772307E1,5.227341617E0,9.125759389E0,1.580000043E0,3.371484304E2,4.610387294E0,3.545259656E0
3.091016042E1,5.229773485E1,5.227319464E0,9.388698854E0,1.629999995E0,3.227343636E2,4.610387332E0,3.545259607E0
3.191015816E1,5.229774104E1,5.227294375E0,1.013131359E1,1.580000043E0,3.055077976E2,4.610387358E0,3.545259573E0
3.291015720E1,5.229774224E1,5.227271985E0,9.684719317E0,1.440000057E0,2.903906093E2,4.610387372E0,3.545259555E0
3.391015470E1,5.229774135E1,5.227244014E0,9.715725176E0,1.440000057E0,2.752734209E2,4.610387381E0,3.545259543E0
3.491015375E1,5.229775891E1,5.227172238E0,1.177638343E1,1.418575962E0,2.690440363E2,4.761960826E0,3.338901933E0
3.591015220E1,5.229775801E1,5.227147407E0,1.148797015E1,1.171637041E0,2.704467657E2,4.766667994E0,3.332178457E0
3.691015100E1,5.229775298E1,5.227125595E0,1.186441662E1,1.340927744E0,2.586975822E2,4.764306918E0,3.335553421E0
3.791015005E1,5.229775134E1,5.227112743E0,1.151884938E1,1.545704947E0,2.639069432E2,4.730213134E0,3.383728822E0
3.891014743E1,5.229775240E1,5.227088785E0,1.085468745E1,1.591723976E0,2.656271817E2,4.732570146E0,3.380431458E0
3.991014731E1,5.229775190E1,5.227065604E0,1.071866823E1,1.575973623E0,2.619020184E2,4.730637743E0,3.383135170E0
4.091014564E1,5.229775957E1,5.227040013E0,1.057292226E1,1.624355604E0,2.751230424E2,4.731563924E0,3.381839716E0
4.191014612E1,5.229777982E1,5.227022144E0,1.128471157E1,1.637776527E0,3.064389832E2,4.723891337E0,3.392548846E0
4.291014385E1,5.229780050E1,5.227017956E0,1.139593860E1,1.671138325E0,3.303852499E2,4.717188294E0,3.401862965E0
4.391014302E1,5.229781401E1,5.227007069E0,1.208135348E1,1.646068522E0,3.307069232E2,4.713970036E0,3.406321114E0
4.491014242E1,5.229782662E1,5.226990824E0,1.240299467E1,1.647095726E0,3.241875285E2,4.703319380E0,3.421012108E0
4.591014171E1,5.229784214E1,5.226989318E0,1.199507420E1,1.656048782E0,3.353018962E2,4.699719365E0,3.425956060E0
4.691014051E1,5.229785641E1,5.226989216E0,1.209831931E1,1.642749516E0,3.430301949E2,4.695595118E0,3.431606551E0
4.791014183E1,5.229787280E1,5.226999163E0,1.098037358E1,1.607507060E0,3.541156058E2,4.692688671E0,3.435580020E0
4.891013920E1,5.229788508E1,5.226997086E0,1.003445961E1,1.534046718E0,3.531377775E2,4.693825082E0,3.434027247E0
4.991013956E1,5.229790236E1,5.227002089E0,1.130850177E1,1.638525178E0,3.599688830E2,4.690739133E0,3.438241327E0
5.091013861E1,5.229791712E1,5.227011697E0,1.129418789E1,1.651409460E0,6.403259851E0,4.688598516E0,3.441159832E0
5.191013765E1,5.229792992E1,5.227012351E0,9.495277493E0,1.523681274E0,3.211628507E0,4.695791139E0,3.431338311E0
5.291013741E1,5.229794264E1,5.227012560E0,9.592250170E0,1.564783776E0,2.309838286E0,4.696494096E0,3.430376108E0
5.391013694E1,5.229795622E1,5.227011977E0,9.851176546E0,1.619921173E0,3.553899301E2,4.693376820E0,3.434639874E0
5.491013634E1,5.229797134E1,5.227004633E0,9.821333067E0,1.647786731E0,3.505473981E2,4.691035074E0,3.437837542E0
5.591013646E1,5.229798830E1,5.227003628E0,1.021134780E1,1.788018592E0,3.507324990E2,4.691081527E0,3.437774155E0
5.691013587E1,5.229800390E1,5.227007050E0,1.246198830E1,1.612739781E0,3.565668667E2,4.692286145E0,3.436129765E0
5.791013527E1,5.229802126E1,5.227005121E0,1.166909983E1,1.793580236E0,3.568686274E2,4.697364766E0,3.429183764E0
5.891013551E1,5.229803595E1,5.227005953E0,1.221084056E1,1.720398486E0,3.586002942E2,4.693345476E0,3.434682703E0
5.991013527E1,5.229805165E1,5.227006288E0,1.136442069E1,1.774641928E0,2.291847739E-1,4.691093701E0,3.437757543E0
6.091013432E1,5.229806443E1,5.226998215E0,1.016550653E1,1.690748176E0,3.496653150E2,4.693174095E0,3.434916876E0
6.191013432E1,5.229808082E1,5.226981329E0,1.041607489E1,1.757783084E0,3.365474058E2,4.693768410E0,3.434104708E0
6.291013408E1,5.229809621E1,5.226978462E0,1.059602064E1,1.760309662E0,3.413391032E2,4.691855748E0,3.436717427E0
6.391013467E1,5.229811177E1,5.226983816E0,1.046346337E1,1.731672386E0,3.528206127E2,4.687850362E0,3.442178964E0
6.491013443E1,5.229812645E1,5.226979330E0,1.112748276E1,1.774139169E0,3.557810594E2,4.684737254E0,3.446414644E0
6.591013396E1,5.229813997E1,5.226976853E0,1.143461378E1,1.716205622E0,3.537398031E2,4.681085596E0,3.451372869E0
6.691013384E1,5.229815708E1,5.226974288E0,1.074161466E1,1.828629733E0,3.532286121E2,4.679502906E0,3.453518435E0
6.791013300E1,5.229817263E1,5.226976622E0,1.057080074E1,1.725214164E0,3.529984862E2,4.682929601E0,3.448870451E0
