"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.732875011E-3,-4.923561401E0,7.358098755E0,8.265960846E0
1.168087503E-2,-4.535418549E0,7.385791168E0,8.544980621E0
2.162987500E-2,-4.137096863E0,7.116201782E0,9.069639587E0
3.157887503E-2,-3.648812256E0,6.568939819E0,9.949210510E0
4.152687499E-2,-3.345692596E0,5.855074310E0,1.113100296E1
5.147587502E-2,-3.182082825E0,5.068759460E0,1.226474533E1
6.142387498E-2,-3.058140564E0,4.316723328E0,1.323442886E1
7.137287501E-2,-2.942580872E0,3.733386383E0,1.419004166E1
8.132087503E-2,-2.760110321E0,3.342549133E0,1.467368591E1
9.126987500E-2,-2.427052917E0,3.071911926E0,1.432700684E1
1.012178750E-1,-1.975891113E0,2.834206238E0,1.367765717E1
1.111668750E-1,-2.024090881E0,2.876717834E0,1.262055542E1
1.211148750E-1,-1.881287842E0,2.992277527E0,1.165805695E1
1.310638750E-1,-1.100511475E0,2.691253510E0,1.119462067E1
1.410128750E-1,-8.731343079E-1,2.306852875E0,1.079375427E1
1.509608750E-1,-8.202941895E-1,2.032922516E0,1.025682083E1
1.609098750E-1,-8.099656677E-1,1.937870178E0,9.559720459E0
1.708578750E-1,-1.147962799E0,1.986219635E0,8.765023041E0
1.808068750E-1,-1.538201294E0,2.022593994E0,8.017327881E0
1.907548750E-1,-2.079026642E0,2.077978821E0,7.496860199E0
2.007038750E-1,-2.886896667E0,2.367925873E0,7.460036774E0
2.106518750E-1,-2.795287170E0,2.427651672E0,7.880961456E0
2.206008750E-1,-2.505639496E0,2.215393066E0,7.525899811E0
2.305488750E-1,-2.315085754E0,1.930385742E0,6.652466125E0
2.404978750E-1,-2.281405792E0,2.115999756E0,6.207890625E0
2.504458750E-1,-2.676733704E0,2.507735138E0,5.921985168E0
2.603948750E-1,-2.713257751E0,2.532284088E0,5.072801056E0
2.703438750E-1,-2.532583466E0,2.392923889E0,4.480183411E0
2.802918750E-1,-2.347119141E0,2.817740479E0,4.547543335E0
2.902408750E-1,-1.986818390E0,2.568658447E0,5.163662109E0
3.001888750E-1,-1.787882080E0,1.859283600E0,6.446793823E0
3.101378750E-1,-1.582209778E0,1.372196503E0,7.697742462E0
3.200858750E-1,-1.223106537E0,1.426084442E0,8.201744385E0
3.300348750E-1,-6.694079590E-1,2.710114288E0,7.619155884E0
3.399828750E-1,-2.291734314E-1,2.317929840E0,6.256689148E0
3.499318750E-1,-1.929487610E-1,1.226699066E0,4.704566803E0
3.598798750E-1,-1.975891113E-2,9.969268799E-1,3.859424286E0
3.698288750E-1,-9.580078125E-3,1.895657959E0,4.194727020E0
3.797768750E-1,-1.110540619E0,2.886148224E0,5.151088257E0
3.897250417E-1,-2.671494598E0,3.316054230E0,5.993237000E0
3.996740417E-1,-3.073109436E0,3.336411896E0,6.631060638E0
4.096220417E-1,-3.238216095E0,3.736978912E0,6.677015076E0
4.195710417E-1,-4.021537170E0,4.110751648E0,6.243965607E0
4.295190417E-1,-4.114643555E0,4.159699860E0,5.357059937E0
4.394680417E-1,-3.797752533E0,4.154011688E0,4.322411499E0
4.494160417E-1,-3.243006134E0,4.019142151E0,3.520828400E0
4.593650417E-1,-2.851121063E0,3.595223694E0,3.218008118E0
4.693130417E-1,-2.582429810E0,3.045417023E0,3.303330688E0
4.792620417E-1,-2.363135834E0,2.458038483E0,3.502566376E0
4.892100417E-1,-2.466271362E0,1.653162231E0,3.531306610E0
4.991590417E-1,-2.813698883E0,6.391708374E-1,3.587589569E0
5.091070417E-1,-2.993475037E0,-6.312373352E-1,3.752546539E0
5.190560417E-1,-4.489464111E0,-2.654430084E0,3.450325012E0
5.290050417E-1,-6.074817352E0,-4.422253876E0,3.182831268E0
5.389530417E-1,-5.555247803E0,-4.389322357E0,3.424578552E0
5.489020417E-1,-5.419929199E0,-3.670217743E0,3.785777435E0
5.588500416E-1,-5.578299866E0,-3.634891205E0,4.604724426E0
5.687990417E-1,-5.448070679E0,-3.870800629E0,5.545967102E0
5.787470417E-1,-6.592141571E0,-4.956792297E0,5.983058167E0
5.886960417E-1,-7.780071259E0,-6.444997559E0,6.068231049E0
5.986440417E-1,-9.075776825E0,-7.636370087E0,6.081104279E0
6.085930417E-1,-1.042537033E1,-8.388705597E0,6.055956573E0
6.185410417E-1,-1.158949951E1,-8.995393982E0,6.183042297E0
6.284900417E-1,-1.238838821E1,-9.046886902E0,6.242019653E0
6.384380417E-1,-1.150178192E1,-8.171058197E0,5.491779785E0
6.483870417E-1,-1.434511917E1,-9.066496124E0,4.734803925E0
6.583360417E-1,-1.692844711E1,-1.011341904E1,5.481301575E0
6.682840417E-1,-1.867606293E1,-9.754615173E0,6.755302277E0
6.782330417E-1,-2.042352905E1,-9.292226715E0,8.258925476E0
6.881810417E-1,-2.205872864E1,-8.598868561E0,9.767787781E0
6.981300417E-1,-2.393028671E1,-7.527097321E0,1.096035782E1
7.080780417E-1,-2.498589157E1,-6.245612183E0,1.125988495E1
7.180270417E-1,-2.619402924E1,-4.545896759E0,1.042731628E1
7.279750417E-1,-2.757999710E1,-2.575244751E0,8.185128937E0
7.379240417E-1,-2.824551315E1,-6.411167908E-1,5.347479858E0
7.478720417E-1,-2.746039581E1,1.113684082E0,3.147205353E0
7.578210417E-1,-2.634790924E1,2.226170654E0,1.471140747E0
7.677690417E-1,-2.489293488E1,2.747237091E0,1.321751404E-1
7.777180417E-1,-2.262679733E1,2.954106903E0,-7.550299072E-1
7.876670417E-1,-1.981444565E1,2.869233398E0,-1.085243225E0
7.976150417E-1,-1.732123032E1,2.980601807E0,-1.523382111E0
8.075640417E-1,-1.563618439E1,3.116070099E0,-2.383792877E0
8.175120417E-1,-1.466021393E1,3.041076050E0,-2.653082886E0
8.274610417E-1,-1.385204453E1,3.255280609E0,-2.483784943E0
8.374090417E-1,-1.262280075E1,3.295846252E0,-2.374512177E0
8.473580417E-1,-1.124102417E1,3.523522797E0,-1.243314514E0
8.573060417E-1,-9.760303345E0,3.798051910E0,-7.220983887E-1
8.672550417E-1,-8.219257965E0,3.705095215E0,-1.467398529E0
8.772030417E-1,-7.038663025E0,3.218307495E0,-2.487078094E0
8.871520417E-1,-6.512656860E0,2.707120514E0,-2.725232849E0
8.971000417E-1,-6.044879608E0,2.605032806E0,-2.325264587E0
9.070490416E-1,-4.474345551E0,1.961520996E0,-3.534450073E0
9.169980417E-1,-5.956114197E-1,-2.408491516E-1,-9.012308807E0
9.269460417E-1,1.466350708E0,-2.006726990E0,-1.065933380E1
9.368950417E-1,4.035607910E-1,-1.674717407E0,-8.445437622E0
9.468430417E-1,-2.927612000E0,-1.905537415E-1,-7.004533997E0
9.567920417E-1,-5.255121918E0,1.129401398E0,-5.266348572E0
9.667400417E-1,-5.180127869E0,1.209185486E0,-4.350552979E0
9.766890417E-1,-4.759203186E0,7.954458618E-1,-1.118474121E0
9.866370417E-1,-3.433559875E0,5.490582275E-1,7.872129822E-1
9.965860417E-1,-1.815724182E0,-6.074368286E-1,8.442443848E-1
1.006534042E0,-3.011886749E0,-1.030157776E0,8.014334106E-1
1.016483042E0,-3.942651215E0,-1.291813660E-1,-1.181493073E0
1.026431042E0,-3.858077087E0,-8.840615845E-1,-3.631148987E0
1.036380042E0,-5.429658966E0,-2.542612610E0,-4.336182861E0
1.046328042E0,-6.655160522E0,-2.298470306E0,-3.474275208E0
1.056277042E0,-8.081394653E0,-2.146386566E0,-2.411036224E0
1.066225042E0,-9.589508514E0,-2.027533722E0,-2.126777344E0
1.076174042E0,-1.100780914E1,-1.459315338E0,-3.685635681E0
1.086123042E0,-1.254002289E1,-2.086062012E0,-8.922046509E0
1.096071042E0,-1.415531387E1,-3.124153290E0,-1.601564529E1
1.106020042E0,-1.381552048E1,-1.403182068E0,-1.576551544E1
1.115968042E0,-1.277278885E1,-7.436535645E-1,-8.327033844E0
1.125917042E0,-1.231563950E1,-2.929857330E0,-3.924987946E0
1.135865042E0,-1.139774826E1,-3.601061554E0,-1.853745117E0
1.145814042E0,-1.147483795E1,-4.106260986E0,-3.273542633E0
1.155762042E0,-1.231279541E1,-3.810925140E0,-6.232289886E0
1.165711042E0,-1.311527664E1,-3.165467377E0,-7.343429260E0
1.175659042E0,-1.304746765E1,-2.884052582E0,-5.876180420E0
1.185608042E0,-1.221564743E1,-4.225113831E0,-3.323838043E0
1.195556042E0,-8.748407593E0,-4.202959900E0,-1.471140747E0
1.205505042E0,-6.922504578E0,-4.973407745E0,-1.194515991E-1
1.215453042E0,-7.868387604E0,-6.433471527E0,-1.427431641E0
1.225402042E0,-7.933951263E0,-7.329508209E0,-4.374503174E0
1.235351042E0,-6.501729584E0,-6.553821259E0,-8.360115051E-1
1.245299042E0,-6.519093475E0,-6.458918610E0,5.297034760E0
1.255248042E0,-7.821834412E0,-6.878795471E0,6.790179749E0
1.265196042E0,-1.018661682E1,-6.457421722E0,6.399192810E0
1.275145042E0,-1.152588181E1,-5.461991730E0,5.389841766E0
1.285093042E0,-1.240350677E1,-5.134622498E0,3.296594696E0
1.295042042E0,-1.348216370E1,-4.713697815E0,1.741927643E0
1.304990042E0,-1.310629532E1,-3.904779968E0,5.517526245E-1
1.314939042E0,-1.157033936E1,-4.328548737E0,-5.028044128E-1
1.324887042E0,-1.007809250E1,-5.503305817E0,-3.019221497E-1
1.334836042E0,-8.688532104E0,-5.921386414E0,2.448907471E-1
1.344784042E0,-7.569459229E0,-5.811514893E0,3.746708679E-1
1.354733042E0,-7.160359955E0,-5.257217560E0,6.747967529E-1
1.364681042E0,-7.844287720E0,-4.178261261E0,6.373745728E-1
1.374630042E0,-1.022733215E1,-2.487078094E0,-8.562194824E-2
1.384578042E0,-1.180639847E1,-6.258485413E-1,-7.656578064E-1
1.394527500E0,-1.207688599E1,2.338137817E-1,-8.999285889E-1
1.404476500E0,-1.193288544E1,4.833448792E-1,-6.926097107E-1
1.414424500E0,-1.145133682E1,2.192939758E-1,1.231938171E-1
1.424373500E0,-1.006985962E1,-1.630708923E0,9.859996033E-1
1.434321500E0,-9.641600189E0,-4.138144684E0,2.235750732E0
1.444270500E0,-1.092233688E1,-5.451663208E0,3.306773529E0
1.454218500E0,-1.256322464E1,-5.063819733E0,3.505260773E0
1.464167500E0,-1.415411636E1,-3.389401703E0,2.124831390E0
1.474115500E0,-1.165715881E1,-1.721719666E0,-5.470823364E0
1.484064500E0,-7.790549469E0,-1.982477417E0,-9.766141205E0
1.494012500E0,-7.248227234E0,-3.606001282E0,-4.482728119E0
1.503961500E0,-4.348457336E0,-4.855003967E0,-7.860154724E-1
1.513909500E0,-2.727627869E0,-5.695805511E0,8.517288208E-2
1.523858500E0,-2.982248383E0,-5.062921600E0,-5.420228577E-1
1.533806500E0,-3.622467041E0,-3.805536346E0,-1.301244049E0
1.543755500E0,-5.015470276E0,-2.901715851E0,-8.351133728E-1
1.553703500E0,-6.170019379E0,-2.092049561E0,-5.044509888E-2
1.563652500E0,-6.309529266E0,-9.648934937E-1,-6.735992432E-2
1.573601500E0,-6.295159149E0,4.989125061E-1,-2.586621094E-1
1.583549500E0,-5.597909088E0,1.300046539E0,-5.807922363E-2
1.593498500E0,-5.446723480E0,1.549427948E0,-1.261875916E-1
1.603446500E0,-5.406906281E0,1.206790466E0,8.864566040E-1
1.613395500E0,-5.348078613E0,-2.354603577E-1,2.185754700E0
