"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.975874988E-3,-8.085403442E-1,-7.442547679E-1,8.439560235E-2
1.292387501E-2,-1.047973394E0,-8.792908788E-1,8.946733177E-2
2.287287504E-2,-1.254206419E0,-9.784135222E-1,4.538792372E-2
3.282187501E-2,-1.426733971E0,-1.104917169E0,-3.454712406E-2
4.276987503E-2,-1.560141683E0,-1.262498498E0,-9.454491735E-2
5.271887500E-2,-1.630252600E0,-1.374200583E0,-1.225520447E-1
6.266687502E-2,-1.594987392E0,-1.394993186E0,-1.273800433E-1
7.261587499E-2,-1.441712022E0,-1.297783732E0,-1.152235121E-1
8.256387501E-2,-1.198057532E0,-1.127058625E0,-9.845282137E-2
9.251287504E-2,-9.200668931E-1,-9.356537461E-1,-5.693706870E-2
1.024608750E-1,-6.687817574E-1,-6.842280030E-1,1.823166944E-2
1.124098750E-1,-4.978798032E-1,-4.634607136E-1,1.289166361E-1
1.223578750E-1,-3.674213886E-1,-3.288310170E-1,9.331603348E-2
1.323068750E-1,-2.555222809E-1,-2.192429900E-1,-3.257398680E-2
1.422558750E-1,-1.600210667E-1,-1.807917804E-1,-1.804866195E-1
1.522038750E-1,-1.154647768E-1,-1.538682878E-1,-3.348695040E-1
1.621528750E-1,-1.514097303E-1,-1.806168258E-1,-4.821591377E-1
1.721008750E-1,-2.448323667E-1,-2.683908939E-1,-5.589900017E-1
1.820498750E-1,-3.364593685E-1,-2.642470896E-1,-5.947241187E-1
1.919978750E-1,-2.797585428E-1,7.258553803E-2,-5.403211117E-1
2.019468750E-1,-7.682458311E-2,4.298898280E-1,-3.921280205E-1
2.118948750E-1,1.543441862E-1,7.507002950E-1,-2.454136908E-1
2.218438750E-1,2.934215069E-1,9.927732944E-1,-1.606563330E-1
2.317918750E-1,2.754726112E-1,1.204207540E0,-1.579473615E-1
2.417408750E-1,1.289671808E-1,1.200953603E0,-1.684184968E-1
2.516888750E-1,-1.785584092E-1,9.376493096E-1,-1.734294891E-1
2.616378750E-1,-5.077350736E-1,7.760018706E-1,-2.289352417E-1
2.715868750E-1,-8.525041938E-1,5.165053010E-1,-2.678040564E-1
2.815348750E-1,-1.131659150E0,2.119801342E-1,-2.335297465E-1
2.914838750E-1,-1.181159496E0,7.025468349E-2,-1.750110537E-1
3.014318750E-1,-9.742222428E-1,1.044395864E-1,-1.741532832E-1
3.113808750E-1,-4.224509597E-1,-1.330177188E-1,7.047963887E-2
3.213288750E-1,7.271843404E-2,-5.966102704E-2,1.028433517E-1
3.312778750E-1,4.391818941E-1,1.171883121E-1,-4.245258868E-2
3.412258750E-1,7.192837596E-1,1.374382153E-2,-1.109913737E-1
3.511748750E-1,9.186703563E-1,-2.940238416E-1,-3.080812469E-2
3.611228750E-1,1.042102218E0,-2.104292959E-1,4.674817435E-3
3.710718750E-1,1.100625157E0,1.996003091E-1,-9.843532741E-2
3.810198750E-1,1.161289692E0,8.112849593E-1,-3.164011240E-1
3.909680417E-1,1.415505171E0,1.613292217E0,-4.805336297E-1
4.009170417E-1,1.687459826E0,1.772668719E0,-6.031206250E-1
4.108650417E-1,1.846056342E0,1.505721688E0,-5.901216865E-1
4.208140417E-1,1.795312285E0,1.127329826E0,-5.858563185E-1
4.307620417E-1,1.470718741E0,8.279374838E-1,-6.611481309E-1
4.407110417E-1,9.361302853E-1,6.366203427E-1,-7.912446856E-1
4.506590417E-1,3.871846199E-1,4.850867093E-1,-8.803157210E-1
4.606080417E-1,-4.042396694E-2,4.556296468E-1,-9.290347695E-1
4.705560417E-1,-3.286733329E-1,6.522955894E-1,-1.011835337E0
4.805050417E-1,-4.893896282E-1,1.070451260E0,-1.143722773E0
4.904530417E-1,-5.386405587E-1,1.605449080E0,-1.345761061E0
5.004020417E-1,-4.950898886E-1,2.184728861E0,-1.618650317E0
5.103500417E-1,-4.111747444E-1,2.701029778E0,-1.805159807E0
5.202990417E-1,-3.576694429E-1,3.117539406E0,-1.692244649E0
5.302480417E-1,-3.083618283E-1,3.571388721E0,-1.649051189E0
5.401960417E-1,-2.789710462E-1,4.115136623E0,-1.762335896E0
5.501450417E-1,-2.438993305E-1,4.754115105E0,-2.103941679E0
5.600930417E-1,-1.621289700E-1,5.404121399E0,-2.653700352E0
5.700420417E-1,2.745747566E-2,5.952877998E0,-3.161728859E0
5.799900417E-1,2.202414572E-1,6.350308418E0,-3.528431416E0
5.899390417E-1,3.883204460E-1,6.558332920E0,-3.833833694E0
5.998870417E-1,5.017904639E-1,6.558655739E0,-4.137144566E0
6.098360417E-1,5.997633338E-1,6.411472797E0,-4.452381611E0
6.197840417E-1,6.030752659E-1,6.253372192E0,-4.806844711E0
6.297330417E-1,3.840057254E-1,6.044053078E0,-5.383313656E0
6.396810416E-1,-1.440591514E-1,5.735264778E0,-5.772165775E0
6.496300417E-1,-6.946322322E-1,5.156684399E0,-5.885334492E0
6.595790417E-1,-1.040200472E0,4.388815403E0,-5.887362480E0
6.695270417E-1,-1.114195585E0,3.952572823E0,-5.838292122E0
6.794760417E-1,-8.362783790E-1,3.851554871E0,-5.712539673E0
6.894240417E-1,-2.265689373E-1,3.811359644E0,-5.563187122E0
6.993730417E-1,5.382816195E-1,3.679040670E0,-5.400013447E0
7.093210416E-1,1.272376657E0,3.385484219E0,-5.101706982E0
7.192700417E-1,1.754561424E0,2.865766048E0,-4.523189068E0
7.292180417E-1,1.897145510E0,2.188291788E0,-3.707556009E0
7.391670417E-1,1.697373152E0,1.690030098E0,-2.811816931E0
7.491150417E-1,1.335231781E0,1.410022378E0,-1.969491482E0
7.590640417E-1,9.414530396E-1,1.245887756E0,-1.183573961E0
7.690120417E-1,5.415442586E-1,1.069427848E0,-5.041038990E-1
7.789610417E-1,1.930638850E-1,9.578424692E-1,-1.653795131E-2
7.889100417E-1,-7.680834085E-2,9.263820052E-1,2.928848863E-1
7.988580417E-1,-3.177359998E-1,8.409657478E-1,4.985211790E-1
8.088070417E-1,-4.907695651E-1,6.847788095E-1,7.026428580E-1
8.187550417E-1,-5.016271472E-1,6.258525848E-1,9.838516712E-1
8.287040417E-1,-3.474231958E-1,7.498847842E-1,1.260311961E0
8.386520417E-1,3.495946527E-2,1.196758866E0,1.524643898E0
8.486010417E-1,5.579915047E-1,1.764790058E0,1.765109777E0
8.585490417E-1,9.689179063E-1,2.198512316E0,1.934622765E0
8.684980417E-1,1.136893630E0,2.407290936E0,2.038499355E0
8.784460417E-1,1.129047632E0,2.336053133E0,2.104286194E0
8.883950417E-1,1.167055726E0,2.239570379E0,2.175580263E0
8.983430417E-1,1.166221857E0,2.046933413E0,2.190170527E0
9.082920417E-1,6.362800598E-1,1.363359332E0,1.883798480E0
9.182410417E-1,-3.553739190E-1,7.878861427E-1,1.285949230E0
9.281890417E-1,-9.997587204E-1,6.298165917E-1,8.060632944E-1
9.381380417E-1,-1.304010510E0,5.250692964E-1,8.029958010E-1
9.480860417E-1,-1.353419304E0,5.092453361E-1,1.225256920E0
9.580350417E-1,-1.270750523E0,6.672191620E-1,1.694769382E0
9.679830417E-1,-7.913495302E-1,1.260990977E0,1.970067024E0
9.779320417E-1,6.765788794E-2,1.930693388E0,2.014880657E0
9.878800416E-1,9.526161551E-1,2.561244488E0,1.715490699E0
9.978290417E-1,1.788776517E0,3.058686018E0,1.432817698E0
1.007777042E0,2.399481535E0,3.099445343E0,1.189328313E0
1.017726042E0,2.445919514E0,2.750602245E0,8.644093275E-1
1.027674042E0,2.342472315E0,2.364847183E0,7.435755730E-1
1.037623042E0,2.281836987E0,1.849942207E0,6.070041656E-1
1.047571042E0,2.350140333E0,1.505435467E0,6.250374913E-1
1.057520042E0,2.505048990E0,1.338279366E0,6.754224300E-1
1.067468042E0,2.610519648E0,1.186695457E0,7.410438061E-1
1.077417042E0,2.193377256E0,8.110675216E-1,8.780547380E-1
1.087366042E0,8.110288382E-1,-6.715214811E-3,1.162907481E0
1.097314042E0,-9.501450062E-1,-8.632391691E-1,1.373328090E0
1.107263042E0,-1.657850504E0,-1.129834294E0,1.423739076E0
1.117211042E0,-1.492356896E0,-8.510842323E-1,1.500663996E0
1.127160042E0,-7.346169949E-1,-3.976802230E-1,1.354668617E0
1.137108042E0,-1.259047352E-2,-7.877577096E-3,1.112602472E0
1.147057042E0,1.438214928E-1,-4.142541438E-2,9.364652634E-1
1.157005042E0,-6.577819586E-2,-4.467216134E-1,7.952452302E-1
1.166954042E0,-2.834953368E-1,-9.129516482E-1,5.571647286E-1
1.176902042E0,-1.702710539E-1,-1.077363729E0,2.965396047E-1
1.186851042E0,2.405793369E-1,-1.115244508E0,-2.088317275E-1
1.196799042E0,8.095385432E-1,-7.996412516E-1,-8.778213263E-1
1.206748042E0,1.110216856E0,-3.659217954E-1,-1.277164698E0
1.216696042E0,8.433274031E-1,-2.825845480E-1,-1.518208385E0
1.226645042E0,5.239368677E-1,-4.995677173E-1,-1.830410838E0
1.236594042E0,9.317746758E-1,-5.007305741E-1,-2.044748545E0
1.246542042E0,1.551178098E0,-4.887420833E-1,-2.092647314E0
1.256491042E0,1.994716167E0,-4.462926388E-1,-1.992906570E0
1.266439042E0,2.259757042E0,-4.127732813E-1,-1.773646951E0
1.276388042E0,2.341932058E0,-6.257308125E-1,-1.495142221E0
1.286336042E0,2.221140146E0,-9.086312652E-1,-1.221211672E0
1.296285042E0,1.890423179E0,-1.105313420E0,-1.038648844E0
1.306233042E0,1.437912226E0,-1.259171605E0,-1.000783205E0
1.316182042E0,1.028228402E0,-1.322974086E0,-1.084771752E0
1.326130042E0,8.013478518E-1,-1.443428278E0,-1.289838910E0
1.336079042E0,6.829206347E-1,-1.683250070E0,-1.616876125E0
1.346027042E0,6.348111629E-1,-2.014731169E0,-2.002427578E0
1.355976042E0,5.987102985E-1,-2.450499535E0,-2.364950895E0
1.365924042E0,4.002768695E-1,-2.815087318E0,-2.454292059E0
1.375873042E0,-3.210612014E-2,-3.172060490E0,-2.217155933E0
1.385821042E0,-5.955620408E-1,-3.618688345E0,-1.805705667E0
1.395770500E0,-1.182337999E0,-4.052077293E0,-1.326441884E0
1.405719500E0,-1.581089616E0,-4.377879143E0,-8.204829097E-1
1.415667500E0,-1.647314310E0,-4.550407887E0,-6.030626893E-1
1.425616500E0,-1.392172575E0,-4.519999027E0,-7.021527886E-1
1.435564500E0,-7.989641428E-1,-4.499251842E0,-7.633230090E-1
1.445513500E0,-9.219714440E-3,-4.715258121E0,-6.084055901E-1
1.455461500E0,6.359804869E-1,-4.697134495E0,-2.750147879E-1
1.465410500E0,5.283128619E-1,-3.930851460E0,1.223951504E-1
1.475358500E0,-3.830122352E-1,-2.939084053E0,2.128604800E-1
1.485307500E0,-4.506905973E-1,-2.305726528E0,4.800458252E-1
1.495255500E0,1.477027982E-1,-1.597471237E0,5.817717910E-1
1.505204500E0,8.034244776E-1,-5.534136891E-1,4.870646894E-1
1.515152500E0,1.374877572E0,3.369706273E-1,4.345992506E-1
1.525101500E0,1.692055583E0,7.685819268E-1,4.484634101E-1
1.535049500E0,1.772728443E0,7.410634756E-1,5.589195490E-1
1.544998500E0,1.655773044E0,5.115021467E-1,7.158476710E-1
1.554946500E0,1.334348917E0,2.512306273E-1,8.092324734E-1
1.564895500E0,8.375372887E-1,-1.837876886E-1,8.719102740E-1
1.574844500E0,3.384152055E-1,-7.010101676E-1,7.523530722E-1
1.584792500E0,-1.914132237E-1,-1.235574484E0,4.218678474E-1
1.594741500E0,-6.979837418E-1,-1.664353967E0,4.448449984E-2
1.604689500E0,-1.009594321E0,-1.933252573E0,-3.632718325E-1
1.614638500E0,-1.157739997E0,-2.052202225E0,-7.592340112E-1
1.624586500E0,-1.121341228E0,-1.913969040E0,-1.054418445E0
1.634535500E0,-8.888375759E-1,-1.490295053E0,-1.278597355E0
1.644483500E0,-4.942180812E-1,-9.753773808E-1,-1.397029638E0
1.654432500E0,-9.193284065E-2,-5.423489213E-1,-1.400409937E0
1.664380500E0,1.577062905E-1,-9.591813385E-2,-1.396153688E0
1.674329500E0,3.385792673E-1,2.626080215E-1,-1.424790978E0
1.684277500E0,3.317573071E-1,8.229653239E-1,-1.507982969E0
1.694226500E0,6.395636499E-2,1.219411612E0,-1.456837416E0
1.704174500E0,-3.629475534E-1,1.356853127E0,-1.504276037E0
1.714123500E0,-6.823247671E-1,1.120437860E0,-1.659675360E0
1.724071500E0,-7.895172834E-1,4.566089511E-1,-2.193329096E0
1.734020500E0,-1.037526488E0,3.019249737E-1,-2.810193062E0
1.743968500E0,-1.543788671E0,5.761151910E-1,-3.465755463E0
1.753917500E0,-2.144659758E0,8.063449264E-1,-4.203455925E0
1.763866500E0,-2.703037024E0,1.380805612E0,-4.758214474E0
1.773814500E0,-3.269770145E0,2.199980497E0,-5.119916439E0
1.783763500E0,-3.552137375E0,2.558445215E0,-5.797708035E0
1.793711500E0,-3.604643106E0,2.255251408E0,-6.387088776E0
1.803660500E0,-3.545779943E0,1.648866296E0,-6.933063507E0
1.813608500E0,-3.258588314E0,3.001166284E-1,-7.397569180E0
1.823557500E0,-2.984338284E0,-1.451815128E0,-7.511331558E0
1.833505500E0,-3.047684431E0,-1.943195701E0,-7.202720165E0
1.843454500E0,-2.773266792E0,-1.240756392E0,-6.872034550E0
1.853402500E0,-2.402781010E0,7.077619433E-1,-6.338687420E0
1.863351500E0,-2.339002848E0,3.286188364E0,-5.661500454E0
1.873299500E0,-2.408927202E0,5.278506756E0,-5.048883915E0
1.883248500E0,-2.737467051E0,7.078485966E0,-4.592793465E0
1.893196500E0,-2.985062122E0,9.025905609E0,-5.438606262E0
1.903145500E0,-3.178947926E0,1.026273441E1,-6.932168007E0
1.913093500E0,-3.830742121E0,1.014065266E1,-8.006643295E0
1.923042500E0,-4.904665470E0,7.130924225E0,-7.402801037E0
1.932991500E0,-5.787708282E0,2.816224337E0,-4.261109829E0
1.942939500E0,-5.812253952E0,-2.055664062E0,1.087790504E-1
