"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.975874988E-3,-2.425061648E0,2.429665161E0,1.281598574E-1
1.292387501E-2,-2.091232412E0,2.733923566E0,1.602698421E-1
2.287287504E-2,-1.803062329E0,2.699095210E0,4.865655255E-1
3.282187501E-2,-1.417306017E0,2.394497375E0,1.087017855E0
4.276987503E-2,-1.103143453E0,1.871278578E0,2.049922711E0
5.271887500E-2,-9.900216106E-1,1.255757097E0,3.165650979E0
6.266687502E-2,-9.764313658E-1,6.022673053E-1,4.085805087E0
7.261587499E-2,-9.650364581E-1,6.539847583E-2,4.978888925E0
8.256387501E-2,-9.334661713E-1,-3.080514935E-1,5.699681631E0
9.251287504E-2,-7.639109507E-1,-5.203182855E-1,5.713088712E0
1.024608750E-1,-4.433736053E-1,-7.166481990E-1,5.072061383E0
1.124098750E-1,-1.454633765E-1,-7.987425220E-1,4.271553587E0
1.223578750E-1,-4.569020158E-1,-5.862509045E-1,3.058732302E0
1.323068750E-1,2.058946426E-1,-6.614057520E-1,2.408290957E0
1.422558750E-1,7.194227028E-1,-1.031735062E0,1.990655333E0
1.522038750E-1,7.770265478E-1,-1.351623367E0,1.532755197E0
1.621528750E-1,8.553174032E-1,-1.523155823E0,8.999806291E-1
1.721008750E-1,6.891047435E-1,-1.507832318E0,1.499278718E-1
1.820498750E-1,2.655761495E-1,-1.410206036E0,-7.039521396E-1
1.919978750E-1,-8.683188334E-2,-1.362327864E0,-1.306567354E0
2.019468750E-1,-8.810526073E-1,-1.146347506E0,-1.700313594E0
2.118948750E-1,-1.190557134E0,-9.176284030E-1,-1.342600821E0
2.218438750E-1,-8.039870359E-1,-1.030150174E0,-1.211049578E0
2.317918750E-1,-4.931790188E-1,-1.352637274E0,-1.892451931E0
2.417408750E-1,-1.825719997E-1,-1.468274150E0,-2.643588177E0
2.516888750E-1,-3.307879530E-1,-1.075323131E0,-2.799680184E0
2.616378750E-1,-5.270740123E-1,-7.982522330E-1,-3.417119844E0
2.715868750E-1,-3.273812190E-1,-8.957247332E-1,-4.240200232E0
2.815348750E-1,-1.179491571E-1,-6.311177596E-1,-4.537138215E0
2.914838750E-1,1.726326102E-1,-2.671651304E-1,-4.215505686E0
3.014318750E-1,5.081553461E-1,-8.322684100E-1,-3.302342509E0
3.113808750E-1,6.739543153E-1,-1.266993983E0,-1.906929637E0
